	KRAS	HRAS	BRAF	RAF1	MAP3K1	MAP3K2	MAP3K3	MAP3K4	MAP3K5	MAP2K1	MAP2K2	MAP2K3	MAP2K4	MAP2K5	MAPK1	MAPK3	MAPK4	MAPK6	MAPK7	MAPK8	MAPK9	MAPK12	MAPK14	DAB2	RASSF1	RAB25
TCGA-18-3417-01	1.456	-0.213	0.493	-0.228	-0.248	-0.191	0.19	0	0	0.134	-0.23	0.19	0.19	0.134	-0.127	0.205	-0.215	0.121	0.19	0.425	-0.246	-0.127	-0.004	1.265	-0.238	0.42
TCGA-18-3419-01	0.003	-0.647	0.535	-0.001	0.009	-0.028	0.551	-0.582	-0.582	0.028	-0.035	-0.596	-0.596	0.028	0	-0.087	0.022	0.028	-0.596	0.009	-0.017	0.028	-0.042	0.001	-0.012	0.002
TCGA-18-3421-01	0.191	-0.461	-0.045	-0.014	0.057	0.117	0.261	-0.053	-0.463	0.333	0.14	-0.426	-0.426	0.333	0.366	-0.047	-0.03	0.31	-0.426	-0.42	-0.439	0.263	-0.059	0.864	-0.41	0.006
TCGA-18-4083-01	0.162	-0.039	0.871	-0.404	-0.387	0.04	0.054	-0.409	-0.357	0.388	0.055	-0.015	-0.015	0.388	-0.42	0.005	1.249	0.388	-0.015	-0.385	-0.933	-0.42	-0.376	1.339	-0.382	0.072
TCGA-18-4086-01	0.116	-0.044	0.032	-0.553	-0.593	0.01	0.007	-0.009	-0.023	0.034	-0.067	-0.601	-0.024	0.034	0	-0.011	0.032	0.034	-0.601	-0.069	-0.593	0.009	0.014	0.028	-0.553	0.026
TCGA-18-4721-01	0.127	0.016	-0.204	-0.348	-0.335	0.003	0.024	-0.005	0	0.003	-0.012	-0.359	-0.368	0.003	0.111	0.014	-0.01	0.023	-0.359	-0.339	-0.366	-0.043	-0.295	0.041	-0.349	0.369
TCGA-18-5592-01	0.074	-0.777	0.003	-0.767	-0.772	0.014	0.004	-0.787	-0.787	-0.26	-0.357	0.004	0.004	-0.26	0.012	-0.778	0.007	-0.26	0.004	0.041	-0.805	0.012	0.085	1.481	-0.767	1.199
TCGA-18-5595-01	0.007	0.015	-0.871	-0.011	-0.016	-0.024	0.041	-0.004	-0.004	0.045	0.033	0.041	0.041	0.045	0.523	0.13	0.014	0.045	0.041	0.016	-0.021	0.054	-0.004	-0.016	-0.005	0
TCGA-21-1070-01	0.172	-0.313	-0.338	-0.321	-0.334	-0.061	-0.298	-0.045	-0.045	-0.257	-0.295	-0.298	-0.298	-0.257	0.281	-0.31	-0.297	-0.257	-0.298	0.162	-0.33	-0.309	-0.105	0.126	-0.315	0.2
TCGA-21-1071-01	0.105	-0.252	0.006	-0.282	0.196	0.084	0.407	-0.007	-0.007	-0.109	-0.209	-0.367	-0.367	-0.109	-0.278	0.116	-0.264	-0.109	-0.367	-0.167	0.176	-0.278	0.016	0.196	-0.106	0.312
TCGA-21-1076-01	-0.023	-0.156	0.323	-0.056	-0.021	0.041	-0.081	0.107	0.107	0.022	0.076	-0.081	-0.081	0.022	0.17	-0.161	-0.047	0.022	-0.081	-0.164	-0.16	0.17	-0.169	-0.021	-0.056	0.014
TCGA-21-1077-01	0.205	-0.12	0.257	-0.121	0.574	-0.028	0.414	-0.051	-0.051	0.307	-0.102	-0.141	-0.141	0.307	0.715	-0.091	0.05	0.307	-0.141	-0.104	0.029	0.715	0.301	0.574	-0.121	0.395
TCGA-21-1078-01	-0.004	-0.005	0.026	0.001	0.023	0.01	-0.018	-0.015	-0.004	-0.012	-0.028	-0.018	-0.018	-0.012	-0.025	0	-0.002	-0.012	-0.018	-0.013	0.023	-0.025	-0.004	0.023	0.001	-0.01
TCGA-21-1081-01	0.054	-0.072	0.292	-0.09	-0.071	0.337	0.307	-0.056	-0.056	-0.07	-0.112	-0.097	-0.097	-0.07	1.348	0.7	0	-0.07	-0.097	-0.089	-0.071	0.443	0.298	1.027	-0.09	0.624
TCGA-21-5782-01	0.501	-0.506	0.011	-0.506	-0.494	-0.491	-0.002	0.024	0.056	0	-0.084	-0.511	-0.511	0	-0.021	-0.008	-0.481	0	-0.511	-0.019	-0.025	-0.084	0.028	1.649	-0.506	-0.003
TCGA-21-5784-01	-0.043	0.063	-0.003	0.056	-0.164	0.002	-0.004	-0.001	-0.002	0.004	0.086	0.004	0.004	0.004	0.173	-0.005	0.171	0.004	0.004	-0.007	-0.173	0.116	-0.002	0.771	0.056	0.336
TCGA-21-5786-01	2.429	-0.327	-0.181	-0.289	-0.289	-0.279	0.374	-0.259	-0.21	0.624	-0.334	3.657	-0.325	0.624	0.122	-0.322	-0.298	-0.271	-0.325	0.574	-0.289	0.122	0.197	1.35	-0.289	0.201
TCGA-21-5787-01	0.249	-0.226	0.254	-0.381	-0.318	-0.313	0.154	-0.269	-0.269	0.64	-0.294	-0.277	-0.277	0.64	-0.282	0.122	-0.211	-0.18	-0.277	0.35	0.087	-0.276	0.666	1.136	-0.381	-0.168
TCGA-22-0944-01	-0.087	0.053	0	-0.55	-0.569	0.09	0.086	0.061	0.061	-0.219	0.072	-0.585	-0.585	-0.219	0.093	0.018	-0.046	-0.219	-0.585	-0.28	-0.59	0.093	0.061	0.645	-0.55	0.041
TCGA-22-1002-01	0	-0.04	0.076	-0.279	-0.291	0.044	0.069	-0.099	-0.062	-0.075	-0.174	1.269	-0.288	-0.075	0.157	-0.141	0.072	-0.075	-0.288	-0.053	-0.156	0.157	0.114	0.527	-0.279	0.049
TCGA-22-1011-01	0.049	0.052	-0.151	0.024	-0.157	0.074	-0.179	-0.034	-0.034	-0.026	0.115	-0.179	-0.179	-0.026	0.175	0.115	-0.08	-0.026	-0.179	-0.168	-0.178	0.175	-0.034	0.549	0.024	0.139
TCGA-22-1012-01	0.728	0.153	0.397	-0.339	-0.338	0.034	0.299	0.266	0.813	-0.312	0.277	-0.314	-0.314	-0.128	0.232	-0.314	0.517	-0.312	-0.314	-0.118	-0.351	-0.031	-0.33	1.563	-0.339	0.443
TCGA-22-1016-01	-0.419	-0.081	-0.143	-0.235	-0.192	0.064	-0.14	0.042	0.042	-0.119	0.021	-0.14	-0.14	-0.166	-0.155	-0.056	-0.242	-0.119	-0.14	-0.379	-0.166	-0.177	0.098	1.191	-0.235	0.388
TCGA-22-4591-01	0.515	0.286	0.345	-0.52	-0.5	-0.086	0.837	-0.015	-0.015	-0.489	-0.54	-0.514	-0.469	-0.489	0.848	-0.031	-0.008	-0.495	-0.514	3.657	-0.552	0.911	0.467	2.965	-0.506	0.229
TCGA-22-4593-01	0.147	-0.307	0.291	0.001	-0.266	0	0.14	-0.02	-0.02	0.127	0.098	0.124	0.66	0.127	0.306	0.299	-0.274	0.127	0.124	-0.34	-0.329	0.306	-0.158	1.896	0.001	-0.256
TCGA-22-4595-01	0.965	-0.184	-0.183	-0.167	-0.165	0.636	0.825	-0.151	-0.15	-0.184	0.306	-0.199	-0.199	-0.184	0.378	0.377	0.422	-0.181	-0.199	-0.177	0.29	0.378	-0.201	1.11	-0.175	0.449
TCGA-22-4599-01	1.071	-0.063	0.771	-0.341	-0.331	0.027	0.444	-0.333	-0.333	-0.338	-0.022	-0.371	-0.371	-0.338	0.03	-0.235	-0.338	-0.338	-0.371	-0.319	-0.36	0.031	-0.333	0.61	-0.341	0.887
TCGA-22-4601-01	0.127	-0.288	0.042	-0.622	-0.482	0.07	0.153	-0.583	-0.583	0.043	-0.598	0.153	0.153	0.043	-0.679	0.06	-0.106	0	0.153	0.009	-0.481	0.196	0.73	0.278	-0.622	0.976
TCGA-22-4604-01	0.358	0.039	0.288	-0.413	-0.314	-0.296	0.31	-0.031	-0.01	0.185	0.23	-0.391	-0.391	0.185	0.185	-0.171	1.159	0.185	-0.391	0.027	-0.436	0.201	0.339	0.65	-0.421	-0.026
TCGA-22-4607-01	0.033	-0.525	0.016	-0.589	-0.632	0.002	0.5	-0.599	-0.572	-0.022	-0.709	-0.66	-0.66	-0.022	-0.085	-0.059	0.017	-0.006	-0.66	0.025	-0.603	-0.127	0.543	0.094	-0.619	0.488
TCGA-22-4613-01	0.066	-0.002	0.04	-0.543	-0.589	0.685	0.605	0.002	0.002	-0.001	-0.031	-0.498	-0.498	-0.001	0.946	-0.024	-0.441	-0.001	-0.498	-0.392	-0.587	-0.224	-0.032	0.836	-0.539	0.016
TCGA-22-5471-01	2.25	-0.299	0.39	-0.248	-0.265	-0.219	0.362	-0.232	-0.232	-0.223	0.041	0.004	0.004	-0.223	0.044	0.005	-0.308	-0.218	0.004	0.06	-0.265	0.069	0	0.235	-0.248	0.87
TCGA-22-5472-01	0.005	0.053	0.177	-0.581	-0.488	-0.011	-0.373	0.029	0.029	0.131	-0.035	-0.373	-0.373	0.131	0.095	0.027	-0.064	0.131	-0.373	-0.065	-0.511	0.095	0.029	0.188	-0.581	0.025
TCGA-22-5473-01	1.568	-0.316	0.548	-0.34	-0.334	0.054	0.225	0.028	0.072	0.044	0.056	0.225	-0.364	0.044	0.123	-0.291	-0.331	0.044	-0.364	-0.822	-0.367	0.072	-0.347	0.955	-0.34	0.143
TCGA-22-5474-01	0	-0.07	0.029	0.066	-0.437	0.081	0.106	-0.05	-0.05	0.186	-0.323	0.106	0.106	0.186	0.074	-0.092	0.006	0.186	0.106	-0.148	-0.421	0.074	0.065	0.511	-0.41	0.674
TCGA-22-5477-01	3.657	-0.585	0.511	-0.547	-0.595	-0.626	0.211	0.081	0.13	0.086	0.257	-0.62	-0.62	0.086	0.912	-0.009	0.056	0.086	-0.62	0.203	-0.616	0.912	-0.616	1.874	-0.539	-0.162
TCGA-22-5478-01	-0.201	-0.219	0.306	-0.493	-0.489	0.023	0.497	-0.362	-0.362	0.024	-0.471	0.472	-0.246	0.024	0.386	-0.23	0.135	0.024	0.472	-0.226	-0.499	0.321	-0.367	1.319	-0.493	0.054
TCGA-22-5480-01	0.127	0.023	0.152	-0.234	0.074	0.606	0.054	-0.023	-0.04	-0.48	0.059	-0.48	-0.48	-0.48	-0.47	-0.496	0.179	-0.48	-0.48	-0.02	0.066	0.226	-0.016	0.074	-0.544	1.085
TCGA-22-5482-01	0.164	-0.108	-0.263	-0.697	-0.54	0.064	-0.076	0.449	0.449	0.142	-0.096	-0.087	-0.087	0.142	0.191	-0.479	0.054	0.142	-0.087	-0.104	-0.549	0.191	0.449	1.309	-0.699	0.093
TCGA-22-5485-01	-0.003	-0.013	0.04	-0.669	-0.649	0.026	-0.089	0.076	0.076	-0.019	0.374	-0.089	-0.089	-0.019	-0.098	-0.028	0.059	-0.019	-0.089	0	-0.73	-0.098	0.003	0.618	-0.673	0.511
TCGA-22-5489-01	0.388	0.001	0.006	0.003	-0.005	0.216	-0.006	-0.445	-0.004	0.005	-0.034	-0.437	-0.437	0.005	-0.416	0.017	0.107	0.005	-0.437	0.008	-0.038	0.005	0	-0.005	-0.429	0.558
TCGA-22-5491-01	0.15	0.082	0.017	-0.566	-0.589	0.112	0.115	0.01	0.01	0.09	-0.032	-0.687	-0.687	0.09	0.339	0.016	0.404	0.105	-0.687	-0.131	-0.534	0.364	-0.517	-0.036	-0.566	-0.014
TCGA-22-5492-01	0.02	0.001	0.574	-0.566	-0.561	-0.035	0.029	-0.566	-0.566	-0.047	-0.511	-1.129	-0.553	-0.047	0.573	-0.001	-0.569	-0.047	-0.553	-0.017	-0.022	-0.551	-0.53	1.594	-0.566	0.011
TCGA-33-4532-01	0.212	-0.656	0.039	-0.311	-0.29	0.234	0.463	0.016	0.016	-0.06	-0.604	0.209	0.117	-0.06	0.352	0.191	0.335	-0.06	0.229	-0.021	-0.333	-0.669	-0.079	0.84	-0.295	-0.019
TCGA-33-4533-01	-0.097	-0.111	-0.766	0.176	-0.46	0	0.099	0.194	0.222	-0.272	0.239	0.077	0.09	-0.276	0.057	-0.544	-0.109	-0.257	0.077	2.183	0.103	0.055	0.222	2.818	-0.718	0.751
TCGA-33-4538-01	0.342	-0.469	0.431	-0.424	-0.411	0.785	-0.315	0.002	0.002	0.353	0.292	0.19	0.253	0.353	-0.042	0	-0.417	0.353	0.253	0.009	-0.434	0.772	0.009	0.429	-0.448	0.408
TCGA-33-4547-01	0.002	-0.504	-0.008	-0.036	-0.516	0.004	0.018	0.477	0.462	0.025	-0.421	-0.496	-0.492	0.025	0.052	-0.523	-0.502	0.013	-0.492	0.002	-0.525	0.08	-0.522	0.508	-0.509	0.012
TCGA-33-4566-01	2.34	-0.058	-0.041	0.01	-0.031	0.352	0.008	-0.048	-0.048	0.38	-0.089	-0.038	-0.038	0.38	-0.073	-0.075	-0.488	0.38	-0.038	0.386	-0.06	-0.122	0.608	0.857	-0.031	0.685
TCGA-33-4582-01	0.481	-0.229	0.051	-0.188	-0.204	0.097	0.404	-0.223	-0.223	-0.212	-0.283	-0.243	-0.243	-0.212	0.643	0	0.17	0.46	-0.243	0.465	-0.031	-0.653	-0.121	0.265	-0.188	0.116
TCGA-33-4583-01	-0.166	0.174	0.023	-0.494	0.101	0.127	-0.192	-0.149	-0.149	0.161	0.087	-0.21	-0.21	0.161	-0.464	0.138	-0.393	0.161	-0.21	-0.167	0.071	-0.464	-0.172	0.101	-0.51	0.724
TCGA-33-4586-01	0.286	-0.043	0.783	-0.298	-0.294	0.023	0.266	-0.005	0.002	0.035	-0.367	-0.312	-0.312	0.035	0.305	0.275	0.328	-0.269	-0.312	-0.294	-0.346	0.305	-0.008	0.515	-0.298	0.799
TCGA-33-6737-01	0.309	-0.328	0.014	0.016	0.001	-0.005	0.018	-0.291	-0.019	0.017	-0.318	0.015	0.033	0.024	-0.318	-0.325	-0.306	0.017	0.033	0.333	-0.32	-0.315	0.002	0.301	-0.691	0.018
TCGA-34-2596-01	0.663	-0.019	3.657	-0.238	-0.217	-0.037	0.612	-0.221	-0.216	0.623	0.506	0.612	0.612	0.623	0.624	-0.248	0.667	-0.213	0.612	-0.236	-0.217	0.133	-0.262	0.705	-0.27	0.715
TCGA-34-2600-01	0.048	-0.561	0.427	-0.6	-0.538	0.179	-0.581	0.004	0.004	0.593	0.308	-0.595	-0.595	0.593	0.605	0.044	0.093	-0.58	-0.595	0.039	-0.429	0.16	-0.018	0.454	-0.606	0.643
TCGA-34-2608-01	0.008	0.006	0.08	-0.241	-0.233	-0.003	0.009	-0.146	-0.1	0.036	-0.261	-0.289	-0.289	0.036	0.145	0.027	-0.105	0.036	-0.289	-0.021	-0.259	0.145	-0.066	0.56	-0.241	0.205
TCGA-34-5231-01	0.625	-0.384	0.497	-0.412	-0.423	-0.006	0.346	-0.416	-0.416	0.398	0.336	0.346	-0.523	0.398	0.302	-0.055	-0.438	0.398	0.346	0	-0.423	0.316	0.004	-0.423	-0.444	0.429
TCGA-34-5232-01	0.016	-0.285	0.001	-0.295	-0.004	0.001	-0.067	-0.071	-0.071	0.012	0.005	-0.067	-0.067	0.012	0.012	0.001	0.004	0.012	-0.067	0	-0.004	0.012	-0.071	-0.004	-0.295	0.006
TCGA-34-5234-01	0	-0.007	0.063	0.002	-0.006	0.01	-0.042	-0.041	-0.041	0.021	-0.065	-0.042	-0.042	0.021	0.099	0.023	-0.094	0.021	-0.042	-0.03	-0.119	0.099	-0.041	-0.006	0.002	0.02
TCGA-34-5236-01	-0.084	-0.116	0.412	-0.22	-0.177	0.207	0.181	-0.027	-0.027	0.017	-0.156	0.001	0.001	0.017	0.282	-0.103	-0.342	0.017	0.001	-0.157	-0.134	0.287	-0.027	0.389	-0.218	0.088
TCGA-34-5239-01	0.183	0.496	0	-0.336	-0.346	0.024	-0.058	-0.06	-0.04	-0.087	0.193	-0.074	-0.074	-0.087	0.173	-0.152	0.273	-0.087	-0.074	-0.076	-0.346	0.173	-0.04	0.457	-0.336	0.478
TCGA-34-5240-01	0.465	-0.05	0.461	-0.062	-0.037	0.407	0.85	-0.027	-0.027	0.866	0.661	-0.157	-0.157	0.866	0.847	0.375	-0.061	0.864	-0.157	-0.07	-0.143	0.829	-0.053	1.884	-0.062	0.435
TCGA-34-5241-01	0.377	-0.179	0.134	-0.202	-0.279	-0.176	-0.195	0	0	0.414	-0.12	0.56	0.232	0.414	0.208	0.193	-0.196	0.78	1.663	0.18	-0.192	0.208	-0.004	0.572	-0.202	0.011
TCGA-34-5927-01	0.016	0.007	0.07	-0.722	-0.717	0.001	-0.044	0.016	0.034	0	-0.07	-0.044	-0.036	0	0.074	1.544	0.028	0	-0.044	-0.709	-0.734	0.074	0.003	0.022	-0.722	0.017
TCGA-34-5928-01	0.139	-0.346	0.617	-0.334	-0.009	-0.036	0.618	-0.343	-0.343	-0.008	-0.335	-0.019	-0.055	-0.008	0.622	-0.347	-0.029	-0.008	-0.019	0.301	-0.034	-0.355	0.622	1.209	-0.334	0.446
TCGA-34-5929-01	0.016	-0.671	0.029	-0.669	-0.671	0.014	-0.052	-0.686	0.045	0.281	-0.11	-0.073	-0.073	0.281	-0.045	-0.035	0.033	0.281	-0.073	-0.673	-0.671	-0.045	0.045	0.69	-0.67	0.003
TCGA-37-3783-01	-0.099	-0.393	0.368	-0.391	0	0.005	0.432	0.742	0.767	-0.102	-0.011	-0.381	-0.381	-0.102	0.023	0.03	-0.083	-0.102	-0.381	-0.008	-0.029	0.034	0.009	0.507	-0.39	0.422
TCGA-37-3789-01	0.007	-0.604	-0.625	-0.598	-0.361	-0.005	0.008	0.005	0.005	0.005	-0.538	-0.622	-0.622	0.005	0.027	0.024	-0.604	0.005	-0.622	0.582	0.038	0.027	-0.014	-0.01	-0.626	0
TCGA-37-4133-01	0.055	-0.399	0.635	-0.435	-0.45	-0.078	0.526	-0.374	-0.374	-0.454	-0.539	-0.11	-0.11	-0.454	0.266	0.317	-0.232	-0.454	-0.11	0.016	-0.459	0.266	0.415	0.447	-0.448	1.018
TCGA-37-4135-01	1.251	-0.569	0.655	-0.6	-0.57	0.042	0.906	2.26	0.632	0.043	-0.634	-0.611	-0.611	0.043	3.44	0.661	0.058	0.043	-0.611	-0.563	-0.563	0.032	0.03	0.637	-0.58	1.196
TCGA-37-4141-01	-0.61	-0.631	0.162	-0.632	-0.663	-0.361	0.289	0.225	0.225	-0.626	-0.627	-0.631	-0.651	-0.626	0.109	0.142	0.262	-0.626	-0.631	0.251	0.089	-0.662	0.153	1.027	-0.632	0.309
TCGA-37-5819-01	0.004	-0.013	-0.463	0.452	-0.152	-0.069	0.874	0.131	0.131	-0.514	-0.575	-0.563	-0.563	-0.514	-0.511	0.48	0.063	0.549	-0.563	-0.553	-0.818	0.351	-0.551	0.424	-0.493	0.774
TCGA-39-5016-01	0.062	-0.062	0.027	-0.292	-0.321	0.678	0.593	-0.279	-0.279	-0.298	0.305	-0.318	-0.318	-0.298	0.783	-0.15	-0.308	-0.298	-0.318	0.065	0.03	-0.288	-0.315	0.396	-0.292	0.39
TCGA-39-5019-01	0.353	-0.109	0.712	-0.23	-0.043	0.231	0.704	0.17	0.132	0.099	-0.187	-0.097	-0.097	0.099	0.205	0	0.16	0.099	-0.097	-0.156	-0.014	0.866	0.132	-0.043	-0.23	-0.015
TCGA-39-5021-01	0.573	0.035	0.081	-0.28	-0.282	0.081	0.073	-0.235	-0.235	-0.172	-0.331	0.073	0.073	-0.172	0.188	0	0.379	-0.172	0.073	-0.17	-0.282	0.146	0.136	0.453	-0.28	0.183
TCGA-39-5022-01	-0.016	-0.116	0.005	-0.153	0.006	-0.045	0	0	0	-0.032	0.075	0	0	-0.032	0.06	-0.011	0.06	-0.032	0	-0.099	0.006	0.077	0.106	0.507	-0.153	0.139
TCGA-39-5024-01	0.004	-0.004	-0.329	-0.308	-0.154	0.066	-0.008	0.072	0.072	-0.059	0.026	-0.008	-0.299	-0.059	0.032	0.004	-0.04	-0.059	-0.008	-0.002	-0.154	0.032	0.072	1.606	-0.308	0.17
TCGA-39-5027-01	0.076	-0.564	0.621	-0.532	-0.564	0.188	0.147	-0.394	-0.394	0.042	-0.016	1.24	-0.438	0.042	0.093	-0.228	-0.562	0.042	1.24	-0.581	-0.564	0.084	-0.386	0.035	-0.532	0.021
TCGA-39-5028-01	0.066	0	-0.079	-0.195	0.023	-0.062	0.058	-0.303	0.058	-0.156	0.073	-0.095	-0.095	-0.156	-0.021	-0.134	-0.196	-0.156	-0.095	0.081	-0.074	-0.021	-0.036	0.023	-0.195	-0.047
TCGA-39-5029-01	-0.094	0.101	0.191	0.487	-0.358	0.065	-0.166	-0.024	-0.024	-0.344	-0.343	-0.166	-0.166	-0.344	0.102	0.054	0.103	-0.344	-0.166	-0.122	-0.375	0.305	-0.353	0.692	-0.372	-0.224
TCGA-39-5030-01	0.012	0.013	0.01	-0.25	-0.244	0	0.007	-0.006	-0.006	-0.166	-0.007	0.007	-0.257	-0.166	0.001	0.028	-0.029	-0.166	0.007	-0.223	-0.256	0.001	-0.006	0.487	-0.25	0.013
TCGA-39-5031-01	0.026	-0.289	0.303	-0.303	-0.298	-0.09	-0.049	-0.067	-0.067	-0.29	0.262	-0.049	-0.049	-0.29	0.087	0.02	0.479	-0.29	-0.049	-0.294	-0.306	0.087	-0.032	1.332	-0.303	0.022
TCGA-39-5035-01	0.302	-0.305	0.306	-0.323	-0.02	0.277	0.565	-0.018	-0.018	-0.002	-0.314	-0.316	-0.316	-0.002	-0.292	0.03	0	-0.006	-0.316	-0.014	-0.005	-0.349	0.297	1.268	-0.323	0.295
TCGA-39-5036-01	0.723	0.123	0.109	-0.404	-0.386	0.22	-0.018	0.037	0.037	-0.068	-0.141	0.025	0.025	-0.068	1.76	0.188	-0.19	-0.068	0.025	-0.405	-0.469	0.127	-0.02	0.321	-0.404	0.24
TCGA-39-5037-01	0.957	-0.104	0.23	-0.169	-0.192	0.738	0.404	-0.138	-0.263	0.598	-0.13	-0.051	-0.529	0.598	0.748	-0.097	0.221	0.598	-0.051	0.728	-0.497	0.849	-0.223	0.387	-0.169	0.905
TCGA-39-5039-01	-0.042	-0.043	0.083	-0.068	-0.164	0.056	-0.052	-0.165	-0.165	-0.048	-0.027	-0.052	-0.052	-0.048	0.304	0.067	-0.009	-0.048	-0.052	-0.136	-0.164	0.304	-0.165	0.343	-0.068	0.03
TCGA-43-2578-01	0.043	-0.404	0.428	0.048	-0.408	-0.02	0.164	1.003	1.002	-0.389	-0.4	0.891	0.201	-0.389	-0.383	0.251	-0.386	-0.389	0.891	-0.406	-0.417	-0.395	0.207	-0.408	-0.408	-0.189
TCGA-43-3394-01	2.77	-0.007	0.686	-0.42	-0.453	0.241	0.43	0	0	0.444	0.384	1.209	-0.463	0.444	0.059	-0.393	-0.133	0.326	1.209	-0.444	-0.437	0.932	0.172	2.086	-0.42	0.846
TCGA-43-3920-01	0.139	-0.19	0.3	-0.392	-0.388	0.159	1.221	0.384	0.384	-0.005	0.379	-0.034	-0.034	-0.005	0.655	-0.043	0.373	-0.005	-0.034	-0.795	-0.426	0.655	-0.013	1.399	-0.392	0.661
TCGA-43-5668-01	-0.126	-0.617	-0.184	0.028	-0.268	0.276	0.229	-0.563	0	-0.275	-0.6	0.237	-0.296	-0.275	0.737	0.255	-0.256	-0.27	-0.296	0.062	-0.268	-0.305	0	0.242	0.013	-0.086
TCGA-43-6143-01	-0.256	-0.552	-0.011	-0.53	0.395	-0.209	-0.021	-0.497	-0.497	-0.076	-0.528	-0.542	-0.542	-0.076	0.854	0.264	1.209	-0.076	-0.542	-0.088	0.339	-0.153	-0.313	0.395	-0.53	1.444
TCGA-43-6647-01	0.047	0.082	0.128	-0.096	-0.143	-0.012	-0.047	-0.023	-0.023	0.048	0.066	-0.047	-0.047	0.048	0.109	0.096	-0.084	0.048	-0.047	-0.001	-0.142	0.103	0.01	0.534	-0.096	0
TCGA-43-6770-01	0.748	0.074	-0.102	-0.603	-0.561	0.001	0.322	-0.536	0.18	0.13	-0.544	-0.032	0.069	-0.505	0.579	0.002	0.091	0.13	0.708	-0.578	-0.485	1.365	0.125	0.062	-0.598	0.048
TCGA-43-6771-01	0.184	0.243	-0.235	0.235	0	0.006	0.003	0.004	0.004	-0.069	-0.051	-0.017	-0.01	-0.069	-0.202	-0.091	-0.008	-0.069	-0.017	-0.014	0	-0.202	-0.003	0	0.244	0.007
TCGA-46-3765-01	0.005	0.031	-0.491	-0.005	-0.516	0.491	0.033	-0.234	-0.234	-0.001	-0.029	-0.549	-0.549	-0.001	1.895	-0.25	0.001	-0.001	-0.549	-0.169	-0.547	0.015	0.076	1.657	-0.494	0.038
TCGA-46-3766-01	-0.02	0.109	0	-0.167	-0.169	-0.024	-0.095	0.063	0.072	0.955	-0.013	-0.095	-0.095	0.955	0.124	0.002	-0.041	-0.022	-0.095	0.015	-0.169	0.122	0.062	0.221	-0.167	0.011
TCGA-46-3767-01	0.241	-0.022	0.069	-0.167	-0.132	0.044	-0.087	0.069	0.069	0	0.027	-0.087	-0.087	0	0.107	0.042	-0.026	0	-0.087	-0.002	-0.092	0.054	0.069	0.599	-0.167	0.029
