	x	y
R141	47.9487	95
R142	44.1026	92.6923
R143	32.3311102266	61.411101248
R144	53.4214628807	26.1868803879
R145	63.92020226	30.8321939163
R146	70.2895057187	82.5336485877
R147	34.1188302357	45.7345513203
R148	67.6707164012	37.110947969
R149	53.2591294055	97.4757710964
R150	63.5149808671	25.1000785788
R151	67.9805388133	80.9571652197
R152	67.3724659005	29.720400203
R153	15.5607495229	80.0656402858
R154	71.7907676942	71.0654666627
R155	70.2425464362	24.1095975542
R156	64.9374355444	81.5542049945
R157	62.2135245453	21.4758389969
R158	67.2694004772	18.7089683725
R159	40.5701970446	79.3729634752
R160	74.7411813341	21.1016372041
R161	71.7683189223	20.0110618423
R162	76.1669198143	75.9361704048
R163	65.6236574431	15.5828033531
R164	50.8506336394	13.9876016304
R165	33.0240700249	24.4678303872
R166	39.7063261674	84.2752871038
R167	45.5964849542	9.76334884943
R168	42.9680469104	17.9454583961
R169	52.4944067819	16.0511142003
R170	46.0822757831	23.1104578154
R171	74.2477082092	20.314187812
R172	64.5682641863	83.6396338956
R173	74.0216939058	76.1282745076
R174	62.3911805626	5.62307076073
R175	74.189036683	68.1335832223
R176	28.2367819396	56.1395964513
R177	75.7719387944	69.8292300322
R178	75.8552294691	62.5170442862
R179	65.9708570175	72.7448559954
R180	21.7780404779	6.61662530728
R181	67.7597962473	72.4212015285
R182	78.6171953363	52.5752573142
R183	68.5077081898	15.4569189652
R184	74.8850211598	25.4166063231
R185	66.4549036599	19.8366286542
R186	77.3178020985	48.3983464352
R187	58.9124603193	75.6677562173
R188	57.617447817	8.19480060319
R189	76.0882257967	59.6799300235
R190	57.4660505497	1.50441817488
R191	79.4283834934	45.2107942872
R192	76.3565221496	10.4182411281
R193	64.4050752632	78.5841760758
R194	40.6350418091	73.3947503698
R195	43.9498645857	75.9587156671
R196	30.9962205791	71.694404938
R197	68.2307689907	80.8725016628
R198	72.0463894612	12.9180067349
R199	46.5927679682	84.9723827774
R200	49.2572183396	81.8814032306
R201	42.7817612539	12.9911884302
R202	65.475952195	14.2745856444
R203	71.9650826544	17.7102359443
R204	32.1464623358	43.4817094425
R205	31.8384976954	71.8121653901
R206	31.0052582572	40.682503007
R207	80.4708943189	49.5021483467
R208	71.9641671122	41.8742826668
R209	78.0794214417	93.1333167652
R210	41.6775957748	30.2012640846
R211	65.953595185	31.1474060835
R212	62.9344593731	31.9163906992
R213	64.3737979844	28.8625834061
R214	72.5093283599	39.5401302526
R215	30.0522898741	96.6175423534
R216	28.0033242354	46.6721919544
R217	75.4012268619	88.6390766207
R218	38.9800154218	87.322160691
R219	65.2199135479	84.6829549336
R220	73.0539899616	29.3808085571
R221	34.3983616372	59.5444469033
R222	43.4904501336	40.782542065
R223	55.138737967	30.7257603575
R224	43.6843934333	32.8230098696
R225	35.9036097344	91.1118630801
R226	45.3780188805	29.1692166544
R227	39.7774828713	43.75581895
R228	38.6644611569	33.3172384774
R229	39.0440366877	84.6760108316
R230	91.6399614428	79.4066030605
R231	47.4881326771	85.3899333808
R232	44.5902125769	22.0340116412
R233	39.0896145478	70.4661940802
R234	42.2293783752	19.9140684075
R235	37.0003871448	60.264279248
R236	39.0520864793	70.6525028457
R237	37.4884147432	60.8144048511
R238	69.3595594592	65.5213545959
R239	43.542775926	62.4603112824
R240	39.8112302539	65.3348328092
R241	70.0689259404	7.59346560899
R242	70.0405435824	77.1438066024
R243	39.505789079	74.8516272173
R244	62.5168908529	66.4847322418
R245	72.1399254065	0.0151193251552
R246	45.2515760666	70.0034213192
R247	42.0633045627	2.33519661206
R248	36.3556951539	6.0058486497
R249	30.3918276596	42.75961287
R250	36.4490038543	50.5462690659
R251	40.467576002	60.0275120878
R252	81.7246168002	6.03754484635
R253	48.8231974964	76.6353305783
R254	35.6205617651	57.2860155789
R255	50.5839631148	71.8066161014
R256	61.8564651063	71.7927431642
R257	39.3237560262	59.3008196656
R258	42.1856791429	66.0348978235
R259	30.8469189898	37.3416401041
R260	29.3462004281	42.1487418312
R261	82.1105579783	1.21055166293
R262	38.3020058088	60.0177857932
R263	56.5841530218	70.512514809
R264	33.3393742865	0.5091067352
R265	78.7742390407	35.4841012146
R266	27.9226442446	25.9868781844
R267	71.6978651182	10.8681445111
R268	74.1383313856	49.1739189791
R269	32.579020066	1.80811559665
R270	59.83218542	69.1525081443
R271	35.0306285457	12.5366493416
R272	74.3001198284	42.4770945921
R273	63.2501970628	65.9524861966
R274	34.1730737648	25.6936743092
R275	40.9138319319	38.5590195509
R276	62.8332930874	62.5108942269
R277	42.4767923803	56.7312899691
R278	52.0334562787	64.5666620298
R279	48.9070429644	74.2877488252
R280	59.8518383854	72.9583909677
R281	48.9604602016	72.6295257275
R282	46.8448551673	36.7917136918
R283	39.9630215796	42.9449148487
R284	66.704943997	32.0150954299
R285	53.366566866	90.2080300059
R286	52.8019793617	90.0880645063
R287	47.0541298828	90.458936026
R288	42.4484337816	89.5077001153
R289	42.7040363241	90.4426288607
R290	32.3789386326	90.144142631
R291	32.5307027362	70.1573965085
R292	33.3652644305	70.4593354392
R293	32.6560991775	70.0510704992
R294	22.9550932697	70.4268951523
R295	27.1498436318	70.2108058428
R296	26.1669092779	70.5003151212
R297	26.3314570795	50.494556525
R298	22.0037091415	50.4994401238
R299	23.2847479782	50.4743528321
R300	27.6340383923	50.5036668574
R301	32.0371080007	50.5000661229
R302	29.3365106528	50.461893969
R303	40.816953133	50.4877601957
R304	42.7390751173	50.483155992
R305	51.8678937691	50.4932732621
R306	43.3710018924	50.5008373234
R307	53.0427983006	50.4875038691
R308	56.6189102967	50.5033740178
R309	70.568289819	50.4962361243
R310	67.870887292	70.0680261345
R311	58.8215465891	70.4557817483
R312	60.1869278445	70.4835512458
R313	59.4355174849	50.4206326073
R314	49.5858434795	50.4349813825
R315	41.7797417848	50.4706422808
R316	46.1276863394	30.4494107792
R317	38.0337837705	50.4908995189
R318	44.5468412844	50.4159133758
R319	46.2381175975	30.4956129408
R320	49.7397453317	30.4727248868
R321	39.1102518936	30.4786951789
R322	39.1428377913	30.7928559394
R323	34.6254702671	30.4997410297
R324	34.7542074707	30.4958650002
R325	36.7537002386	50.5293043035
R326	37.0193512929	50.4926666972
R327	41.4171152753	50.4697734181
R328	22.8171074784	30.4360403387
R329	34.800701463	30.4979313851
R330	27.8918897953	30.4849702595
R331	32.8706391587	30.5023417488
R332	37.7940494081	30.4926383364
R333	35.6673163042	30.522035054
R334	48.4422995026	30.5017227753
R335	58.6693732631	30.5068378948
R336	47.9169554375	30.4867257545
R337	51.8941663939	30.494755684
R338	51.7490891643	30.4729933399
R339	58.2465530013	50.4428744949
R340	57.3106968674	50.4825132895
R341	67.9680481127	50.4521589097
R342	65.9493192681	50.494240794
R343	55.7470928102	50.4789748003
R344	68.4030100436	50.4986272318
R345	76.696465628	50.4938305609
R346	67.2148371159	70.2600284356
R347	72.3020057291	70.2204373812
R348	66.7632573944	70.4738617113
R349	51.6803004439	89.9970275485
R350	53.0965573571	89.540243712
R351	42.2422929389	89.7085785936
R352	56.2338756577	89.635308157
R353	54.6809865825	89.9645994589
R354	57.9026866088	89.6184017294
R355	51.8202625467	89.8341303987
R356	56.8283953362	89.5836647251
R357	58.2722785867	69.9002729578
R358	51.8281274487	70.3526492053
R359	44.8499842618	70.3952029719
R360	24.2703823928	50.4855676918
R361	34.7424714403	70.3399348879
R362	37.7993149267	70.4695358763
R363	49.7869410649	89.6580469945
R364	59.751497414	89.7319325216
R365	64.7747992444	90.132316736
R366	70.8444476004	89.9242090159
R367	70.6059455116	90.042061963
R368	78.6424883907	89.5512032307
R369	70.810692254	89.5926540118
R370	66.7699466213	70.4233752108
R371	73.3363681612	70.3169271705
R372	73.1051481627	70.300511881
R373	74.6782541432	70.4453141903
R374	80.240250951	70.3543089613
R375	70.9468490729	50.4727017878
R376	88.6626638086	50.4553260208
R377	84.405952832	50.4948658866
R378	75.9871047068	50.4919669557
R379	91.1120854191	50.489389393
R380	98.2881232748	30.6039193719
R381	95.0652748396	30.5004028652
R382	95.2492339568	30.4594542144
R383	49.6561262881	50.4313198677
R384	63.0186009279	30.4925819262
R385	70.5382006004	30.4835582526
R386	70.0868697658	30.5100448173
R387	62.6856904424	30.5464245575
R388	69.239417959	30.5060052447
R389	80.4002336791	30.4850063746
R390	74.6478782284	30.6738628584
R391	65.9952727194	30.4750241915
R392	67.0885590036	30.4945239508
R393	59.8525770283	10.5431877763
R394	53.7489900744	10.5225745323
R395	58.2390955164	10.4948990284
R396	54.810300495	10.7249292845
R397	52.9767123211	10.859490276
R398	52.2038939272	10.4956369212
R399	50.7451622429	10.5249055723
R400	42.7131936166	10.4875472428
R401	45.3172255098	10.4958733944
R402	53.116915041	10.5068605973
R403	57.049801823	10.5081369414
R404	54.8546309465	10.4639151924
R405	54.9248425638	10.498331942
R406	63.3095540306	10.4888142392
R407	49.7494984129	10.4858029097
R408	41.1693104232	10.4973002433
R409	46.6883404976	10.5075321353
R410	52.4189219215	10.4959063596
R411	50.8784883796	10.5030898746
R412	57.0533061394	10.5140692392
R413	70.7864511597	10.5136950409
R414	56.7721495656	10.5032723508
R415	75.4772220231	10.5185680355
R416	76.7659121498	10.496999064
R417	77.621049129	10.4958742318
R418	65.4144870523	10.6818401251
R419	69.9647805002	10.5072329326
R420	64.9697382623	10.4821595117
R421	38.0502407785	30.4079460343
R422	42.2241202189	30.4980371582
R423	87.6984642949	50.4899365296
R424	52.3603310701	89.7043170068
R425	51.4067867898	89.7121385499
R426	43.588468468	89.7455365536
R427	50.4815081703	93.2227013657
R428	50.2824056687	97.6099835723
R429	50.1867033389	99.6946801425
R430	50.3269108629	90.0220534916
R431	50.4562073315	89.9874101286
R432	30.4648469308	82.0892320845
R433	30.5015964737	82.3071263462
R434	30.489569227	77.7298801366
R435	30.45024833	79.8348944011
R436	30.5183947985	68.2525829388
R437	30.5116612138	66.0937181831
R438	30.4980777147	62.3849850338
R439	30.6202277519	60.8600821544
R440	30.4921854231	55.8789168923
R441	30.474634333	52.3221596388
R442	30.500998079	48.0696996767
R443	30.4944213623	45.7734755346
R444	30.4995445502	49.3820997506
R445	50.144392979	47.0142836417
R446	49.9128985877	55.5878389121
R447	50.3374274859	57.9553142818
R448	50.4189791992	60.5249117346
R449	50.2052589714	57.9242171676
R450	50.4353151633	56.4393224734
R451	69.5057889042	59.2849248279
R452	69.5340709833	64.8929773346
R453	69.5101069302	61.3296244282
R454	69.5263228876	56.9952791254
R455	49.9472399619	48.2295767261
R456	50.0631041291	58.085037556
R457	50.489902373	39.2054119682
R458	49.6888638379	42.018514414
R459	50.3334811097	43.588671479
R460	50.4467514196	57.2305889423
R461	50.4209091963	43.3479568967
R462	50.3740520508	32.9182406167
R463	30.4768299051	39.4246055913
R464	30.5034743497	38.3485561381
R465	30.5048349283	28.7714879939
R466	30.4622184647	32.7504720275
R467	30.491302622	43.5613740753
R468	30.449653838	44.9951230008
R469	30.4859942157	47.3479464653
R470	30.5020767935	36.4412129198
R471	30.4780588886	28.020580489
R472	30.5011608787	38.3141385582
R473	30.5047730174	26.4166256707
R474	30.509115326	22.8255471196
R475	50.1156321728	16.6940065479
R476	50.4483013392	21.6402564599
R477	50.17317743	29.177864393
R478	49.9227419194	38.4404729124
R479	50.3112993746	26.8604882737
R480	50.3994096114	38.9638389234
R481	50.3373626448	40.913386144
R482	50.2023180965	47.2129480045
R483	50.2749326091	49.6234993439
R484	69.4943803061	52.6124107059
R485	69.5193397556	47.384533707
R486	69.5291826079	57.8412666804
R487	69.495755496	58.785073162
R488	69.199057706	60.4189573202
R489	69.5510914402	58.4010982686
R490	69.5066843151	68.0844667893
R491	50.4441175504	75.0132995059
R492	50.4672293846	90.281464505
R493	50.210881979	80.9417717084
R494	50.205406955	90.6405359009
R495	50.4382906648	92.3547602661
R496	50.3735188462	82.2192057218
R497	50.253683689	81.7438287242
R498	50.2504708592	71.9513852104
R499	50.0870583609	73.9518736268
R500	50.2310718829	80.6473870602
R501	50.2077411201	73.1145035177
R502	30.4995061735	53.6125276703
R503	30.5203612407	65.1004090686
R504	30.4549558873	63.5017787814
R505	50.4164772292	97.2696919618
R506	69.5250693831	93.5980502089
R507	69.5202566002	97.1938760167
R508	69.4989700668	92.1204899292
R509	69.5286156637	91.6220882409
R510	69.4997669273	84.47968329
R511	69.5038013697	81.8154056166
R512	69.4875893963	81.8359875567
R513	69.5191157281	71.1159672213
R514	69.5043762947	70.4934438205
R515	69.5125730109	61.497563947
R516	89.4942005622	62.2343269676
R517	89.5001240511	53.2163306165
R518	89.490246254	48.890796551
R519	89.49778562	46.6299066746
R520	89.5048511306	48.4234081578
R521	89.5010526463	43.3473436951
R522	89.4888412549	40.6250912209
R523	89.5016235276	45.8151791904
R524	89.497529662	33.901372671
R525	50.4390920216	37.670771798
R526	50.179850128	36.8075593352
R527	69.5050706711	33.7401525035
R528	69.5798670452	21.9352367455
R529	69.5064719492	22.7286628748
R530	69.4994788728	16.3374699821
R531	69.500264751	27.1360239942
R532	69.5041565157	23.6689181006
R533	69.5322795847	21.8509008151
R534	69.5001114942	11.7916260054
R535	69.5048154243	15.6143582625
R536	69.5034745234	17.1690897689
R537	50.3774019862	16.5060150613
R538	50.3394254813	18.7234506861
R539	50.0936501016	11.6077134241
R540	49.9341271714	22.2561397401
R541	50.2888186122	13.436410466
R542	50.2879944267	12.8722822086
R543	50.2347207	20.4044729196
R544	50.2797016367	15.608737571
R545	50.2530067222	11.3020842468
R546	50.4741411162	12.4619966676
R547	50.1084399725	18.2590443442
R548	49.919058249	3.7168538855
R549	50.0836645085	10.2358819024
R550	50.3522608355	12.4686005273
R551	50.4975722411	7.40962523419
R552	50.0163058346	16.2536847911
R553	50.4682212165	13.3567024555
R554	69.5506789842	9.03298756904
R555	69.5186727475	15.1804864298
R556	69.5034574098	16.8783132661
R557	69.4994868291	10.2078266798
R558	69.5275296829	9.99229666551
R559	69.5190952617	11.4226857018
R560	69.5618994268	15.9998037858
R561	69.5010445197	5.95583353945
R562	69.524635976	2.73476016988
R563	30.4995937106	26.0855615691
R564	30.487391709	19.7794703733
R565	89.5001804719	31.9789174357
R566	50.4102716314	98.6283694405
R567	50.3259243927	94.9946308528
R568	50.1040315041	95.0885380179
R569	38.3377571839	92.472719051
R570	35.7518707905	94.1167680276
R571	32.7672179591	88.5182945794
R572	33.7296067755	88.622265789
R573	37.238249327	83.7249284144
R574	36.0271982243	82.0407806505
R575	39.2392807768	79.2637238398
R576	39.7845249391	82.2605658962
R577	35.1660293896	84.1564919839
R578	40.622115916	78.5421042089
R579	39.181907086	79.8190371976
R580	42.4308889944	75.1336346406
R581	43.0812558617	75.3467016413
R582	44.3607194344	70.4742070546
R583	44.3247788435	71.0459044019
R584	47.552160202	66.4604037217
R585	48.6649246215	64.9610049438
R586	46.280631958	68.0284231525
R587	50.5632444849	62.6238279659
R588	52.6309642318	59.9639357915
R589	54.6362064446	57.4938424367
R590	51.346027139	61.6005530364
R591	57.134855354	53.8779658045
R592	54.1712415737	58.0598078952
R593	50.9423823071	62.0973939351
R594	66.512924456	59.0712818478
R595	64.3979095023	56.1748754008
R596	68.686593294	62.2373439902
R597	65.0277937057	57.0962573525
R598	53.3045031712	40.883844549
R599	52.9451780881	40.3846256942
R600	45.225738199	30.5552259226
R601	50.8433046202	37.7446280981
R602	49.6592939398	36.273442735
R603	47.1427889348	32.0250641734
R604	41.2700565259	21.7218171465
R605	47.1301271555	31.3099029222
R606	40.9159715783	23.5415923929
R607	38.6601639737	21.6895496369
R608	42.6125508262	24.195053774
R609	41.2090395008	24.1287091891
R610	50.6492211499	37.4837907435
R611	52.1319019406	39.3646020815
R612	39.7972712705	16.083549649
R613	43.5498814807	24.3072109395
R614	36.7146633371	17.3818098572
R615	37.2246101278	17.9800644828
R616	40.5124478537	22.9622145725
R617	40.2220627884	20.6146217044
R618	44.1249612057	23.3662452858
R619	42.3462616039	24.5583269437
R620	44.1890843708	28.772625473
R621	45.8142453101	31.056979672
R622	46.6431192691	31.4072190618
R623	52.1898883047	39.3677964938
R624	51.1003173587	38.095699984
R625	65.4008341477	42.6140320392
R626	64.8520398267	43.1337348404
R627	63.4038060118	44.847493688
R628	65.3715488709	42.6959713164
R629	61.9080397046	53.1903520694
R630	71.8266529973	65.6862303604
R631	72.6546231621	66.8782776113
R632	76.8885781632	72.1654720777
R633	43.7446196844	71.2679610751
R634	39.0542484428	83.1190207043
R635	39.9316746322	79.9391880033
R636	39.762826107	76.4059674459
R637	41.323383287	80.2118685969
R638	41.7873232275	83.9880779935
R639	39.7556490651	79.6570966361
R640	40.7498793985	77.204657286
R641	43.8568984983	77.6098436482
R642	42.3678224956	73.6382718294
R643	39.4629598364	78.459973898
R644	44.5173339492	70.3693498252
R645	41.6360929963	76.2492229205
R646	45.4229321817	69.0955016709
R647	42.0028562742	97.8376147235
R648	76.1056290282	95.3049805754
R649	79.2025626772	92.4072156264
R650	84.8482440854	95.4248045304
R651	81.5644753207	83.7929072262
R652	85.4461864009	83.0782938448
R653	80.3124913784	76.5162389518
R654	80.7662322969	79.8960656796
R655	82.6701124763	81.711479845
R656	77.1636254828	73.5237189623
R657	74.0707000309	68.4795642895
R658	74.1142308687	71.9263635185
R659	68.942075458	62.635150577
R660	73.2420023309	67.3532711288
R661	71.8670131631	34.3291575887
R662	71.5691888532	34.699218607
R663	71.4829096934	34.6805169926
R664	78.1285220512	23.139231835
R665	78.789825254	25.5971933466
R666	77.7815467962	23.4472144745
R667	48.5306293681	34.1524500077
R668	65.5307814724	42.2810847015
R669	70.1180341426	36.4481847905
R670	70.4722626065	36.0880530553
R671	76.7911300701	28.0720081685
R672	72.4093545935	33.0392569664
R673	76.271299815	25.5695441452
R674	76.9532591384	27.7706107405
R675	75.1077300904	30.0169834157
R676	75.9692852004	29.0388653753
R677	75.2838870131	24.8747531721
R678	77.0522406385	27.9056390894
R679	42.8267563374	25.5569594065
R680	42.0806606852	24.9465264454
R681	39.8783046498	18.3249292157
R682	36.4754991726	17.7189477884
R683	37.1030736419	15.4456116477
R684	34.1489682077	13.5238698677
R685	37.5794219113	15.0158901333
R686	41.0643057894	12.2144689321
R687	42.195266147	20.9193721857
R688	36.6055782383	15.748875885
R689	39.4311612098	19.3238407541
R690	37.5620763361	11.9284457044
R691	34.2381100444	13.7131582305
R692	34.1409410386	4.57766135024
R693	36.6592676972	17.6819644553
R694	40.6437192795	20.2408613716
R695	36.7924815919	13.3921347304
R696	75.9483006427	22.7447959146
R697	76.8406924717	20.9185472197
R698	81.9504776395	19.8745582085
R699	81.6437056853	16.5917599845
R700	84.6102197758	14.2477619017
R701	84.1028794336	8.98065579006
R702	80.18002545	19.0888441297
R703	80.5732729943	8.36563890168
R704	79.0043268649	10.6281977654
R705	40.0481864651	24.2614879334
R706	34.7945935378	13.9696834611
R707	79.221764441	22.0945914837
R708	36.0308797708	93.1217332374
R709	34.4995583102	86.6099850511
R710	31.1068665551	89.4616352367
R711	58.2136082599	91.881891513
R712	58.1960536923	92.2149886482
R713	58.7182307185	90.310532087
R714	57.27837287	89.9076067166
R715	58.082020494	92.0081450101
R716	57.4894477748	88.0852855629
R717	28.088741319	63.5107944263
R718	28.0854682136	63.5901969481
R719	28.087273053	63.1232828116
R720	27.5780252176	62.8210386566
R721	27.7799191139	63.518147517
R722	28.5889998149	63.0240805653
R723	28.7391414969	62.7208638859
R724	27.0246032407	62.9018588649
R725	28.8013366963	63.389040388
R726	27.186463838	63.5587296478
R727	29.2851466002	63.3836058254
R728	39.4029453026	51.1508571967
R729	28.8113284396	61.3578540576
R730	34.3039579069	56.5421259093
R731	29.6027609801	60.157346722
R732	49.1161568603	63.6600006211
R733	39.6175458263	62.9251879574
R734	43.23308466	63.1652187223
R735	64.8927879422	65.8141767574
R736	62.4901493154	74.5842896072
R737	68.9880844294	63.232147305
R738	62.1056186306	75.9908707599
R739	32.4618467439	62.8819029189
R740	41.3272006535	49.0702512739
R741	44.0071499323	46.4496737846
R742	44.0740606888	34.5532038906
R743	44.0013152386	33.9042073544
R744	45.0063004454	38.2990195507
R745	44.4438406096	36.0190833012
R746	42.1787133986	26.492119482
R747	44.0445656189	35.6622382764
R748	41.6404540171	27.0930954213
R749	41.9383300069	24.9915229793
R750	44.0539275103	33.5563924949
R751	39.2067193308	51.5337156971
R752	28.7044492315	61.7775254006
R753	31.7086628996	58.837754374
R754	42.8117114739	30.0204484197
R755	43.300614891	31.5264261979
R756	40.3986329069	16.3470083822
R757	40.4356915763	20.2326706762
R758	40.9365466658	16.9130048364
R759	39.6615736653	15.609355577
R760	40.899259175	20.7985289466
R761	41.9686168283	26.4970725985
R762	40.3834058238	21.3912255247
R763	56.5381264538	32.4442454697
R764	52.9706912828	29.0401966941
R765	54.6209525885	30.3445244537
R766	65.0990443941	27.2415575588
R767	63.0559909076	29.7090956748
R768	70.9601362323	41.2595012867
R769	69.8958192404	43.4537592655
R770	70.5958928563	41.9647438672
R771	69.6470214273	44.044445022
R772	77.392982494	63.3714590552
R773	64.4007871926	67.4487184472
R774	63.8689598271	70.2137388333
R775	56.5944213157	86.9270062202
R776	56.5313372853	87.4998110713
R777	59.6521583697	87.8094615921
R778	56.6365087005	85.637495556
R779	58.6722880025	90.077160307
R780	58.2216127264	90.4110187715
R781	57.9146644768	89.9538027677
R782	55.3155090581	80.2518606944
R783	54.5757285877	77.5362884724
R784	54.4130936504	78.2290865878
R785	55.0745059041	79.8175464166
R786	29.4329605156	60.8017765444
R787	29.4226860665	63.0684648229
R788	29.0056141576	63.3907513334
R789	58.4618385916	90.2653263904
R790	57.997804739	92.1599086113
R791	57.5494740761	90.7489065581
R792	59.5299284566	88.3272741451
R793	58.2493910631	92.1296814778
R794	58.0245140126	91.6944211685
R795	58.3821244904	90.5534760692
R796	62.5667590405	77.7439347591
R797	72.1758243064	63.1289294176
R798	79.4727615693	63.4086861199
R799	80.3577008812	63.2954375404
R800	78.7572361375	53.3326200111
R801	82.5402395934	56.5410522935
R802	86.4358971909	59.7927618087
R803	79.4886844186	53.6516742641
R804	81.5304203188	56.0253645659
R805	79.1867885665	53.2347918468
R806	77.8990579454	51.8224583343
R807	75.1307142075	23.3724419733
R808	76.0580137544	16.3837496882
R809	57.6146743876	33.8224476502
R810	56.1713975295	32.1179887719
R811	66.2878905956	26.1171097453
R812	67.8817196169	24.2360184109
R813	64.0280813016	27.6726855125
R814	77.4966517463	14.9485235577
R815	77.6346517616	14.461853927
R816	77.8637264289	14.6106776491
R817	77.3381581659	15.890054658
R818	76.1804165329	15.9125737458
R819	77.2526510945	15.1515170246
R820	77.4133752817	15.2219279762
R821	76.7318493982	16.2168461441
R822	49.4711054118	25.0630193062
R823	42.4765399431	18.3384735636
R824	43.5951158622	19.9942009773
R825	50.3399696652	26.4713966117
R826	40.7489802561	16.1821416622
R827	38.3865255803	14.5802151464
R828	38.4040152085	14.4519484496
R829	38.7642788913	14.3655904744
R830	41.4701423265	17.2780334445
R831	47.1554048146	22.3779325323
R832	39.5825667453	17.6484528361
R833	41.7402438167	17.8293243101
R834	39.3118718889	15.6407169743
R835	41.6798476925	17.7459190133
R836	39.0874644519	15.1223039378
R837	41.4815028637	18.0474374446
R838	77.6060865492	15.1628725383
R839	75.9826615205	16.3069223786
R840	76.9457572424	15.858478334
R841	77.5437200743	15.253949149
R842	77.5847398447	15.8300393854
R843	76.8223042562	15.5951653195
R844	77.3485716647	15.7745292395
R845	77.5731526867	14.7806458332
R846	77.9726106776	14.9556987461
R847	41.5289197586	24.9164251896
R848	43.7225508034	19.0773278036
R849	79.3260781751	52.9003912897
R850	56.6639740815	87.9401250067
R851	57.8217892319	90.6931665489
R852	58.2431718991	92.1043278652
R853	57.6132335477	83.9051707998
R854	51.2743918205	82.8179829379
R855	50.7538984114	76.7541289533
R856	37.0211840116	81.954469997
R857	42.8817550897	80.1847700514
R858	37.1557104777	84.9541114129
R859	38.7318581261	83.7893564281
R860	31.0005254108	82.5794805962
R861	25.9854996226	74.3493875478
R862	23.7145662909	75.0980490792
R863	23.077319507	71.7205396747
R864	24.9391368744	72.5802858084
R865	17.8934987136	71.1096873431
R866	23.6730818572	64.8708391385
R867	23.7490719056	63.557171895
R868	32.2151786343	65.6009580191
