	char_costume	char_popular	character	costume	parameter	rank
75	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
76	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
77	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
78	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
79	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
80	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
81	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
82	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
83	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
84	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
85	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
86	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
87	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
88	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
89	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
90	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
91	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
92	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
93	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
94	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
95	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
96	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
97	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
98	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
99	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
100	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
101	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
102	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
103	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
104	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
105	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
106	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
107	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
108	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
109	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
110	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
111	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
112	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
113	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
114	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
115	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
116	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
117	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
118	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
119	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
120	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
121	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
122	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
123	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
124	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
125	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
126	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
127	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
128	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
129	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
130	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
131	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
132	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
133	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
134	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
135	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
136	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
137	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
138	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
139	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
140	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
141	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
142	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
143	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
144	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
145	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
146	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
147	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
148	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
149	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
150	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
151	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
152	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
153	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
154	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
155	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
156	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
157	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
158	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
159	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
160	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
161	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
162	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
163	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
164	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
165	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
166	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
167	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
168	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
169	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
170	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
171	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
172	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
173	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
174	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
175	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
176	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
177	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
178	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
179	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
180	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
181	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
182	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
183	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
184	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
185	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
186	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
187	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
188	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
189	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
190	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
191	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
192	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
193	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
194	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
195	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
196	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
197	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
198	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
199	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
200	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
201	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
202	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
203	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
204	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
205	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
206	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
207	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
208	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
209	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
210	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
211	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
212	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
213	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
214	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
215	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
216	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
217	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
218	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
219	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
220	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
221	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
222	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
223	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
224	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
225	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
226	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
227	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
228	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
229	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
230	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
231	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
232	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
233	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
234	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
235	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
236	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
237	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
238	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
239	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
240	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
241	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
242	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
243	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
244	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
245	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
246	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
247	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
248	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
249	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
250	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
251	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
252	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
253	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
254	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
255	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
256	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
257	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
258	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
259	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
260	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
261	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
262	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
263	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
264	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
265	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
266	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
267	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
268	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
269	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
270	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
271	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
272	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
273	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
274	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
275	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
276	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
277	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
278	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
279	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
280	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
281	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
282	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
283	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
284	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
285	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
286	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
287	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
288	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
289	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
290	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
291	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
292	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
293	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
294	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
295	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
296	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
297	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
298	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
299	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
300	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
301	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
302	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
303	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
304	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
305	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
306	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
307	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
308	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
309	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
310	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
311	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
312	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
313	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
314	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
315	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
316	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
317	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
318	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
319	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
320	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
321	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
322	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
323	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
324	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
325	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
326	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
327	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
328	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
329	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
330	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
331	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
332	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
333	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
334	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
335	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
336	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
337	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
338	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
339	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
340	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
341	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
342	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
343	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
344	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
345	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
346	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
347	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
348	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
349	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
350	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	thought	4
351	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	narrative	4
352	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	depicted	4
353	Gambit (costumed)   	Gambit	Gambit = Name Unknown	costumed	speech	4
