	FL1-A	FL2-A
V276	2406	7329
V277	1249	2931
V278	5872	7145
V279	1519	3180
V280	1209	2175
V281	2233	6507
V282	2283	6894
V283	46	297
V284	1685	5127
V285	756	2958
V286	2395	6589
V287	3346	715
V288	1317	2624
V289	9680	12687
V290	1136	8017
V291	1639	4862
V292	2071	5306
V293	220	208
V294	3194	1059
V295	1682	7417
V296	94	533
V297	1764	5286
V298	1979	6371
V299	1305	4862
V300	2552	6764
V301	1740	1279
V302	1939	6088
V303	546	681
V304	1460	3504
V305	2229	6057
V306	1372	3619
V307	1304	5095
V308	494	222
V309	1745	4748
V310	1390	4824
V311	1409	5844
V312	469	444
V313	381	1312
V314	2280	5557
V315	2223	9195
V316	1609	6998
V317	2207	6104
V318	2478	7668
V319	146933	2972
V320	42527	4539
V321	1725	4252
V322	1443	3820
V323	1925	5084
V324	5431	2456
V325	2686	6211
V326	1461	3844
V327	2190	6088
V328	1593	4480
V329	927	3692
V330	11775	2686
V331	1662	4933
V332	1458	4741
V333	2322	6779
V334	2546	6624
V335	1786	5184
V336	1968	5665
V337	2515	6028
V338	1768	4885
V339	22235	3456
V340	112	841
V341	483	399
V342	1507	3995
V343	1390	5012
V344	982	3283
V345	3013	7535
V346	2645	5914
V347	400	294
V348	1843	4605
V349	6000	3409
V350	1539	3738
V351	318	774
V352	43954	2502
V353	10481	2148
V354	1659	5765
V355	1834	5201
V356	2832	4142
V357	1708	868
V358	2519	6907
V359	2183	4454
V360	1845	4131
V361	2514	5284
V362	326	263
V363	1911	6140
V364	2587	5725
V365	1659	4060
V366	78951	2982
V367	2036	6497
V368	2597	3970
V369	778	2688
V370	1699	3100
V371	1138	3910
V372	1302	3519
V373	1312	3788
V374	1445	4635
V375	2453	7067
V376	1685	4813
V377	546	570
V378	2146	2340
V379	2282	6332
V380	1668	3696
V381	1394	3459
V382	883	16833
V383	1103	6378
V384	1789	9974
V385	1903	5017
V386	2022	7058
V387	1468	3334
V388	189877	4015
V389	2069	6050
V390	61968	3082
V391	463	679
V392	2111	5483
V393	2421	5829
V394	1235	4245
V395	1568	5879
V396	1528	2479
V397	2139	6580
V398	1725	4488
V399	1891	4572
V400	1453	4790
V401	901	1980
V402	1565	7854
V403	1756	5889
V404	1963	4495
V405	1782	5281
V406	2120	4343
V407	1739	6902
V408	1267	3435
V409	2115	5640
V410	1742	5452
V411	2313	5509
V412	2729	7821
V413	2207	5772
V414	1848	6484
V415	2191	6468
V416	976	3574
V417	138	510
V418	1597	4726
V419	1972	6634
V420	150	225
V421	2522	6703
V422	1968	4960
V423	2856	7303
V424	5178	9576
V425	1003	655
V426	168	90
V427	1860	5186
V428	2869	8649
V429	4388	11803
V430	1353	5103
V431	1864	5320
V432	1817	5350
V433	1090	4207
V434	1563	5310
V435	2742	7272
V436	2872	8794
V437	1831	5984
V438	1870	4478
V439	2030	4794
V440	1865	5613
V441	112193	3426
V442	2290	6080
V443	887	2537
V444	1939	5864
V445	1898	5096
V446	380	290
V447	202	895
V448	2368	3403
V449	1912	3847
V450	2837	5195
V451	1417	4795
V452	28318	2227
V453	294622	5402
V454	2067	3125
V455	1625	4178
V456	1321	4064
V457	961	343
V458	2334	6631
V459	198	1211
V460	2221	5440
V461	2256	4150
V462	419535	8070
V463	1731	4503
V464	599	603
V465	5261	10044
V466	2940	6535
V467	3530	5783
V468	2667	9059
V469	1942	5147
V470	3578	7244
V471	2707	6598
V472	2320	6680
V473	2173	5605
V474	2184	5784
V475	1879	5883
V476	290913	6457
V477	2004	5486
V478	1233	4172
V479	24921	2791
V480	980	2377
V481	2762	6608
V482	2814	6497
V483	10	100
V484	2013	4225
V485	1275	4227
V486	3304	4282
V487	1466	4196
V488	534	1167
V489	1655	3881
V490	67452	4109
V491	1422	1795
V492	3555	10466
V493	5369	5560
V494	239	655
V495	2765	7299
V496	1757	5375
V497	2488	5019
V498	4717	11631
V499	664	1743
V500	1907	4127
V501	365	1238
V502	2113	3703
V503	1760	6982
V504	1311	2550
V505	1445	4182
V506	1745	4125
V507	6167	12039
V508	1272	4618
V509	1540	5454
V510	1476	3444
V511	362571	5535
V512	2894	6330
V513	1357	4231
V514	53043	3231
V515	1697	5432
V516	2341	4334
V517	1240	6082
V518	7361	19156
V519	2383	7984
V520	357896	6576
V521	2161	6231
V522	307612	5320
V523	2177	6040
V524	15582	3511
V525	1475	3289
V526	2367	6492
V527	35004	3126
V528	1464	5286
V529	1228	3470
V530	1541	3180
V531	1341	3483
V532	1593	4117
V533	946	672
V534	56683	3399
V535	1845	6154
V536	608	1308
V537	1660	5558
V538	26879	4878
V539	4136	2687
V540	2599	2769
V541	3004	4329
V542	42290	9181
V543	50803	6083
V544	3167	6880
V545	1770	4336
V546	9489	3508
V547	216	11
V548	1792	6307
V549	967	2895
V550	596	706
V551	1525	4955
V552	2366	6088
V553	1345	4674
V554	1403	4714
V555	1630	3238
V556	4985	16926
V557	65951	6784
V558	2752	6676
V559	3657	5928
V560	2034	5308
V561	1842	5490
V562	4231	6516
V563	254849	5480
V564	1709	4657
V565	1718	4282
V566	887	2794
V567	1319	5612
V568	1734	3770
V569	1956	5493
V570	1682	4280
V571	1377	3012
V572	1805	6091
V573	525	1158
V574	1566	5475
V575	2239	5428
V576	1905	4806
V577	1737	4661
V578	1346	4097
V579	1260	4499
V580	8814	3262
V581	1626	4341
V582	842	2363
V583	582	527
V584	1286	2878
V585	1584	4520
V586	3636	8571
V587	1709	5068
V588	1217	4299
V589	2170	6273
V590	1305	4206
V591	1633	5240
V592	2566	6684
V593	1629	5305
V594	3042	5365
V595	604	6122
V596	890	3215
V597	1497	4142
V598	481	332
V599	150	355
V600	169463	5834
V601	2433	6138
V602	1861	3912
V603	3836	3228
V604	3733	6647
V605	732	1306
V606	2271	4968
V607	2014	4434
V608	2354	5230
V609	1722	6076
V610	1382	661
V611	1880	4748
V612	1829	6823
V613	850	2895
V614	2642	6954
V615	2290	6326
V616	1424	4083
V617	1496	3169
V618	1719	5044
V619	1191	4247
V620	2293	6354
V621	4171	10193
V622	315	259
V623	1893	4595
V624	1666	5350
V625	497	1794
V626	1721	6010
V627	1532	3569
V628	1826	6086
V629	687	678
V630	3169	10523
V631	8741	25684
V632	1307	4102
V633	2287	5171
V634	294	734
V635	2054	4843
V636	2535	7288
V637	2442	5863
V638	1600	5603
V639	2472	8211
V640	1536	3029
V641	1099	3277
V642	1795	4365
V643	1306	3845
V644	1160	3622
V645	2795	6580
V646	1301	4495
V647	15097	2294
V648	407	2490
V649	1685	5991
V650	2386	5930
V651	1927	4822
V652	991	2566
V653	1615	3853
V654	1627	5468
V655	1170	4104
V656	4085	12890
V657	1757	5166
V658	1076	3459
V659	241891	4942
V660	2734	6675
V661	945	3292
V662	2898	4755
V663	1520	6104
V664	1746	5755
V665	1459	4253
V666	1801	4729
V667	1388	5274
V668	2565	4695
V669	144	808
V670	1691	5187
V671	1115	3951
V672	1734	4721
V673	2204	5548
V674	1978	6946
V675	1524	3706
V676	1590	5959
V677	1935	6201
V678	356524	6288
V679	1979	5117
V680	4596	9606
V681	1590	4702
V682	2818	4146
V683	2507	5621
V684	1437	3324
V685	1130	3893
V686	2040	4623
V687	31325	2241
V688	1948	6123
V689	1036	4518
V690	2588	6458
V691	2065	4287
V692	1624	6070
V693	2617	6245
V694	1949	5340
V695	1308	2757
V696	1696	4543
V697	4283	7169
V698	2366	5926
V699	1638	5519
V700	2257	6603
V701	1782	4428
V702	2109	5603
V703	217150	9552
V704	2194	5756
V705	1386	3309
V706	2114	5323
V707	2701	5509
V708	1316	4252
V709	1800	5006
V710	14917	3058
V711	8088	1656
V712	1385	3200
V713	2609	5010
V714	192412	4208
V715	1836	4726
V716	1332	5629
V717	3074	7431
V718	1963	2852
V719	914	2671
V720	1299	2725
V721	266	490
V722	3262	6436
V723	860	4038
V724	2528	8750
V725	2364	6593
V726	1157	3734
V727	122312	3441
V728	2781	5353
V729	1998	5451
V730	649583	10128
V731	27	247
V732	2346	5443
V733	7309	29005
V734	11066	2735
V735	2230	5584
V736	957	3048
V737	2152	4972
V738	6311	11918
V739	22857	5034
V740	1864	5587
V741	1808	5565
V742	2472	5962
V743	1443	622
V744	1753	5939
V745	320	1283
V746	2934	3330
V747	1446	4111
V748	74	51
V749	2289	5960
V750	1898	5566
V751	1768	3803
V752	1752	4917
V753	1936	3969
V754	1006	3260
V755	1599	5140
V756	17	103
V757	1187	3565
V758	2927	7323
V759	6035	3263
V760	2210	7788
V761	1637	4805
V762	2350	6616
V763	2241	5034
V764	401	1682
V765	1546	4758
V766	2270	6670
V767	2645	7707
V768	2383	2396
V769	170	268
V770	131848	3644
V771	1766	3381
V772	2609	6604
V773	13365	2333
V774	7625	855
V775	41130	7850
V776	19699	2281
V777	1024	3952
V778	7232	953
V779	2210	6577
V780	7351	20006
V781	2740	4614
V782	1576	4534
V783	1908	5487
V784	3033	1951
V785	857	2848
V786	1449	3759
V787	145	1735
V788	479	2556
V789	354136	5794
V790	1644	2833
V791	86872	3460
V792	2762	5073
V793	1773	4310
V794	1352	2342
V795	1263	5494
V796	493	1904
V797	897	3105
V798	807	2240
V799	1573	3613
V800	229	1357
V801	2932	2096
V802	1061	1629
V803	464	1320
V804	136	112
V805	11946	3281
V806	915	4278
V807	1360	3819
V808	821	3084
V809	1703	5576
V810	1760	2383
V811	3609	3350
V812	1285	3447
V813	1278	3859
V814	668	1700
V815	2066	2002
V816	860	3112
V817	244	677
V818	1034	3862
V819	817	371
V820	724	1726
V821	1078	3525
V822	1836	5821
V823	1802	2825
V824	203361	5065
V825	1468	4904
V826	1945	2103
V827	1907	5223
V828	0	1115
V829	834	3745
V830	219	2015
V831	271	762
V832	1215	5363
V833	479	893
V834	481	1050
V835	617	1375
V836	736	2757
V837	1580	2327
V838	257	1184
V839	2780	7120
V840	331	806
V841	879	2192
V842	1322	3009
V843	1103	1456
V844	167	532
V845	619	2625
V846	385	1102
V847	8523	804
V848	231	1520
V849	549	1939
V850	189	1495
V851	349	129
V852	2325	1681
V853	88	555
V854	1138	2902
V855	2550	1553
V856	1998	2995
V857	890	2928
V858	751	905
V859	733	366
V860	322	39
V861	6459	2536
V862	41128	2215
V863	1334	4248
V864	573	886
V865	472	1866
V866	1075	335
V867	185	1576
V868	2044	4358
V869	111	46
V870	276	138
V871	596	826
V872	265	2451
V873	341	1395
V874	481	866
V875	2427	3564
V876	184	353
V877	1073	399
V878	872	3249
V879	159	2866
V880	344	2204
V881	456	159
V882	1956	3022
V883	623	3766
V884	683	2199
V885	1206	3271
V886	383	1216
V887	625	1696
V888	888	410
V889	654402	11365
V890	1610	2841
V891	106	1118
V892	808	2138
V893	264	242
V894	216	202
V895	388	2268
V896	158	480
V897	652	2082
V898	48	200
V899	278843	4777
V900	281	761
V901	271	134
V902	323769	7715
V903	319	272
V904	82	1381
V905	2462	1572
V906	495	309
V907	642	2113
V908	1681	5041
V909	316016	6079
V910	611	1387
V911	819	2003
V912	597	220
V913	1758	5121
V914	52	247
V915	428	1259
V916	1462	3435
V917	360	1550
V918	1748	6269
V919	61629	1510
V920	997	3743
V921	118	118
V922	141	120
V923	862	3219
V924	1021	3394
V925	394	1799
V926	1467	3155
V927	1325	4161
V928	1260	2685
V929	1647	2404
V930	437	1837
V931	358	1845
V932	85067	2205
V933	6468	761
V934	1496	4847
V935	1557	4003
V936	118473	2807
V937	268	1417
V938	1243	2724
V939	1217	2651
V940	2951	7846
V941	386	2092
V942	1051	3052
V943	1164	5401
V944	92	1778
V945	857	2005
V946	77	756
V947	941	3467
V948	1199	3634
V949	1522	3653
V950	1591	3866
V951	674	2347
V952	1582	3573
V953	1773	4836
V954	1368	3492
V955	1374	4676
V956	275	117
V957	819	2206
V958	957	2716
V959	609	2387
V960	382	811
V961	1276	4987
V962	1266	4762
V963	2425	5505
V964	7967	8697
V965	1319	5829
V966	1665	3566
V967	424	1623
V968	1820	4142
V969	60928	1187
V970	1478	5698
V971	1360	5708
V972	140	2
V973	710	2536
V974	1861	6178
V975	1300	4292
V976	1902	4268
V977	2012	4166
V978	9943	5253
V979	1640	5852
V980	189419	5534
V981	7367	841
V982	1845	5831
V983	1363	4253
V984	329	576
V985	1716	3621
V986	2081	5534
V987	1951	5292
V988	2134	6775
V989	17242	838
V990	2215	7157
V991	693	2179
V992	1219	3608
V993	1868	5097
V994	1250	4890
V995	1494	5758
V996	415	198
V997	2295	5501
V998	1673	6672
V999	1606	5008
V1000	2160	6836
V1001	6445	4043
V1002	838	777
V1003	1894	3652
V1004	1718	3340
V1005	1257	3035
V1006	1254	3847
V1007	99268	4835
V1008	1458	4056
V1009	2161	5774
V1010	506	2128
V1011	1679	4489
V1012	1991	1193
V1013	1331	4304
V1014	1450	4266
V1015	950	972
V1016	2895	4000
V1017	974	2341
V1018	2293	7697
V1019	1805	5416
V1020	1689	6658
V1021	1321	3905
V1022	157	828
V1023	3541	8737
V1024	321	230
V1025	1241	5344
V1026	1399	4638
V1027	94012	2163
V1028	2610	4938
V1029	1319	4019
V1030	1497	5056
V1031	2270	6145
V1032	389	2531
V1033	4156	2533
V1034	3608	9292
V1035	2256	6455
V1036	3519	10678
V1037	242	400
V1038	1929	5464
V1039	254	1337
V1040	865	2610
V1041	1461	919
V1042	13938	2643
V1043	2024	6197
V1044	1393	5079
V1045	975	2637
V1046	2528	5662
V1047	2032	6302
V1048	1576	5343
V1049	1576	4666
V1050	1351	5423
V1051	1545	3283
V1052	2873	5653
V1053	1453	5202
V1054	10118	1854
V1055	1806	5991
V1056	1130	3153
V1057	2163	6519
V1058	1309	3832
V1059	582	235
V1060	1295	4100
V1061	1807	5346
V1062	1382	3467
V1063	1592	4413
V1064	3285	5792
V1065	1124	3910
V1066	1043	3775
V1067	979	3201
V1068	1233	4381
V1069	1496	3828
V1070	4118	9819
V1071	1680	4847
V1072	2365	5368
V1073	2126	5876
V1074	560	1047
V1075	1561	3948
V1076	1601	3864
V1077	39475	5518
V1078	1741	4480
V1079	73	359
V1080	1223	2970
V1081	1339	3033
V1082	1678	4870
V1083	4478	2218
V1084	288	654
V1085	1773	4468
V1086	1380	2335
V1087	1391	5156
V1088	491433	8248
V1089	1529	4592
V1090	1603	5295
V1091	2722	3128
V1092	303	16252
V1093	1045	2731
V1094	1881	5117
V1095	1516	4377
V1096	1093	3066
V1097	2436	6843
V1098	1477	2005
V1099	1880	5685
V1100	2578	6216
V1101	1276	3319
V1102	198	582
V1103	36553	2963
V1104	1727	4602
V1105	1818	4481
V1106	3480	4565
V1107	416	685
V1108	2057	3618
V1109	970	325
V1110	1162	5534
V1111	1461	4574
V1112	2392	5211
V1113	1947	5935
V1114	2049	7004
V1115	1432	4004
V1116	1458	4586
V1117	1798	4835
V1118	84195	6114
V1119	1560	5549
V1120	1268	2678
V1121	1086	3308
V1122	1102	4006
V1123	88664	3968
V1124	1266	2978
V1125	1571	4115
V1126	1401	4271
V1127	312	1377
V1128	1314	3922
V1129	1434	4934
V1130	1462	3370
V1131	6034	4230
V1132	2100	7171
V1133	1983	3263
V1134	1763	4242
V1135	5985	6332
V1136	106263	4693
V1137	2288	7952
V1138	2169	6496
V1139	1211	2702
V1140	1287	4412
V1141	1270	4608
V1142	2656	5596
V1143	1668	5286
V1144	2849	7740
V1145	1471	5085
V1146	3244	2340
V1147	1780	4659
V1148	1737	5195
V1149	3233	3261
V1150	1033	3140
V1151	1470	5299
V1152	1546	4131
V1153	1724	2749
V1154	19603	7141
V1155	1380	5040
V1156	1270	4659
V1157	1871	5958
V1158	2070	6045
V1159	1338	3355
V1160	2391	6325
V1161	301400	7204
V1162	8922	11481
V1163	1629	3535
V1164	7338	4388
V1165	1981	6518
V1166	2036	6365
V1167	1277	608
V1168	667	14535
V1169	1992	5394
V1170	2815	2689
V1171	2543	4879
V1172	373	931
V1173	956	3081
V1174	287546	6119
V1175	4025	5795
V1176	1774	5293
V1177	1368	4285
V1178	1618	3231
V1179	1542	4366
V1180	772	3642
V1181	583573	13430
V1182	1555	3618
V1183	2433	6507
V1184	834	4917
V1185	1711	3454
V1186	14084	6292
V1187	1564	5225
V1188	141	409
V1189	2641	1623
V1190	3184	6589
V1191	10979	5890
V1192	272	971
V1193	1994	3810
V1194	1901	5447
V1195	1522	5866
V1196	3060	5670
V1197	1252	5165
V1198	1820	229
V1199	1249	2552
V1200	9851	3981
V1201	1772	4407
V1202	1719	3908
V1203	214	1557
V1204	4213	12353
V1205	2176	6072
V1206	1949	840
V1207	1341	3766
V1208	2132	5556
V1209	201354	6040
V1210	2286	6128
V1211	1401	8079
V1212	1344	5632
V1213	2007	5164
V1214	1156	4333
V1215	1512	4811
V1216	1391	4707
V1217	1272	4158
V1218	983	1131
V1219	1258	3570
V1220	205	262
V1221	2526	5919
V1222	1933	6176
V1223	4467	11758
V1224	1555	5370
V1225	1060	2841
V1226	1288	3827
V1227	2312	7109
V1228	7665	21561
V1229	1036	3681
V1230	2330	6926
V1231	8787	4137
V1232	1094	4794
V1233	2413	4059
V1234	4035	6314
V1235	3511	5267
V1236	1626	4177
V1237	2662	8633
V1238	3005	7208
V1239	1630	2579
V1240	2263	6766
V1241	1978	5184
V1242	1436	4817
V1243	2468	3990
V1244	1782	5199
V1245	7560	6655
V1246	1958	7181
V1247	231	238
V1248	1126	3666
V1249	2836	6988
V1250	3453	5295
V1251	1376	4163
V1252	1965	5044
V1253	608	1582
V1254	1397	4902
V1255	1789	5845
V1256	1098	3282
V1257	1438	5931
V1258	1272	3080
V1259	1030	3878
V1260	3796	11181
V1261	1841	6579
V1262	32482	5358
V1263	1005	3844
V1264	2909	5915
V1265	6745	1766
V1266	645	456
V1267	2307	4533
V1268	743628	17644
V1269	2232	6178
V1270	1624	4615
V1271	226	575
V1272	1587	3599
V1273	1895	5293
V1274	957	2625
V1275	6239	5528
V1276	549	1710
V1277	1195	3487
V1278	2211	5778
V1279	2279	4128
V1280	1821	3980
V1281	2537	4324
V1282	2025	6898
V1283	2418	5778
V1284	1615	4941
V1285	3447	7278
V1286	1305	3564
V1287	2822	9268
V1288	2124	5811
V1289	1457	5565
V1290	1849	5185
V1291	1669	6544
V1292	347	451
V1293	2656	6650
V1294	248748	8200
V1295	3313	5714
V1296	272	250
V1297	2297	6172
V1298	1850	5254
V1299	1545	3951
V1300	911	17270
V1301	1454	3594
V1302	2304	5849
V1303	1841	5761
V1304	151	1120
V1305	116	464
V1306	519	2185
V1307	2076	6748
V1308	1728	5302
V1309	1382	4397
V1310	56354	3455
V1311	25	882
V1312	86654	2030
V1313	1697	2066
V1314	2501	6374
V1315	1575	4061
V1316	1394	3570
V1317	57	145
V1318	1114	3597
V1319	2215	13149
V1320	1969	5841
V1321	65591	3555
V1322	1484	4141
V1323	2511	5863
V1324	891	1145
V1325	171	472
V1326	1467	4711
V1327	2654	5359
V1328	2598	6886
V1329	1821	3817
V1330	2042	4257
V1331	2600	6358
V1332	244	3139
V1333	1380	4854
V1334	943	3341
V1335	2644	5707
V1336	1310	5284
V1337	2308	4779
V1338	5568	11113
V1339	1669	5767
V1340	2657	4293
V1341	1402	2512
V1342	1367	4832
V1343	912	4575
V1344	9326	3622
V1345	1468	3571
V1346	1433	3309
V1347	307	613
V1348	1126	2481
V1349	1758	4428
V1350	1148	4162
V1351	1506	3577
V1352	1105	5641
V1353	2718	7258
V1354	1160	2148
V1355	691	1052
V1356	1515	4278
V1357	1829	5741
V1358	551	629
V1359	188970	5211
V1360	1583	5309
V1361	1910	4840
V1362	462	792
V1363	2091	5826
V1364	307	190
V1365	1827	5586
V1366	2057	6236
V1367	1367	3277
V1368	1823	5998
V1369	2375	6946
V1370	1071	2693
V1371	1840	5513
V1372	1431	4065
V1373	447	2156
V1374	1398	5200
V1375	961	6230
V1376	129936	2320
V1377	21030	24595
V1378	3900	10694
V1379	1443	4487
V1380	2348	6706
V1381	1261	4345
V1382	2153	6006
V1383	1344	4735
V1384	1990	3430
V1385	1966	6598
V1386	154368	3580
V1387	3872	9250
V1388	2399	5040
V1389	1565	4559
V1390	56852	2313
V1391	2239	5726
V1392	1322	3092
V1393	2136	7722
V1394	1493	1944
V1395	1582	4826
V1396	210	551
V1397	1117	1610
V1398	1772	5357
V1399	2944	7829
V1400	1596	6409
V1401	2331	6759
V1402	1531	4409
V1403	3539	3656
V1404	2297	3115
V1405	1595	6329
V1406	1671	7490
V1407	9054	21036
V1408	328	241
V1409	3590	6692
V1410	1437	4024
V1411	1738	3761
V1412	2886	2674
V1413	2219	6098
V1414	1035	2718
V1415	1691	4972
V1416	1046	2689
V1417	5925	1391
V1418	889	4745
V1419	30260	2973
V1420	5600	4573
V1421	35060	5269
V1422	4985	5419
V1423	2175	4828
V1424	1185	4967
V1425	1061	2787
V1426	1326	4654
V1427	1699	5528
V1428	170	1235
V1429	1704	4986
V1430	1298	4663
V1431	2372	5997
V1432	1660	4425
V1433	1074	2898
V1434	2669	1867
V1435	2485	5130
V1436	1917	4963
V1437	234	2019
V1438	1743	4470
V1439	2407	6153
V1440	1443	4338
V1441	257	395
V1442	130	226
V1443	1149	1410
V1444	3092	6826
V1445	1500	5675
V1446	1726	3656
V1447	3828	3253
V1448	2776	5659
V1449	2467	6010
V1450	2692	8107
V1451	2083	6858
V1452	5628	1634
V1453	2045	4642
V1454	1873	6620
V1455	76032	4286
V1456	2011	4183
V1457	1542	6885
V1458	3355	5675
V1459	1508	5213
V1460	2211	5790
V1461	1557	5272
V1462	1499	4924
V1463	1927	5508
V1464	2304	2469
V1465	1428	4277
V1466	1258	3097
V1467	2016	4951
V1468	1113	2713
V1469	1967	6692
V1470	1500	5135
V1471	5173	11113
V1472	1954	4488
V1473	2381	6166
V1474	780	505
V1475	1982	4334
V1476	1155	4514
V1477	3012	3194
V1478	2508	5256
V1479	1635	2594
V1480	1226	3903
V1481	2031	5268
V1482	10798	17287
V1483	2123	4146
V1484	467888	8826
V1485	3366	9263
V1486	955	4133
V1487	1904	3515
V1488	125277	4085
V1489	33293	3718
V1490	2131	4098
V1491	1188	4884
V1492	3933	4229
V1493	757	1613
V1494	2410	7213
V1495	815	4619
V1496	2050	5658
V1497	4540	7715
V1498	1749	4162
V1499	2018	5392
V1500	1364	4171
V1501	8286	26114
V1502	24204	2573
V1503	685	519
V1504	431	854
V1505	2350	5327
V1506	3079	3221
V1507	2502	6069
V1508	447220	7957
V1509	1513	4668
V1510	1822	3399
V1511	1807	4756
V1512	2177	5530
V1513	1290	5153
V1514	1918	12543
V1515	1557	3725
V1516	2943	6648
V1517	4231	10132
V1518	1730	2925
V1519	415	211
V1520	22	345
V1521	2599	5567
V1522	3900	4374
V1523	2021	5445
V1524	442469	7334
V1525	224938	5817
V1526	759	6604
V1527	9131	2648
V1528	2394	6304
V1529	69	802
V1530	1942	5080
V1531	306	731
V1532	1462	3641
V1533	675	3098
V1534	2000	4862
V1535	1266	3128
V1536	1202	4313
V1537	250	753
V1538	2021	6076
V1539	1547	4506
V1540	4425	8910
V1541	7492	2573
