	Latitude	Longitude	Population	State
DeKalb	41.9294736	-88.7503647	43849	Illinois
West Allis	43.0166806	-88.0070315	60697	Wisconsin
Thornton	39.8680412	-104.9719243	127359	Colorado
West Des Moines	41.5772115	-93.711332	61255	Iowa
Fall River	41.7014912	-71.1550451	88697	Massachusetts
Tulare	36.2077288	-119.3473379	61170	California
Chula Vista	32.6400541	-117.0841955	256780	California
Coral Springs	26.271192	-80.2706044	126604	Florida
Concord	35.4087517	-80.579511	83506	North Carolina
Smyrna	33.8839926	-84.5143761	53438	Georgia
Apopka	28.6934076	-81.5322149	45587	Florida
Grand Forks	47.9252568	-97.0328547	54932	North Dakota
Lancaster	39.7136754	-82.5993294	39325	Ohio
Naperville	41.7508391	-88.1535352	144864	Illinois
Hollywood	26.0112014	-80.1494901	146526	Florida
Rogers	36.3320196	-94.1185366	60112	Arkansas
New Orleans	29.9510658	-90.0715323	378715	Louisiana
Lakewood	47.1717649	-122.518458	59097	Washington
Oak Lawn	41.719978	-87.7479528	57073	Illinois
Caldwell	43.6629384	-116.6873596	48957	Idaho
Portland	45.5230622	-122.6764816	609456	Oregon
Concord	37.9779776	-122.0310733	125880	California
Burien	47.4703767	-122.3467918	49858	Washington
St. Charles	38.7881062	-90.4974359	67569	Missouri
Waukesha	43.0116784	-88.2314813	71016	Wisconsin
Flagstaff	35.1982836	-111.651302	68667	Arizona
Puyallup	47.1853785	-122.2928974	38609	Washington
Schenectady	42.8142432	-73.9395687	65902	New York
Denver	39.7392358	-104.990251	649495	Colorado
Springfield	39.7817213	-89.6501481	117006	Illinois
Campbell	37.2871651	-121.9499568	40584	California
Moreno Valley	33.9424658	-117.2296717	201175	California
Kettering	39.6895036	-84.1688274	55870	Ohio
Lincoln Park	42.2505943	-83.1785361	37313	Michigan
Lake Havasu City	34.483901	-114.3224548	52844	Arizona
North Little Rock	34.769536	-92.2670941	66075	Arkansas
Reno	39.5296329	-119.8138027	233294	Nevada
Littleton	39.613321	-105.0166498	44275	Colorado
Prescott	34.5400242	-112.4685025	40590	Arizona
Dublin	37.7021521	-121.9357918	52105	California
Texarkana	33.425125	-94.0476882	37442	Texas
Portland	43.661471	-70.2553259	66318	Maine
Brooklyn Park	45.0941315	-93.3563405	78373	Minnesota
West Haven	41.2705484	-72.9469711	55046	Connecticut
El Centro	32.792	-115.5630514	43363	California
The Colony	33.0806083	-96.8928309	39458	Texas
Flint	43.0125274	-83.6874562	99763	Michigan
Pittsburg	38.0279762	-121.8846806	66695	California
Buckeye	33.3703197	-112.5837766	56683	Arizona
Brea	33.9166805	-117.9000604	40963	California
Indio	33.7205771	-116.2155619	83539	California
Scottsdale	33.4941704	-111.9260519	226918	Arizona
Columbus	39.9611755	-82.9987942	822553	Ohio
Lancaster	40.0378755	-76.3055144	59325	Pennsylvania
Lincoln	40.8257625	-96.6851982	268738	Nebraska
Trenton	40.2170534	-74.7429384	84349	New Jersey
Boston	42.3600825	-71.0588801	645966	Massachusetts
Glendora	34.1361187	-117.865339	51074	California
Rochester	44.0121221	-92.4801989	110742	Minnesota
Florissant	38.789217	-90.322614	52363	Missouri
Annapolis	38.9784453	-76.4921829	38722	Maryland
Chapel Hill	35.9131996	-79.0558445	59635	North Carolina
Lawrence	39.8386516	-86.0252612	47135	Indiana
Calexico	32.6789476	-115.4988834	39389	California
Calumet City	41.6155909	-87.5294871	37240	Illinois
Missoula	46.8787176	-113.996586	69122	Montana
Clovis	36.8252277	-119.7029194	99769	California
Pearland	29.5635666	-95.2860474	100065	Texas
Gilbert	33.3528264	-111.789027	229972	Arizona
Wausau	44.9591352	-89.6301221	39309	Wisconsin
Raleigh	35.7795897	-78.6381787	431746	North Carolina
Orange	33.7877944	-117.8531119	139969	California
Walnut Creek	37.9100783	-122.0651819	66900	California
Bremerton	47.5673202	-122.6329356	39056	Washington
Porterville	36.06523	-119.0167679	55174	California
Marana	32.436381	-111.2224422	38290	Arizona
Tallahassee	30.4382559	-84.2807329	186411	Florida
Conroe	30.3118769	-95.4560512	63032	Texas
Blacksburg	37.2295733	-80.4139393	43609	Virginia
San Antonio	29.4241219	-98.4936282	1409019	Texas
Hartford	41.7637111	-72.6850932	125017	Connecticut
Waterloo	42.492786	-92.3425775	68366	Iowa
Binghamton	42.0986867	-75.9179738	46444	New York
Meridian	43.6121087	-116.3915131	83596	Idaho
Fond du Lac	43.7730448	-88.4470508	42970	Wisconsin
Baytown	29.7355047	-94.9774274	75418	Texas
Cary	35.79154	-78.7811169	151088	North Carolina
Weymouth Town	42.2180724	-70.9410356	55419	Massachusetts
Tulsa	36.1539816	-95.992775	398121	Oklahoma
Mission	26.2159066	-98.3252932	81050	Texas
Cuyahoga Falls	41.1339449	-81.4845585	49267	Ohio
Malden	42.4250964	-71.066163	60509	Massachusetts
Allen	33.1031744	-96.6705503	92020	Texas
Tucson	32.2217429	-110.926479	526116	Arizona
Franklin	35.9250637	-86.8688899	68886	Tennessee
Shakopee	44.7973962	-93.5272861	39167	Minnesota
Jacksonville	30.3321838	-81.655651	842583	Florida
Atlantic City	39.3642834	-74.4229266	39551	New Jersey
Erie	42.1292241	-80.085059	100671	Pennsylvania
Merced	37.3021632	-120.4829677	81102	California
Abilene	32.4487364	-99.7331439	120099	Texas
Yorba Linda	33.8886259	-117.8131125	67032	California
Greenville	34.8526176	-82.3940104	61397	South Carolina
Huntersville	35.410694	-80.8428504	50458	North Carolina
St. Clair Shores	42.4974085	-82.8963604	60070	Michigan
Harrisburg	40.2731911	-76.8867008	49188	Pennsylvania
San Buenaventura (Ventura)	34.274646	-119.2290316	108817	California
Fremont	37.5482697	-121.9885719	224922	California
Pueblo	38.2544472	-104.6091409	108249	Colorado
Chelsea	42.3917638	-71.0328284	37670	Massachusetts
Belleville	38.5200504	-89.9839935	42895	Illinois
Minneapolis	44.977753	-93.2650108	400070	Minnesota
Bartlett	35.2045328	-89.8739753	58226	Tennessee
Wichita Falls	33.9137085	-98.4933873	104898	Texas
Missouri City	29.6185669	-95.5377215	70185	Texas
St. Louis	38.6270025	-90.1994042	318416	Missouri
Pharr	26.1947962	-98.1836216	73790	Texas
Albuquerque	35.0853336	-106.6055534	556495	New Mexico
Athens-Clarke County	33.9519347	-83.357567	119980	Georgia
South Jordan	40.5621704	-111.929658	59366	Utah
North Las Vegas	36.1988592	-115.1175013	226877	Nevada
Pomona	34.055103	-117.7499909	151348	California
Eastvale	33.952463	-117.5848025	55191	California
Grove City	39.8814519	-83.0929644	37490	Ohio
Lawrence	38.9716689	-95.2352501	90811	Kansas
Midland	31.9973456	-102.0779146	123933	Texas
Oklahoma City	35.4675602	-97.5164276	610613	Oklahoma
Oro Valley	32.3909071	-110.966488	41627	Arizona
Mesa	33.4151843	-111.8314724	457587	Arizona
Norwalk	41.117744	-73.4081575	87776	Connecticut
Kentwood	42.8694731	-85.6447492	50233	Michigan
Brookfield	43.0605671	-88.1064787	37999	Wisconsin
Rockwall	32.9312336	-96.4597089	40922	Texas
Mishawaka	41.6619927	-86.1586156	47989	Indiana
Tustin	33.7458511	-117.826166	78327	California
St. Cloud	45.5579451	-94.1632404	66297	Minnesota
Passaic	40.8567662	-74.1284764	70868	New Jersey
Escondido	33.1192068	-117.086421	148738	California
San Bruno	37.6304904	-122.4110835	42443	California
Berkeley	37.8715926	-122.272747	116768	California
San Clemente	33.4269728	-117.6119925	65040	California
Lawton	34.6035669	-98.3959291	97151	Oklahoma
Eau Claire	44.811349	-91.4984941	67545	Wisconsin
Maricopa	33.0581063	-112.0476423	45508	Arizona
DeSoto	32.5896998	-96.8570738	51483	Texas
Fort Wayne	41.079273	-85.1393513	256496	Indiana
Shoreline	47.7556531	-122.3415178	54790	Washington
Medford	42.4184296	-71.1061639	57170	Massachusetts
La Habra	33.9319578	-117.9461734	61653	California
Albany	42.6525793	-73.7562317	98424	New York
Daly City	37.6879241	-122.4702079	104739	California
Taylor	42.240872	-83.2696509	61817	Michigan
Lynchburg	37.4137536	-79.1422464	78014	Virginia
Bowie	39.0067768	-76.7791365	56759	Maryland
Danbury	41.394817	-73.4540111	83684	Connecticut
Charlottesville	38.0293059	-78.4766781	44349	Virginia
Coral Gables	25.72149	-80.2683838	49631	Florida
Coeur d'Alene	47.6776832	-116.7804664	46402	Idaho
El Monte	34.0686206	-118.0275667	115708	California
Crystal Lake	42.2411344	-88.3161965	40388	Illinois
Danville	37.8215929	-121.9999606	43341	California
Goodyear	33.4353394	-112.3576567	72864	Arizona
Paterson	40.9167654	-74.171811	145948	New Jersey
Salem	44.9428975	-123.0350963	160614	Oregon
Kissimmee	28.2919557	-81.407571	65173	Florida
Saginaw	43.4194699	-83.9508068	50303	Michigan
Brownsville	25.9017472	-97.4974838	181860	Texas
Flower Mound	33.0145673	-97.0969552	68609	Texas
Grapevine	32.9342919	-97.0780654	50195	Texas
Edina	44.8896866	-93.3499489	49376	Minnesota
Detroit	42.331427	-83.0457538	688701	Michigan
Fairfield	39.3454673	-84.5603187	42635	Ohio
Mansfield	32.5631924	-97.1416768	60872	Texas
Rochester	43.16103	-77.6109219	210358	New York
Birmingham	33.5206608	-86.80249	212113	Alabama
Austin	30.267153	-97.7430608	885400	Texas
Santa Barbara	34.4208305	-119.6981901	90412	California
Addison	41.931696	-87.9889556	37385	Illinois
Rio Rancho	35.2327544	-106.6630437	91956	New Mexico
Normal	40.5142026	-88.9906312	54664	Illinois
Romeoville	41.6475306	-88.0895061	39650	Illinois
Coon Rapids	45.1732394	-93.3030063	62103	Minnesota
San Mateo	37.5629917	-122.3255254	101128	California
Orlando	28.5383355	-81.3792365	255483	Florida
Casper	42.866632	-106.313081	59628	Wyoming
Bedford	32.844017	-97.1430671	48592	Texas
Wilmington	34.2257255	-77.9447102	112067	North Carolina
Pinellas Park	27.8428025	-82.6995443	49998	Florida
North Miami Beach	25.9331488	-80.1625463	43250	Florida
Kansas City	39.114053	-94.6274636	148483	Kansas
Fitchburg	42.5834228	-71.8022955	40383	Massachusetts
Wheeling	42.1391927	-87.9289591	38015	Illinois
Newton	42.3370413	-71.2092214	87971	Massachusetts
North Miami	25.8900949	-80.1867138	61007	Florida
Norwich	41.5242649	-72.0759105	40347	Connecticut
Newark	40.735657	-74.1723667	278427	New Jersey
Alexandria	31.3112936	-92.4451371	48426	Louisiana
Blaine	45.1607987	-93.2349489	60407	Minnesota
Harlingen	26.1906306	-97.6961026	65665	Texas
Lompoc	34.6391501	-120.4579409	43509	California
Denton	33.2148412	-97.1330683	123099	Texas
Galveston	29.3013479	-94.7976958	48733	Texas
Greenwood	39.6136578	-86.1066526	53665	Indiana
Salinas	36.6777372	-121.6555013	155662	California
Miami Gardens	25.9420377	-80.2456045	111378	Florida
Huntington	38.4192496	-82.445154	49177	West Virginia
Laredo	27.5305671	-99.4803241	248142	Texas
Melbourne	28.0836269	-80.6081089	77508	Florida
Haltom City	32.7995738	-97.2691817	43580	Texas
Palm Bay	28.0344621	-80.5886646	104898	Florida
Wilson	35.7212689	-77.9155395	49628	North Carolina
Bountiful	40.8893895	-111.880771	43023	Utah
Ceres	37.5949316	-120.9577098	46714	California
Parma	41.4047742	-81.7229086	80429	Ohio
Rapid City	44.0805434	-103.2310149	70812	South Dakota
Bell Gardens	33.9652918	-118.1514588	42889	California
Commerce City	39.8083196	-104.9338675	49799	Colorado
Springfield	42.1014831	-72.589811	153703	Massachusetts
Fort Collins	40.5852602	-105.084423	152061	Colorado
San Leandro	37.7249296	-122.1560768	87965	California
Vista	33.2000368	-117.2425355	96929	California
Yonkers	40.9312099	-73.8987469	199766	New York
Cincinnati	39.1031182	-84.5120196	297517	Ohio
Hagerstown	39.6417629	-77.7199932	40612	Maryland
Sanford	28.8028612	-81.269453	56002	Florida
Union City	40.6975898	-74.2631635	68247	New Jersey
Toledo	41.6639383	-83.555212	282313	Ohio
Sierra Vista	31.5455001	-110.2772856	45129	Arizona
Newport News	37.0870821	-76.4730122	182020	Virginia
Hammond	41.5833688	-87.5000412	78967	Indiana
Buffalo Grove	42.1662831	-87.9631308	41778	Illinois
Sugar Land	29.6196787	-95.6349463	83860	Texas
Huntsville	34.7303688	-86.5861037	186254	Alabama
Lodi	38.1341477	-121.2722194	63338	California
Edmonds	47.8106521	-122.3773552	40727	Washington
Duncanville	32.6518004	-96.9083366	39605	Texas
Rocky Mount	35.9382103	-77.7905339	56954	North Carolina
Pontiac	42.6389216	-83.2910468	59887	Michigan
National City	32.6781085	-117.0991967	59834	California
Hayward	37.6688205	-122.0807964	151574	California
Niagara Falls	43.0962143	-79.0377388	49468	New York
Sparks	39.5349112	-119.7526886	93282	Nevada
Hanford	36.3274502	-119.6456844	54686	California
Cypress	33.8169599	-118.0372852	49087	California
Youngstown	41.0997803	-80.6495194	65184	Ohio
Madison	34.6992579	-86.7483318	45799	Alabama
Redlands	34.0555693	-117.1825381	69999	California
Cape Girardeau	37.3058839	-89.5181476	38816	Missouri
Nampa	43.5407172	-116.5634624	86518	Idaho
Washington	38.9071923	-77.0368707	646449	District of Columbia
Wheaton	41.8661403	-88.1070127	53648	Illinois
Lancaster	32.5920798	-96.7561082	38071	Texas
Rialto	34.1064001	-117.3703235	101910	California
Fargo	46.8771863	-96.7898034	113658	North Dakota
Peoria	40.6936488	-89.5889864	116513	Illinois
Omaha	41.2523634	-95.9979883	434353	Nebraska
Rancho Santa Margarita	33.640855	-117.603104	49228	California
Manhattan	39.1836082	-96.5716694	56143	Kansas
Palm Springs	33.8302961	-116.5452921	46281	California
San Diego	32.715738	-117.1610838	1355896	California
Santa Rosa	38.440429	-122.7140548	171990	California
Lowell	42.6334247	-71.3161718	108861	Massachusetts
Broken Arrow	36.060949	-95.7974526	103500	Oklahoma
Kent	47.3809335	-122.2348431	124435	Washington
Nashville	36.1626638	-86.7816016	634464	Tennessee
Hackensack	40.8859325	-74.0434736	44113	New Jersey
Broomfield	39.9205411	-105.0866504	59471	Colorado
Durham	35.9940329	-78.898619	245475	North Carolina
Wichita	37.688889	-97.336111	386552	Kansas
Cathedral City	33.7805388	-116.4668036	52977	California
Lakeville	44.6496868	-93.24272	58562	Minnesota
Elmhurst	41.8994744	-87.9403418	45556	Illinois
Weslaco	26.1595194	-97.9908366	37093	Texas
Greenfield	42.9614039	-88.0125865	37159	Wisconsin
Sunnyvale	37.36883	-122.0363496	147559	California
Santa Cruz	36.9741171	-122.0307963	62864	California
Kenosha	42.5847425	-87.8211854	99889	Wisconsin
State College	40.7933949	-77.8600012	41757	Pennsylvania
Mansfield	40.75839	-82.5154471	46454	Ohio
Quincy	39.9356016	-91.4098726	40915	Illinois
Pompano Beach	26.2378597	-80.1247667	104410	Florida
San Angelo	31.4637723	-100.4370375	97492	Texas
Bloomington	40.4842027	-88.9936873	78902	Illinois
Tracy	37.7396513	-121.4252227	84691	California
Spartanburg	34.9495672	-81.9320482	37647	South Carolina
Nashua	42.7653662	-71.467566	87137	New Hampshire
Macon	32.8406946	-83.6324022	89981	Georgia
Hempstead	40.7062128	-73.6187397	55361	New York
Camden	39.9259463	-75.1196199	76903	New Jersey
Palm Desert	33.7222445	-116.3744556	50508	California
Streamwood	42.0255827	-88.1784085	40351	Illinois
Chesapeake	36.7682088	-76.2874927	230571	Virginia
Dublin	40.0992294	-83.1140771	43607	Ohio
Camarillo	34.2163937	-119.0376023	66086	California
Muskegon	43.2341813	-86.2483921	37213	Michigan
Elizabeth	40.6639916	-74.2107006	127558	New Jersey
Anchorage	61.2180556	-149.9002778	300950	Alaska
Minot	48.2329668	-101.2922906	46321	North Dakota
Davie	26.0764783	-80.2521157	96830	Florida
McAllen	26.2034071	-98.2300124	136639	Texas
McKinney	33.1972465	-96.6397822	148559	Texas
Killeen	31.1171194	-97.7277959	137147	Texas
Findlay	41.04422	-83.6499321	41512	Ohio
Oakland	37.8043637	-122.2711137	406253	California
Mountain View	37.3860517	-122.0838511	77846	California
Lake Elsinore	33.6680772	-117.3272615	57525	California
Amarillo	35.2219971	-101.8312969	196429	Texas
Provo	40.2338438	-111.6585337	116288	Utah
Atlanta	33.7489954	-84.3879824	447841	Georgia
Monterey Park	34.0625106	-118.1228476	61085	California
Strongsville	41.3144966	-81.83569	44730	Ohio
Madera	36.9613356	-120.0607176	63105	California
Decatur	39.8403147	-88.9548001	74710	Illinois
Woonsocket	42.0028761	-71.5147839	41026	Rhode Island
Mobile	30.6953657	-88.0398912	194899	Alabama
Vallejo	38.1040864	-122.2566367	118837	California
Arcadia	34.1397292	-118.0353449	57639	California
Collierville	35.042036	-89.6645266	47333	Tennessee
Jefferson City	38.5767017	-92.1735164	43330	Missouri
Longview	32.5007037	-94.7404891	81443	Texas
Chandler	33.3061605	-111.8412502	249146	Arizona
Arvada	39.8027644	-105.0874842	111707	Colorado
Alhambra	34.095287	-118.1270146	84577	California
Kokomo	40.486427	-86.1336033	56895	Indiana
Oakland Park	26.1723065	-80.1319893	43286	Florida
Indianapolis	39.768403	-86.158068	843393	Indiana
Boynton Beach	26.5317866	-80.0905465	71097	Florida
Apache Junction	33.4150485	-111.5495777	37130	Arizona
Mount Prospect	42.0664167	-87.9372908	54771	Illinois
Cranston	41.7798226	-71.4372796	80566	Rhode Island
Lafayette	40.4167022	-86.8752869	70373	Indiana
Olathe	38.8813958	-94.8191285	131885	Kansas
Johns Creek	34.0289259	-84.198579	82788	Georgia
Greensboro	36.0726354	-79.7919754	279639	North Carolina
Kalamazoo	42.2917069	-85.5872286	75548	Michigan
Tigard	45.4312294	-122.7714861	50444	Oregon
Jacksonville	34.7540524	-77.4302414	69079	North Carolina
Citrus Heights	38.7071247	-121.2810611	85285	California
Tuscaloosa	33.2098407	-87.5691735	95334	Alabama
Ankeny	41.7317884	-93.6001278	51567	Iowa
Hawthorne	33.9164032	-118.3525748	86199	California
Hoover	33.4053867	-86.8113781	84126	Alabama
Delray Beach	26.4614625	-80.0728201	64072	Florida
Wellington	26.6617635	-80.2683571	60202	Florida
Bullhead City	35.1359386	-114.5285981	39383	Arizona
Weston	26.1003654	-80.3997748	68388	Florida
Troy	42.6064095	-83.1497751	82821	Michigan
New Rochelle	40.9114882	-73.7823549	79446	New York
Stockton	37.9577016	-121.2907796	298118	California
Royal Oak	42.4894801	-83.1446485	58946	Michigan
Titusville	28.6122187	-80.8075537	44206	Florida
Laguna Niguel	33.5225261	-117.7075526	64652	California
Spokane Valley	47.6732281	-117.2393748	91113	Washington
Costa Mesa	33.6411316	-117.9186689	112174	California
Grand Prairie	32.7459645	-96.9977846	183372	Texas
Portsmouth	36.8354258	-76.2982742	96205	Virginia
Lacey	47.0342629	-122.8231915	44919	Washington
Apex	35.732652	-78.8502856	42214	North Carolina
Sioux City	42.4999942	-96.4003069	82459	Iowa
Encinitas	33.0369867	-117.2919818	61588	California
Spanish Fork	40.114955	-111.654923	36956	Utah
Huntington Park	33.9816812	-118.2250725	58879	California
Eden Prairie	44.8546856	-93.470786	62603	Minnesota
Peoria	33.5805955	-112.2373779	162592	Arizona
Tempe	33.4255104	-111.9400054	168228	Arizona
Wilmington	39.7390721	-75.5397878	71525	Delaware
Taylorsville	40.6677248	-111.9388258	60519	Utah
Westland	42.324204	-83.400211	82578	Michigan
Mesquite	32.7667955	-96.5991593	143484	Texas
Burlington	36.0956918	-79.4377991	51510	North Carolina
Garland	32.912624	-96.6388833	234566	Texas
Richmond	37.9357576	-122.3477486	107571	California
Bismarck	46.8083268	-100.7837392	67034	North Dakota
Carson City	39.1637984	-119.7674034	54080	Nevada
Muskogee	35.7478769	-95.3696909	38863	Oklahoma
Augusta-Richmond County	33.4734978	-82.0105148	197350	Georgia
Fayetteville	35.0526641	-78.8783585	204408	North Carolina
Albany	31.5785074	-84.155741	76185	Georgia
Sayreville	40.4594021	-74.360846	44412	New Jersey
Newark	37.5296593	-122.0402399	44096	California
Diamond Bar	34.0286226	-117.8103367	56449	California
Decatur	34.6059253	-86.9833417	55816	Alabama
Chattanooga	35.0456297	-85.3096801	173366	Tennessee
Jeffersonville	38.2775702	-85.7371847	45929	Indiana
Bartlett	41.9950276	-88.1856301	41679	Illinois
Baldwin Park	34.0852868	-117.9608978	76635	California
Miami Beach	25.790654	-80.1300455	91026	Florida
Jackson	35.6145169	-88.8139469	67685	Tennessee
Port Arthur	29.8849504	-93.939947	54135	Texas
San Luis Obispo	35.2827524	-120.6596156	46377	California
Burleson	32.5420821	-97.3208492	40714	Texas
Newport Beach	33.6189101	-117.9289469	87273	California
Riverton	40.521893	-111.9391023	40921	Utah
Yakima	46.6020711	-120.5058987	93257	Washington
Dayton	39.7589478	-84.1916069	143355	Ohio
Gulfport	30.3674198	-89.0928155	71012	Mississippi
Long Beach	33.7700504	-118.1937395	469428	California
Chico	39.7284944	-121.8374777	88077	California
Hattiesburg	31.3271189	-89.2903392	47556	Mississippi
Eugene	44.0520691	-123.0867536	159190	Oregon
Colton	34.0739016	-117.3136547	53243	California
Montebello	34.0165053	-118.1137535	63495	California
Pleasanton	37.6624312	-121.8746789	74110	California
Everett	47.9789848	-122.2020794	105370	Washington
Hutchinson	38.0608445	-97.9297743	41889	Kansas
Fairfield	38.2493581	-122.0399663	109320	California
Avondale	33.4355977	-112.3496021	78822	Arizona
Euclid	41.5931049	-81.5267873	48139	Ohio
Battle Creek	42.3211522	-85.1797142	51848	Michigan
Bloomington	44.840798	-93.2982799	86319	Minnesota
Rock Island	41.5094771	-90.5787476	38877	Illinois
Beaverton	45.487062	-122.8037102	93542	Oregon
Kenner	29.9940924	-90.2417434	66975	Louisiana
Clovis	34.4047987	-103.2052272	39508	New Mexico
Troy	42.7284117	-73.6917851	49974	New York
Milpitas	37.4323341	-121.8995741	69783	California
Des Plaines	42.0333623	-87.8833991	58918	Illinois
Placentia	33.8722371	-117.8703363	52206	California
Taunton	41.900101	-71.0897674	56069	Massachusetts
Montclair	34.0775104	-117.6897776	38027	California
Johnson City	36.3134397	-82.3534727	65123	Tennessee
Savannah	32.0835407	-81.0998342	142772	Georgia
Warren	41.2375569	-80.8184166	40768	Ohio
Vancouver	45.6387281	-122.6614861	167405	Washington
Sunrise	26.1669711	-80.256595	90116	Florida
Muncie	40.1933767	-85.3863599	70316	Indiana
Lehi	40.3916172	-111.8507662	54382	Utah
San Francisco	37.7749295	-122.4194155	837442	California
Fontana	34.0922335	-117.435048	203003	California
Frisco	33.1506744	-96.8236116	136791	Texas
Chino Hills	33.9898188	-117.7325848	76572	California
Poway	32.9628232	-117.0358646	49417	California
Huber Heights	39.843947	-84.1246608	38142	Ohio
New Brunswick	40.4862157	-74.4518188	55831	New Jersey
Norfolk	36.8507689	-76.2858726	246139	Virginia
Hillsboro	45.5228939	-122.989827	97368	Oregon
San Jacinto	33.7839084	-116.958635	45851	California
Pensacola	30.421309	-87.2169149	52703	Florida
Hamilton	39.3995008	-84.5613355	62258	Ohio
Florence	34.1954331	-79.7625625	37792	South Carolina
San Bernardino	34.1083449	-117.2897652	213708	California
Peachtree Corners	33.9698929	-84.2214551	40059	Georgia
Victorville	34.5362184	-117.2927641	121096	California
Gary	41.5933696	-87.3464271	78450	Indiana
Casa Grande	32.8795022	-111.7573521	50111	Arizona
Morgan Hill	37.1305012	-121.6543901	40836	California
Dubuque	42.5005583	-90.6645718	58253	Iowa
Syracuse	43.0481221	-76.1474244	144669	New York
Clarksville	36.5297706	-87.3594528	142357	Tennessee
Lakeland	28.0394654	-81.9498042	100710	Florida
Valley Stream	40.6642699	-73.7084645	37659	New York
Dover	39.158168	-75.5243682	37366	Delaware
Moorhead	46.8737648	-96.7678039	39398	Minnesota
Culver City	34.0211224	-118.3964665	39428	California
Palatine	42.1103041	-88.03424	69350	Illinois
Seattle	47.6062095	-122.3320708	652405	Washington
Covington	39.0836712	-84.5085536	40956	Kentucky
Elk Grove	38.4087993	-121.3716178	161007	California
Shreveport	32.5251516	-93.7501789	200327	Louisiana
Ogden	41.223	-111.9738304	84249	Utah
