	clarity	color	cut	depth	table	x	y	z
95	VS1	E	Very Good	63.3	59	5.64	5.68	3.58
96	SI1	J	Very Good	63	58	4.32	4.35	2.73
97	SI1	G	Ideal	61.6	56	5.19	5.14	3.18
98	VS1	F	Ideal	62.2	57	6.48	6.39	4
99	SI1	F	Very Good	62.2	57	6.19	6.25	3.87
100	VS1	D	Ideal	62.3	55	5.03	5.05	3.14
101	SI1	H	Very Good	62.9	56	4.28	4.31	2.7
102	VS2	G	Ideal	61.3	55	5.82	5.89	3.59
103	VS1	E	Ideal	61.1	56	5.34	5.29	3.25
104	VS2	E	Ideal	61.6	57	5.71	5.79	3.54
105	VVS2	G	Premium	60.2	60	4.24	4.26	2.56
106	SI2	H	Ideal	62.6	58	6.74	6.81	4.24
107	SI1	G	Ideal	61	56	7.17	7.2	4.38
108	SI1	G	Very Good	63	59	5.82	5.84	3.67
109	SI2	G	Good	63.4	58	4.7	4.73	2.99
110	VVS1	F	Ideal	62.7	57	6.5	6.41	4.05
111	SI1	H	Premium	61.5	58	4.86	4.8	2.97
112	VS1	F	Ideal	60.7	55	5.32	5.25	3.21
113	SI1	F	Premium	61.1	53	7.17	7.04	4.34
114	SI1	D	Ideal	61.8	56	5.37	5.4	3.33
115	SI1	H	Good	64	58	6.56	6.63	4.22
116	VS1	D	Ideal	61.6	56	4.85	4.86	2.99
117	VS2	E	Ideal	62	56	5.16	5.2	3.21
118	SI1	I	Ideal	61.9	58	5.66	5.68	3.51
119	VS2	F	Very Good	63.1	57	5.1	5.08	3.21
120	VVS1	I	Premium	60.5	59	4.54	4.48	2.73
121	SI1	I	Good	64.3	56	7.85	7.99	5.09
122	VS2	I	Ideal	62.4	58	6.81	6.88	4.27
123	SI1	H	Ideal	62.9	57	5.75	5.8	3.63
124	I1	G	Good	63.7	55	5.91	5.81	3.73
125	SI2	E	Fair	66.5	56	5.31	5.21	3.5
126	SI2	F	Very Good	62.4	58	6.17	6.21	3.86
127	SI1	I	Good	63.8	55	4.31	4.34	2.76
128	SI2	F	Ideal	61.3	57	5.16	5.19	3.17
129	VS1	E	Ideal	61.6	57	4.58	4.54	2.81
130	VS2	F	Very Good	60	61.5	5.19	5.23	3.13
131	VS2	H	Good	59.4	64	4.75	4.82	2.84
132	SI1	F	Very Good	61.1	58	6.26	6.3	3.84
133	SI1	F	Premium	62.1	58	5.64	5.7	3.52
134	VS2	D	Ideal	60.3	55	4.52	4.5	2.72
135	VS1	H	Ideal	61.9	54	5.12	5.15	3.18
136	VVS1	H	Very Good	63.3	55	5.27	5.31	3.35
137	VS2	D	Ideal	61.4	56	5.16	5.19	3.18
138	SI2	G	Premium	61	58	8.15	8.22	4.99
139	SI2	E	Good	62.9	56	5.63	5.66	3.55
140	VVS2	F	Premium	62.2	56	5.72	5.63	3.53
141	VS2	H	Premium	61	60	7.42	7.46	4.54
142	SI1	G	Ideal	62.4	57	6.06	6.03	3.77
143	VVS2	H	Ideal	62.5	56	4.98	5.02	3.12
144	VS1	F	Ideal	61.9	55.1	4.31	4.34	2.68
145	VS1	H	Premium	61.5	58	6.98	6.96	4.29
146	VS2	F	Premium	61.7	59	6.49	6.45	3.99
147	VS2	H	Premium	59.7	59	5.42	5.33	3.21
148	VS1	F	Ideal	61.5	59	7.38	7.46	4.56
149	VS2	D	Very Good	62.6	58	6.31	6.38	3.97
150	SI2	F	Premium	60.6	60	8.78	8.7	5.3
151	SI1	I	Ideal	62	56	6.69	6.64	4.13
152	VS1	E	Ideal	62.1	55	4.8	4.77	2.97
153	SI1	I	Premium	59.9	59	8.46	8.41	5.05
154	VS2	H	Very Good	62.6	57	6.91	6.95	4.34
155	SI1	D	Good	63.3	57	5.06	5.09	3.21
156	SI1	D	Premium	59.2	62	4.85	4.82	2.86
157	SI2	F	Premium	59.1	58	5.6	5.57	3.3
158	I1	F	Premium	62.3	56	6.69	6.61	4.14
159	IF	D	Ideal	60.7	57	6.44	6.48	3.92
160	VS2	E	Ideal	61.9	57	4.61	4.66	2.87
161	VS2	G	Ideal	61.6	55	6.51	6.55	4.02
162	SI1	D	Very Good	61.7	59	4.31	4.35	2.67
163	VVS1	G	Ideal	61.4	57	5.18	5.21	3.19
164	VS2	D	Good	63.5	56	4.66	4.72	2.98
165	SI1	D	Premium	60.6	59	4.39	4.35	2.65
166	VVS2	D	Ideal	62.1	56	4.76	4.78	2.96
167	IF	G	Very Good	59.4	60	7.55	7.61	4.5
168	SI2	E	Premium	60.8	57	6.98	6.94	4.23
169	VS2	D	Premium	59.8	58	5.85	5.89	3.51
170	VS2	E	Very Good	58.3	57	5.89	5.94	3.45
171	SI1	I	Premium	62.8	59	5.36	5.34	3.36
172	VS2	G	Very Good	62.7	59	5.44	5.5	3.43
173	SI2	H	Very Good	59.9	55	8.17	8.28	4.93
174	VS1	F	Good	64	56	6.37	6.32	4.06
175	VS2	F	Ideal	62	56	6.23	6.15	3.84
176	VVS2	G	Ideal	60.8	56	4.41	4.44	2.69
177	VVS2	F	Premium	62.5	56	4.6	4.52	2.85
178	VS2	E	Ideal	61.8	56	4.34	4.3	2.67
179	SI1	D	Premium	59.1	61	6.5	6.46	3.83
180	VVS2	I	Ideal	61.7	56	4.4	4.42	2.72
181	SI1	I	Premium	60.2	58	5.83	5.76	3.49
182	SI1	I	Good	63.6	61	5.59	5.63	3.57
183	SI2	D	Ideal	61.8	54	6.52	6.46	4.01
184	VS2	G	Good	63.3	57	4.61	4.65	2.93
185	VS2	E	Ideal	61.6	56	5.85	5.9	3.62
186	VS2	H	Ideal	62.1	57	7	7.05	4.36
187	VS2	F	Ideal	62.1	56	4.48	4.51	2.79
188	I1	H	Fair	64.8	61	10	9.85	6.43
189	SI1	F	Ideal	62.8	57	4.73	4.69	2.96
190	SI1	H	Premium	60.7	62	6.57	6.51	3.97
191	SI1	H	Ideal	62.7	56	4.33	4.38	2.73
192	VS2	E	Premium	59.9	61	5.3	5.25	3.16
193	VS1	I	Ideal	62.5	57	4.32	4.29	2.69
194	VS2	I	Ideal	62.5	56	6.66	6.74	4.19
195	VS1	E	Very Good	63.1	58	5.75	5.73	3.62
196	SI1	E	Good	63.7	57	4.31	4.29	2.74
197	SI1	I	Good	63.2	55	4.25	4.29	2.7
198	VS2	E	Premium	62.3	59	4.59	4.56	2.85
199	VVS2	H	Ideal	62.4	56	4.38	4.34	2.72
200	VS1	H	Premium	61.8	58	4.99	4.94	3.07
201	VS2	E	Ideal	61.6	55	5.15	5.2	3.19
202	VS2	I	Premium	62.4	58	7.7	7.65	4.79
203	VS2	F	Ideal	61.7	57	7.37	7.31	4.53
204	SI2	F	Premium	62.2	57	5.94	5.9	3.68
205	VS2	F	Premium	59.3	62	6.48	6.44	3.83
206	SI2	E	Premium	59.9	58	8.18	8.14	4.89
207	SI2	H	Ideal	61.6	56	4.73	4.75	2.92
208	VS1	F	Very Good	62.3	52	4.2	4.26	2.62
209	VS2	H	Ideal	62.4	58	5.3	5.34	3.32
210	SI1	F	Premium	59.6	60	5.15	5.12	3.06
211	SI1	D	Good	61.9	60	8.15	8.11	5.03
212	SI2	H	Premium	61.5	58	8.14	8.1	4.99
213	VVS1	F	Very Good	61.2	58	5.42	5.46	3.33
214	SI2	E	Very Good	62.8	59	5.64	5.69	3.56
215	SI2	E	Premium	59.1	61	6.03	5.99	3.55
216	VS1	I	Ideal	60.1	57	7.8	7.77	4.68
217	SI2	H	Ideal	61.6	56	5.69	5.71	3.51
218	VS2	I	Ideal	62.2	55.8	6.49	6.52	4.04
219	SI2	G	Premium	61.2	59	6.74	6.66	4.1
220	VS1	E	Ideal	61.9	55	5.16	5.18	3.2
221	VVS1	F	Ideal	62.2	57	5.7	5.74	3.56
222	VS2	E	Ideal	61.4	56	4.33	4.36	2.67
223	SI1	F	Ideal	61.4	56	6.99	6.93	4.27
224	VVS1	H	Ideal	60.9	57	4.55	4.58	2.78
225	VVS1	H	Ideal	61.6	55	4.43	4.4	2.72
226	SI1	H	Ideal	62.4	56	6.45	6.5	4.04
227	SI2	J	Fair	58.6	68	7.45	7.33	4.34
228	VVS2	G	Ideal	62.1	56	5.22	5.19	3.23
229	SI1	E	Premium	58.4	59	6.22	6.18	3.62
230	VVS2	G	Ideal	60.1	57	4.91	4.88	2.94
231	VS1	I	Premium	59.1	59	4.38	4.35	2.58
232	VVS2	F	Ideal	62.1	55	6.69	6.74	4.17
233	VS1	I	Ideal	62.6	55	6.79	6.73	4.24
234	SI1	D	Very Good	60	59.8	5.3	5.34	3.18
235	IF	I	Ideal	62.2	57	7.33	7.27	4.54
236	IF	F	Very Good	59.6	58	5.28	5.32	3.16
237	VS2	H	Premium	58.7	61	5.99	5.96	3.51
238	SI1	I	Good	63.2	54	4.67	4.69	2.96
239	SI2	E	Premium	60.5	59	5.78	5.75	3.49
240	VS2	E	Ideal	61.8	55	5.19	5.17	3.2
241	VVS1	E	Very Good	63.6	55	6.35	6.39	4.05
242	VVS2	I	Premium	61.5	58	4.43	4.45	2.73
243	VS2	F	Ideal	61.6	57	4.33	4.3	2.66
244	VS2	G	Very Good	63.1	58	4.35	4.3	2.73
245	VS1	J	Ideal	62.2	57	4.27	4.28	2.66
246	SI1	E	Very Good	61.6	59	5.77	5.78	3.56
247	VS1	J	Very Good	62.3	57	5.73	5.77	3.58
248	SI1	F	Very Good	59.5	61	5.28	5.41	3.18
249	VS2	F	Premium	58	62	5.85	5.81	3.38
250	SI2	H	Ideal	62.1	56	6.48	6.5	4.03
251	VS1	D	Premium	59.6	58	4.38	4.41	2.62
252	VVS2	H	Very Good	61.3	57	4.01	4.04	2.46
253	VS2	J	Very Good	62.5	57	6.72	6.79	4.22
254	SI2	E	Ideal	61	55	4.74	4.77	2.9
255	SI2	E	Ideal	61.3	55	4.37	4.34	2.67
256	VS2	G	Ideal	62.2	53	4.46	4.51	2.79
257	VS2	E	Premium	61.3	59	6.08	6.02	3.71
258	SI1	E	Premium	62.3	56	6.21	6.14	3.85
259	SI2	J	Very Good	63.2	56	6.49	6.45	4.09
260	VS2	D	Premium	59.3	62	3.91	3.88	2.31
261	I1	E	Ideal	63	57	6.35	6.32	3.99
262	VS2	G	Ideal	62.5	56	5.2	5.17	3.24
263	VS2	F	Ideal	62.3	55	4.37	4.33	2.71
264	VS2	D	Ideal	61.8	56	5.6	5.57	3.45
265	VVS2	F	Premium	62.3	58	5.06	5.11	3.17
266	VS2	E	Ideal	63	57	5.04	4.99	3.16
267	SI2	J	Very Good	62.5	58	7.48	7.56	4.7
268	VS2	H	Premium	62.2	58	7.34	7.3	4.55
269	VS2	F	Very Good	60.8	58	7.43	7.56	4.56
270	SI1	H	Premium	61.9	59	6.73	6.74	4.17
271	VS2	F	Ideal	61.5	57	6.01	6.05	3.71
272	VS1	G	Premium	61.8	60	4.36	4.35	2.69
273	VVS2	F	Ideal	60.9	57	5.89	5.96	3.61
274	VS1	H	Ideal	60.3	59	5.75	5.79	3.48
275	SI2	I	Premium	61.3	58	7.39	7.32	4.51
276	IF	G	Ideal	62.3	55	4.5	4.52	2.81
277	VS2	F	Fair	64.6	58	5.01	4.99	3.23
278	SI1	D	Very Good	60.2	57	4.56	4.61	2.76
279	SI2	F	Very Good	60.9	57	6.38	6.42	3.9
280	SI1	G	Premium	62.7	57	5.85	5.79	3.65
281	VS2	F	Premium	61.9	59	6.38	6.34	3.94
282	SI2	I	Fair	66.1	58	6.21	6.04	4.05
283	SI1	J	Ideal	61.5	57	7	7.06	4.32
284	SI1	D	Ideal	62.8	55	6.3	6.38	3.98
285	VS2	H	Ideal	60.7	56	7.49	7.41	4.52
286	SI2	H	Premium	59.6	60	4.95	4.93	2.96
287	SI2	I	Very Good	63.4	56	5.67	5.72	3.61
288	VS2	I	Ideal	62.4	56	4.43	4.39	2.75
289	VS2	E	Premium	61.1	58	5.78	5.7	3.51
290	SI1	I	Ideal	59.9	59	5.75	5.8	3.46
291	SI2	G	Premium	61.9	60	8.29	8.24	5.12
292	VS2	G	Premium	60.8	58	4.47	4.45	2.71
293	VS2	F	Ideal	62.9	57	6.42	6.33	4.01
294	SI1	H	Ideal	61.1	55	4.64	4.69	2.85
295	VVS2	E	Very Good	60.6	60	3.93	3.99	2.4
296	VS1	H	Ideal	61.6	56	6.95	6.87	4.26
297	VVS2	E	Ideal	62.6	55	4.95	4.92	3.09
298	SI1	F	Ideal	62.7	57	5.69	5.73	3.58
299	VS2	F	Ideal	61.9	55	4.46	4.43	2.75
300	VS2	H	Ideal	62.5	53	6.17	6.22	3.87
301	VS2	F	Good	64.2	59	4.3	4.23	2.74
302	SI2	D	Premium	59.8	61	6.63	6.58	3.95
303	SI2	G	Ideal	58.8	60	7.01	7.08	4.14
304	SI1	F	Good	63.6	54	5.65	5.61	3.58
305	VS2	H	Premium	62.1	62	7.38	7.31	4.56
306	SI1	E	Very Good	63.3	57	4.75	4.73	3
307	VVS1	I	Ideal	61	56	5.02	5.04	3.07
308	VS1	E	Ideal	62.5	57	5.73	5.76	3.59
309	VVS1	H	Very Good	62.3	56	4.26	4.31	2.67
310	SI1	F	Good	63.4	56	4.76	4.8	3.03
311	IF	F	Ideal	61.8	54	4.44	4.46	2.75
312	IF	I	Ideal	61.9	54	5.29	5.34	3.29
313	VS2	H	Ideal	62.4	56	5.63	5.72	3.54
314	IF	E	Ideal	62.2	54	4.33	4.35	2.7
315	VS2	G	Very Good	62.5	57	6.37	6.4	3.99
316	VVS2	H	Ideal	62.6	56	4.37	4.32	2.72
317	VS2	F	Ideal	62.7	57	4.34	4.3	2.71
318	VS2	E	Very Good	62.2	56	6.12	6.17	3.82
319	SI1	H	Good	61.4	60	6.06	6.12	3.74
320	IF	G	Ideal	61.5	55	4.33	4.35	2.67
321	VS2	G	Ideal	62.6	57	6.47	6.4	4.03
322	VS1	G	Ideal	61.8	54	5.22	5.24	3.23
323	IF	H	Premium	61.7	58	4.36	4.33	2.68
324	SI1	G	Ideal	61.9	55	5.8	5.83	3.6
325	SI2	E	Ideal	62.2	55	5.38	5.4	3.35
326	SI1	I	Premium	61.7	56	4.54	4.51	2.79
327	VS2	E	Ideal	61.8	55	5.38	5.34	3.31
328	SI2	E	Very Good	62.1	59	7.26	7.33	4.53
329	VS2	H	Ideal	61.6	56	6.03	5.98	3.7
330	SI2	E	Very Good	61.7	54.9	6.46	6.52	4.01
331	VVS2	E	Very Good	62.7	55	3.9	3.95	2.46
332	SI1	E	Very Good	62.7	57	6.08	6.13	3.83
333	SI1	H	Ideal	62.3	57	6.45	6.48	4.03
334	SI2	G	Ideal	62.2	55	7.94	7.9	4.93
335	SI1	H	Premium	62.3	58	8.28	8.22	5.14
336	SI2	D	Good	64.1	61	7.14	7.18	4.59
337	VS2	D	Ideal	61.9	57	4.33	4.29	2.67
338	SI1	G	Very Good	60.7	59	6.6	6.65	4.02
339	VS1	H	Ideal	61.2	58	7.36	7.42	4.52
340	VS2	D	Ideal	62.3	56	4.29	4.32	2.68
341	VS1	G	Premium	61.2	60	5.3	5.26	3.23
342	SI2	E	Premium	60.5	59	7.59	7.55	4.58
343	VS1	H	Ideal	62.2	57	4.34	4.37	2.71
344	VVS2	E	Very Good	62.4	58	4.28	4.31	2.68
345	VVS2	H	Ideal	62.1	56	6.5	6.45	4.02
346	SI1	H	Good	63.1	56	4.27	4.29	2.7
347	VVS2	F	Ideal	61.6	54	5.76	5.79	3.56
348	SI2	G	Very Good	61.1	62	6.55	6.61	4.02
349	SI2	E	Very Good	58.7	63	6.23	6.2	3.65
350	VS1	F	Ideal	61.9	56	5.25	5.29	3.26
351	SI1	J	Ideal	61.7	56	5.77	5.81	3.57
352	VS1	F	Good	59.1	62	5.82	5.86	3.44
353	SI1	H	Premium	59.9	59	7.05	7.08	4.23
354	VVS2	G	Ideal	62.5	56	6.59	6.66	4.14
355	SI1	E	Premium	61.3	59	4.69	4.74	2.89
356	SI1	H	Good	63.1	56	6.35	6.39	4.02
357	VS1	E	Premium	61.1	60	6.41	6.43	3.92
358	VS2	G	Premium	61.7	56	6.72	6.61	4.11
359	SI2	F	Premium	59.5	58	5.82	5.72	3.44
360	VS1	I	Fair	65.1	57	5.65	5.77	3.72
361	VVS2	F	Very Good	60.7	58	5.32	5.35	3.24
362	VVS2	G	Very Good	61.6	58	4.73	4.78	2.93
363	VS2	G	Premium	61.6	58	6.45	6.4	3.96
364	VS2	J	Fair	65.7	59	6.14	6.07	4.01
365	VVS1	G	Very Good	60.6	61	4.33	4.35	2.63
366	VS1	I	Ideal	61.4	57	7.7	7.65	4.71
367	VS2	H	Ideal	62.1	55	4.3	4.33	2.68
368	I1	H	Fair	67.3	58	7.5	7.47	5.04
369	VVS2	H	Premium	62.9	57	4.31	4.28	2.7
370	VS2	E	Premium	60.9	60	4.71	4.68	2.86
371	I1	I	Good	63.6	58	7.52	7.48	4.77
372	SI2	D	Good	63.2	56	5.21	5.24	3.3
373	VS1	D	Very Good	63	56	4.27	4.33	2.71
374	SI2	F	Premium	62.7	59	6.83	6.77	4.26
375	VVS2	I	Ideal	63	57	4.27	4.24	2.68
376	SI1	H	Very Good	61.9	59	4.38	4.41	2.72
377	SI1	I	Ideal	62.3	57	5.81	5.87	3.64
378	SI1	F	Premium	60.9	59	5.89	5.83	3.57
379	SI2	E	Very Good	62.8	59	6.3	6.34	3.97
380	IF	G	Ideal	61.7	55	4.37	4.39	2.7
381	VS2	G	Very Good	63.2	57	5.61	5.66	3.56
382	SI2	I	Ideal	61.9	55	6.58	6.61	4.08
383	VVS2	G	Ideal	61.8	54	5.53	5.56	3.42
384	VS1	G	Premium	62	58	6.76	6.73	4.18
385	VS2	J	Premium	62.3	59	7.31	7.35	4.57
386	VS2	F	Very Good	62.7	57	4.3	4.34	2.71
387	VS2	E	Ideal	62	55	5.14	5.19	3.2
388	SI2	E	Ideal	62	58	5.66	5.7	3.52
389	VS2	D	Ideal	61.9	55	5.24	5.23	3.24
390	VS1	F	Ideal	62.3	57	5.29	5.32	3.3
391	VVS1	F	Fair	54.6	59	4.85	4.79	2.63
392	SI2	E	Ideal	61.1	57	6.48	6.52	3.97
393	VS2	H	Ideal	61.4	55	5.79	5.82	3.56
394	I1	H	Fair	64.7	58	7.05	7	4.55
395	SI1	I	Good	63.7	57	4.63	4.57	2.93
396	VS2	E	Premium	62.7	57	6.36	6.31	3.97
397	VVS1	I	Ideal	60.1	56	5.24	5.27	3.16
398	VS2	H	Very Good	63	61	6.05	6.14	3.84
399	VVS2	E	Premium	60	59	4.99	4.95	2.98
400	VS1	G	Ideal	61.1	56	5.72	5.74	3.5
401	SI2	D	Very Good	61.5	63	6.32	6.27	3.87
402	VVS1	E	Ideal	62.4	56	5.48	5.52	3.43
403	VVS1	I	Ideal	61.8	55	4.79	4.76	2.95
404	SI2	J	Premium	58.2	58	7.39	7.35	4.29
405	VS2	E	Ideal	62	55	5.26	5.28	3.27
406	SI1	I	Good	64.3	57	6.29	6.25	4.03
407	VS2	E	Very Good	59.1	60	6.61	6.51	3.88
408	SI1	F	Very Good	62.4	56	4.81	4.84	3.01
409	SI1	G	Very Good	63.8	57	5.16	5.19	3.3
410	VS1	H	Ideal	61	56	5.75	5.79	3.51
411	SI1	F	Fair	59.6	63	7.2	7.34	4.33
412	VVS1	G	Ideal	61	54	6.63	6.72	4.07
413	VS2	G	Premium	62.6	60	4.36	4.33	2.72
414	SI2	F	Premium	62.6	58	5.64	5.6	3.52
415	VS2	G	Ideal	61.1	56	5.89	5.96	3.62
416	IF	G	Ideal	59.8	54	7.75	7.63	4.6
417	VS2	F	Ideal	61.7	55	4.61	4.73	2.88
418	VS1	I	Very Good	62	58	4.25	4.3	2.65
419	VS1	J	Very Good	61.8	56	4.75	4.79	2.95
420	VS2	J	Good	64	58	7.24	7.27	4.64
421	SI1	D	Premium	61.4	58	4.76	4.78	2.93
422	SI1	F	Ideal	61.6	57	5.37	5.34	3.3
423	SI1	I	Premium	62	58	6.43	6.47	4
424	VS1	I	Very Good	61	58	5.18	5.22	3.17
425	SI1	G	Ideal	61.5	57	5.36	5.4	3.31
426	VS2	F	Premium	61.2	59	4.42	4.4	2.7
427	VVS1	H	Ideal	60.4	57	5.78	5.81	3.5
428	VVS2	E	Very Good	61.6	58	4.5	4.53	2.78
429	VS2	D	Ideal	62.1	55	5.5	5.52	3.42
430	SI1	D	Ideal	61.3	57	4.44	4.5	2.74
431	I1	G	Fair	60.4	58	5.74	5.68	3.45
432	VS2	D	Ideal	62.2	55	4.29	4.33	2.68
433	SI2	G	Premium	60.8	55	6.84	6.69	4.11
434	VVS2	G	Very Good	63.1	57	4.32	4.3	2.72
435	SI1	F	Premium	62.2	57	4.72	4.67	2.92
436	SI1	D	Very Good	63.8	56	5.06	5.1	3.24
437	VVS2	G	Ideal	62.2	55	4.33	4.29	2.68
438	SI1	E	Very Good	63.3	56	4.43	4.41	2.8
439	SI2	E	Premium	60.3	61	6.62	6.57	3.98
440	VS2	D	Ideal	61.9	56	5.76	5.81	3.58
441	SI1	G	Ideal	60.7	58	6.55	6.52	3.97
442	VS1	H	Very Good	63.4	59	7.13	7.2	4.54
443	VS2	G	Premium	62	56	7.18	7.14	4.44
444	VS2	E	Premium	60.1	60	7.53	7.54	4.53
445	VS1	G	Very Good	59.3	56	5.38	5.44	3.21
446	VS2	G	Premium	61.6	59	5.65	5.64	3.48
447	SI1	H	Good	63.1	63	6.04	6.1	3.83
448	SI1	F	Premium	62.7	58	5.74	5.68	3.58
449	SI1	I	Ideal	61.3	55	5.3	5.33	3.26
450	VS2	I	Good	64.3	60	7.91	7.86	5.07
451	SI1	F	Ideal	61.5	57	5.67	5.74	3.51
452	VS1	H	Ideal	61.1	55	4.68	4.72	2.87
453	VS2	H	Ideal	63	56	6.74	6.65	4.22
454	VS2	G	Very Good	61.2	55	5.13	5.16	3.15
455	VS2	D	Ideal	62.5	57	6.48	6.51	4.06
456	VS1	G	Very Good	63.5	55	5.75	5.68	3.63
457	VVS1	E	Ideal	62	53.7	5.4	5.44	3.36
458	IF	G	Very Good	62	59	6.8	6.85	4.23
