	dataset
R535	ver_lines
R536	ver_lines
R537	ver_lines
R538	ver_lines
R539	ver_lines
R540	ver_lines
R541	ver_lines
R542	ver_lines
R543	ver_lines
R544	ver_lines
R545	ver_lines
R546	ver_lines
R547	ver_lines
R548	ver_lines
R549	ver_lines
R550	ver_lines
R551	ver_lines
R552	ver_lines
R553	ver_lines
R554	ver_lines
R555	ver_lines
R556	ver_lines
R557	ver_lines
R558	ver_lines
R559	ver_lines
R560	ver_lines
R561	ver_lines
R562	ver_lines
R563	ver_lines
R564	ver_lines
R565	ver_lines
R566	ver_lines
R567	ver_lines
R568	ver_lines
R569	x_shape
R570	x_shape
R571	x_shape
R572	x_shape
R573	x_shape
R574	x_shape
R575	x_shape
R576	x_shape
R577	x_shape
R578	x_shape
R579	x_shape
R580	x_shape
R581	x_shape
R582	x_shape
R583	x_shape
R584	x_shape
R585	x_shape
R586	x_shape
R587	x_shape
R588	x_shape
R589	x_shape
R590	x_shape
R591	x_shape
R592	x_shape
R593	x_shape
R594	x_shape
R595	x_shape
R596	x_shape
R597	x_shape
R598	x_shape
R599	x_shape
R600	x_shape
R601	x_shape
R602	x_shape
R603	x_shape
R604	x_shape
R605	x_shape
R606	x_shape
R607	x_shape
R608	x_shape
R609	x_shape
R610	x_shape
R611	x_shape
R612	x_shape
R613	x_shape
R614	x_shape
R615	x_shape
R616	x_shape
R617	x_shape
R618	x_shape
R619	x_shape
R620	x_shape
R621	x_shape
R622	x_shape
R623	x_shape
R624	x_shape
R625	x_shape
R626	x_shape
R627	x_shape
R628	x_shape
R629	x_shape
R630	x_shape
R631	x_shape
R632	x_shape
R633	x_shape
R634	x_shape
R635	x_shape
R636	x_shape
R637	x_shape
R638	x_shape
R639	x_shape
R640	x_shape
R641	x_shape
R642	x_shape
R643	x_shape
R644	x_shape
R645	x_shape
R646	x_shape
R647	x_shape
R648	x_shape
R649	x_shape
R650	x_shape
R651	x_shape
R652	x_shape
R653	x_shape
R654	x_shape
R655	x_shape
R656	x_shape
R657	x_shape
R658	x_shape
R659	x_shape
R660	x_shape
R661	x_shape
R662	x_shape
R663	x_shape
R664	x_shape
R665	x_shape
R666	x_shape
R667	x_shape
R668	x_shape
R669	x_shape
R670	x_shape
R671	x_shape
R672	x_shape
R673	x_shape
R674	x_shape
R675	x_shape
R676	x_shape
R677	x_shape
R678	x_shape
R679	x_shape
R680	x_shape
R681	x_shape
R682	x_shape
R683	x_shape
R684	x_shape
R685	x_shape
R686	x_shape
R687	x_shape
R688	x_shape
R689	x_shape
R690	x_shape
R691	x_shape
R692	x_shape
R693	x_shape
R694	x_shape
R695	x_shape
R696	x_shape
R697	x_shape
R698	x_shape
R699	x_shape
R700	x_shape
R701	x_shape
R702	x_shape
R703	x_shape
R704	x_shape
R705	x_shape
R706	x_shape
R707	x_shape
R708	x_shape
R709	x_shape
R710	x_shape
R711	star
R712	star
R713	star
R714	star
R715	star
R716	star
R717	star
R718	star
R719	star
R720	star
R721	star
R722	star
R723	star
R724	star
R725	star
R726	star
R727	star
R728	star
R729	star
R730	star
R731	star
R732	star
R733	star
R734	star
R735	star
R736	star
R737	star
R738	star
R739	star
R740	star
R741	star
R742	star
R743	star
R744	star
R745	star
R746	star
R747	star
R748	star
R749	star
R750	star
R751	star
R752	star
R753	star
R754	star
R755	star
R756	star
R757	star
R758	star
R759	star
R760	star
R761	star
R762	star
R763	star
R764	star
R765	star
R766	star
R767	star
R768	star
R769	star
R770	star
R771	star
R772	star
R773	star
R774	star
R775	star
R776	star
R777	star
R778	star
R779	star
R780	star
R781	star
R782	star
R783	star
R784	star
R785	star
R786	star
R787	star
R788	star
R789	star
R790	star
R791	star
R792	star
R793	star
R794	star
R795	star
R796	star
R797	star
R798	star
R799	star
R800	star
R801	star
R802	star
R803	star
R804	star
R805	star
R806	star
R807	star
R808	star
R809	star
R810	star
R811	star
R812	star
R813	star
R814	star
R815	star
R816	star
R817	star
R818	star
R819	star
R820	star
R821	star
R822	star
R823	star
R824	star
R825	star
R826	star
R827	star
R828	star
R829	star
R830	star
R831	star
R832	star
R833	star
R834	star
R835	star
R836	star
R837	star
R838	star
R839	star
R840	star
R841	star
R842	star
R843	star
R844	star
R845	star
R846	star
R847	star
R848	star
R849	star
R850	star
R851	star
R852	star
R853	high_lines
R854	high_lines
R855	high_lines
R856	high_lines
R857	high_lines
R858	high_lines
R859	high_lines
R860	high_lines
R861	high_lines
R862	high_lines
R863	high_lines
R864	high_lines
R865	high_lines
R866	high_lines
R867	high_lines
R868	high_lines
R869	high_lines
R870	high_lines
R871	high_lines
R872	high_lines
R873	high_lines
R874	high_lines
R875	high_lines
R876	high_lines
R877	high_lines
R878	high_lines
R879	high_lines
R880	high_lines
R881	high_lines
R882	high_lines
R883	high_lines
R884	high_lines
R885	high_lines
R886	high_lines
R887	high_lines
R888	high_lines
R889	high_lines
R890	high_lines
R891	high_lines
R892	high_lines
R893	high_lines
R894	high_lines
R895	high_lines
R896	high_lines
R897	high_lines
R898	high_lines
R899	high_lines
R900	high_lines
R901	high_lines
R902	high_lines
R903	high_lines
R904	high_lines
R905	high_lines
R906	high_lines
R907	high_lines
R908	high_lines
R909	high_lines
R910	high_lines
R911	high_lines
R912	high_lines
R913	high_lines
R914	high_lines
R915	high_lines
R916	high_lines
R917	high_lines
R918	high_lines
R919	high_lines
R920	high_lines
R921	high_lines
R922	high_lines
R923	high_lines
R924	high_lines
R925	high_lines
R926	high_lines
R927	high_lines
R928	high_lines
R929	high_lines
R930	high_lines
R931	high_lines
R932	high_lines
R933	high_lines
R934	high_lines
R935	high_lines
R936	high_lines
R937	high_lines
R938	high_lines
R939	high_lines
R940	high_lines
R941	high_lines
R942	high_lines
R943	high_lines
R944	high_lines
R945	high_lines
R946	high_lines
R947	high_lines
R948	high_lines
R949	high_lines
R950	high_lines
R951	high_lines
R952	high_lines
R953	high_lines
R954	high_lines
R955	high_lines
R956	high_lines
R957	high_lines
R958	high_lines
R959	high_lines
R960	high_lines
R961	high_lines
R962	high_lines
R963	high_lines
R964	high_lines
R965	high_lines
R966	high_lines
R967	high_lines
R968	high_lines
R969	high_lines
R970	high_lines
R971	high_lines
R972	high_lines
R973	high_lines
R974	high_lines
R975	high_lines
R976	high_lines
R977	high_lines
R978	high_lines
R979	high_lines
R980	high_lines
R981	high_lines
R982	high_lines
R983	high_lines
R984	high_lines
R985	high_lines
R986	high_lines
R987	high_lines
R988	high_lines
R989	high_lines
R990	high_lines
R991	high_lines
R992	high_lines
R993	high_lines
R994	high_lines
R995	dots
R996	dots
R997	dots
R998	dots
R999	dots
R1000	dots
R1001	dots
R1002	dots
R1003	dots
R1004	dots
R1005	dots
R1006	dots
R1007	dots
R1008	dots
R1009	dots
R1010	dots
R1011	dots
R1012	dots
R1013	dots
R1014	dots
R1015	dots
R1016	dots
R1017	dots
R1018	dots
R1019	dots
R1020	dots
R1021	dots
R1022	dots
R1023	dots
R1024	dots
R1025	dots
R1026	dots
R1027	dots
R1028	dots
R1029	dots
R1030	dots
R1031	dots
R1032	dots
R1033	dots
R1034	dots
R1035	dots
R1036	dots
R1037	dots
R1038	dots
R1039	dots
R1040	dots
R1041	dots
R1042	dots
R1043	dots
R1044	dots
R1045	dots
R1046	dots
R1047	dots
R1048	dots
R1049	dots
R1050	dots
R1051	dots
R1052	dots
R1053	dots
R1054	dots
R1055	dots
R1056	dots
R1057	dots
R1058	dots
R1059	dots
R1060	dots
R1061	dots
R1062	dots
R1063	dots
R1064	dots
R1065	dots
R1066	dots
R1067	dots
R1068	dots
R1069	dots
R1070	dots
R1071	dots
R1072	dots
R1073	dots
R1074	dots
R1075	dots
R1076	dots
R1077	dots
R1078	dots
R1079	dots
R1080	dots
R1081	dots
R1082	dots
R1083	dots
R1084	dots
R1085	dots
R1086	dots
R1087	dots
R1088	dots
R1089	dots
R1090	dots
R1091	dots
R1092	dots
R1093	dots
R1094	dots
R1095	dots
R1096	dots
R1097	dots
R1098	dots
R1099	dots
R1100	dots
R1101	dots
R1102	dots
R1103	dots
R1104	dots
R1105	dots
R1106	dots
R1107	dots
R1108	dots
R1109	dots
R1110	dots
R1111	dots
R1112	dots
R1113	dots
R1114	dots
R1115	dots
R1116	dots
R1117	dots
R1118	dots
R1119	dots
R1120	dots
R1121	dots
R1122	dots
R1123	dots
R1124	dots
R1125	dots
R1126	dots
R1127	dots
R1128	dots
R1129	dots
R1130	dots
R1131	dots
R1132	dots
R1133	dots
R1134	dots
R1135	dots
R1136	dots
R1137	circle
R1138	circle
R1139	circle
R1140	circle
R1141	circle
R1142	circle
R1143	circle
R1144	circle
R1145	circle
R1146	circle
R1147	circle
R1148	circle
R1149	circle
R1150	circle
R1151	circle
R1152	circle
R1153	circle
R1154	circle
R1155	circle
R1156	circle
R1157	circle
R1158	circle
R1159	circle
R1160	circle
R1161	circle
R1162	circle
R1163	circle
R1164	circle
R1165	circle
R1166	circle
R1167	circle
R1168	circle
R1169	circle
R1170	circle
R1171	circle
R1172	circle
R1173	circle
R1174	circle
R1175	circle
R1176	circle
R1177	circle
R1178	circle
R1179	circle
R1180	circle
R1181	circle
R1182	circle
R1183	circle
R1184	circle
R1185	circle
R1186	circle
R1187	circle
R1188	circle
R1189	circle
R1190	circle
R1191	circle
R1192	circle
R1193	circle
R1194	circle
R1195	circle
R1196	circle
R1197	circle
R1198	circle
R1199	circle
R1200	circle
R1201	circle
R1202	circle
R1203	circle
R1204	circle
R1205	circle
R1206	circle
R1207	circle
R1208	circle
R1209	circle
R1210	circle
R1211	circle
R1212	circle
R1213	circle
R1214	circle
R1215	circle
R1216	circle
R1217	circle
R1218	circle
R1219	circle
R1220	circle
R1221	circle
R1222	circle
R1223	circle
R1224	circle
R1225	circle
R1226	circle
R1227	circle
R1228	circle
R1229	circle
R1230	circle
R1231	circle
R1232	circle
R1233	circle
R1234	circle
R1235	circle
R1236	circle
R1237	circle
R1238	circle
R1239	circle
R1240	circle
R1241	circle
R1242	circle
R1243	circle
R1244	circle
R1245	circle
R1246	circle
R1247	circle
R1248	circle
R1249	circle
R1250	circle
R1251	circle
R1252	circle
R1253	circle
R1254	circle
R1255	circle
R1256	circle
R1257	circle
R1258	circle
R1259	circle
R1260	circle
R1261	circle
R1262	circle
R1263	circle
R1264	circle
R1265	circle
R1266	circle
R1267	circle
R1268	circle
R1269	circle
R1270	circle
R1271	circle
R1272	circle
R1273	circle
R1274	circle
R1275	circle
R1276	circle
R1277	circle
R1278	circle
R1279	bullseye
R1280	bullseye
R1281	bullseye
R1282	bullseye
R1283	bullseye
R1284	bullseye
R1285	bullseye
R1286	bullseye
R1287	bullseye
R1288	bullseye
R1289	bullseye
R1290	bullseye
R1291	bullseye
R1292	bullseye
R1293	bullseye
R1294	bullseye
R1295	bullseye
R1296	bullseye
R1297	bullseye
R1298	bullseye
R1299	bullseye
R1300	bullseye
R1301	bullseye
R1302	bullseye
R1303	bullseye
R1304	bullseye
R1305	bullseye
R1306	bullseye
R1307	bullseye
R1308	bullseye
R1309	bullseye
R1310	bullseye
R1311	bullseye
R1312	bullseye
R1313	bullseye
R1314	bullseye
R1315	bullseye
R1316	bullseye
R1317	bullseye
R1318	bullseye
R1319	bullseye
R1320	bullseye
R1321	bullseye
R1322	bullseye
R1323	bullseye
R1324	bullseye
R1325	bullseye
R1326	bullseye
R1327	bullseye
R1328	bullseye
R1329	bullseye
R1330	bullseye
R1331	bullseye
R1332	bullseye
R1333	bullseye
R1334	bullseye
R1335	bullseye
R1336	bullseye
R1337	bullseye
R1338	bullseye
R1339	bullseye
R1340	bullseye
R1341	bullseye
R1342	bullseye
R1343	bullseye
R1344	bullseye
R1345	bullseye
R1346	bullseye
R1347	bullseye
R1348	bullseye
R1349	bullseye
R1350	bullseye
R1351	bullseye
R1352	bullseye
R1353	bullseye
R1354	bullseye
R1355	bullseye
R1356	bullseye
R1357	bullseye
R1358	bullseye
R1359	bullseye
R1360	bullseye
R1361	bullseye
R1362	bullseye
R1363	bullseye
R1364	bullseye
R1365	bullseye
R1366	bullseye
R1367	bullseye
R1368	bullseye
R1369	bullseye
R1370	bullseye
R1371	bullseye
R1372	bullseye
R1373	bullseye
R1374	bullseye
R1375	bullseye
R1376	bullseye
R1377	bullseye
R1378	bullseye
R1379	bullseye
R1380	bullseye
R1381	bullseye
R1382	bullseye
R1383	bullseye
R1384	bullseye
R1385	bullseye
R1386	bullseye
R1387	bullseye
R1388	bullseye
R1389	bullseye
R1390	bullseye
R1391	bullseye
R1392	bullseye
R1393	bullseye
R1394	bullseye
R1395	bullseye
R1396	bullseye
R1397	bullseye
R1398	bullseye
R1399	bullseye
R1400	bullseye
R1401	bullseye
R1402	bullseye
R1403	bullseye
R1404	bullseye
R1405	bullseye
R1406	bullseye
R1407	bullseye
R1408	bullseye
R1409	bullseye
R1410	bullseye
R1411	bullseye
R1412	bullseye
R1413	bullseye
R1414	bullseye
R1415	bullseye
R1416	bullseye
R1417	bullseye
R1418	bullseye
R1419	bullseye
R1420	bullseye
R1421	slant_up
R1422	slant_up
R1423	slant_up
R1424	slant_up
R1425	slant_up
R1426	slant_up
R1427	slant_up
R1428	slant_up
R1429	slant_up
R1430	slant_up
R1431	slant_up
R1432	slant_up
R1433	slant_up
R1434	slant_up
R1435	slant_up
R1436	slant_up
R1437	slant_up
R1438	slant_up
R1439	slant_up
R1440	slant_up
R1441	slant_up
R1442	slant_up
R1443	slant_up
R1444	slant_up
R1445	slant_up
R1446	slant_up
R1447	slant_up
R1448	slant_up
R1449	slant_up
R1450	slant_up
R1451	slant_up
R1452	slant_up
R1453	slant_up
R1454	slant_up
R1455	slant_up
R1456	slant_up
R1457	slant_up
R1458	slant_up
R1459	slant_up
R1460	slant_up
R1461	slant_up
R1462	slant_up
R1463	slant_up
R1464	slant_up
R1465	slant_up
R1466	slant_up
R1467	slant_up
R1468	slant_up
R1469	slant_up
R1470	slant_up
R1471	slant_up
R1472	slant_up
R1473	slant_up
R1474	slant_up
R1475	slant_up
R1476	slant_up
R1477	slant_up
R1478	slant_up
R1479	slant_up
R1480	slant_up
R1481	slant_up
R1482	slant_up
R1483	slant_up
R1484	slant_up
R1485	slant_up
R1486	slant_up
R1487	slant_up
R1488	slant_up
R1489	slant_up
R1490	slant_up
R1491	slant_up
R1492	slant_up
R1493	slant_up
R1494	slant_up
R1495	slant_up
R1496	slant_up
R1497	slant_up
R1498	slant_up
R1499	slant_up
R1500	slant_up
R1501	slant_up
R1502	slant_up
R1503	slant_up
R1504	slant_up
R1505	slant_up
R1506	slant_up
R1507	slant_up
R1508	slant_up
R1509	slant_up
R1510	slant_up
R1511	slant_up
R1512	slant_up
R1513	slant_up
R1514	slant_up
R1515	slant_up
R1516	slant_up
R1517	slant_up
R1518	slant_up
R1519	slant_up
R1520	slant_up
R1521	slant_up
R1522	slant_up
R1523	slant_up
R1524	slant_up
R1525	slant_up
R1526	slant_up
R1527	slant_up
R1528	slant_up
R1529	slant_up
R1530	slant_up
R1531	slant_up
R1532	slant_up
R1533	slant_up
R1534	slant_up
R1535	slant_up
R1536	slant_up
R1537	slant_up
R1538	slant_up
R1539	slant_up
R1540	slant_up
R1541	slant_up
R1542	slant_up
R1543	slant_up
R1544	slant_up
R1545	slant_up
R1546	slant_up
R1547	slant_up
R1548	slant_up
R1549	slant_up
R1550	slant_up
R1551	slant_up
R1552	slant_up
R1553	slant_up
R1554	slant_up
R1555	slant_up
R1556	slant_up
R1557	slant_up
R1558	slant_up
R1559	slant_up
R1560	slant_up
R1561	slant_up
R1562	slant_up
R1563	slant_down
R1564	slant_down
R1565	slant_down
R1566	slant_down
R1567	slant_down
R1568	slant_down
R1569	slant_down
R1570	slant_down
R1571	slant_down
R1572	slant_down
R1573	slant_down
R1574	slant_down
R1575	slant_down
R1576	slant_down
R1577	slant_down
R1578	slant_down
R1579	slant_down
R1580	slant_down
R1581	slant_down
R1582	slant_down
R1583	slant_down
R1584	slant_down
R1585	slant_down
R1586	slant_down
R1587	slant_down
R1588	slant_down
R1589	slant_down
R1590	slant_down
R1591	slant_down
R1592	slant_down
R1593	slant_down
R1594	slant_down
R1595	slant_down
R1596	slant_down
R1597	slant_down
R1598	slant_down
R1599	slant_down
R1600	slant_down
R1601	slant_down
R1602	slant_down
R1603	slant_down
R1604	slant_down
R1605	slant_down
R1606	slant_down
R1607	slant_down
R1608	slant_down
R1609	slant_down
R1610	slant_down
R1611	slant_down
R1612	slant_down
R1613	slant_down
R1614	slant_down
R1615	slant_down
R1616	slant_down
R1617	slant_down
R1618	slant_down
R1619	slant_down
R1620	slant_down
R1621	slant_down
R1622	slant_down
R1623	slant_down
R1624	slant_down
R1625	slant_down
R1626	slant_down
R1627	slant_down
R1628	slant_down
R1629	slant_down
R1630	slant_down
R1631	slant_down
R1632	slant_down
R1633	slant_down
R1634	slant_down
R1635	slant_down
R1636	slant_down
R1637	slant_down
R1638	slant_down
R1639	slant_down
R1640	slant_down
R1641	slant_down
R1642	slant_down
R1643	slant_down
R1644	slant_down
R1645	slant_down
R1646	slant_down
R1647	slant_down
R1648	slant_down
R1649	slant_down
R1650	slant_down
R1651	slant_down
R1652	slant_down
R1653	slant_down
R1654	slant_down
R1655	slant_down
R1656	slant_down
R1657	slant_down
R1658	slant_down
R1659	slant_down
R1660	slant_down
R1661	slant_down
R1662	slant_down
R1663	slant_down
R1664	slant_down
R1665	slant_down
R1666	slant_down
R1667	slant_down
R1668	slant_down
R1669	slant_down
R1670	slant_down
R1671	slant_down
R1672	slant_down
R1673	slant_down
R1674	slant_down
R1675	slant_down
R1676	slant_down
R1677	slant_down
R1678	slant_down
R1679	slant_down
R1680	slant_down
R1681	slant_down
R1682	slant_down
R1683	slant_down
R1684	slant_down
R1685	slant_down
R1686	slant_down
R1687	slant_down
R1688	slant_down
R1689	slant_down
R1690	slant_down
R1691	slant_down
R1692	slant_down
R1693	slant_down
R1694	slant_down
R1695	slant_down
R1696	slant_down
R1697	slant_down
R1698	slant_down
R1699	slant_down
R1700	slant_down
R1701	slant_down
R1702	slant_down
R1703	slant_down
R1704	slant_down
R1705	wide_lines
R1706	wide_lines
R1707	wide_lines
R1708	wide_lines
R1709	wide_lines
R1710	wide_lines
R1711	wide_lines
R1712	wide_lines
R1713	wide_lines
R1714	wide_lines
R1715	wide_lines
R1716	wide_lines
R1717	wide_lines
R1718	wide_lines
R1719	wide_lines
R1720	wide_lines
R1721	wide_lines
R1722	wide_lines
R1723	wide_lines
R1724	wide_lines
R1725	wide_lines
R1726	wide_lines
R1727	wide_lines
R1728	wide_lines
R1729	wide_lines
R1730	wide_lines
R1731	wide_lines
R1732	wide_lines
R1733	wide_lines
R1734	wide_lines
R1735	wide_lines
R1736	wide_lines
R1737	wide_lines
R1738	wide_lines
R1739	wide_lines
R1740	wide_lines
R1741	wide_lines
R1742	wide_lines
R1743	wide_lines
R1744	wide_lines
R1745	wide_lines
R1746	wide_lines
R1747	wide_lines
R1748	wide_lines
R1749	wide_lines
R1750	wide_lines
R1751	wide_lines
R1752	wide_lines
R1753	wide_lines
R1754	wide_lines
R1755	wide_lines
R1756	wide_lines
R1757	wide_lines
R1758	wide_lines
R1759	wide_lines
R1760	wide_lines
R1761	wide_lines
R1762	wide_lines
R1763	wide_lines
R1764	wide_lines
R1765	wide_lines
R1766	wide_lines
R1767	wide_lines
R1768	wide_lines
R1769	wide_lines
R1770	wide_lines
R1771	wide_lines
R1772	wide_lines
R1773	wide_lines
R1774	wide_lines
R1775	wide_lines
R1776	wide_lines
R1777	wide_lines
R1778	wide_lines
R1779	wide_lines
R1780	wide_lines
R1781	wide_lines
R1782	wide_lines
R1783	wide_lines
R1784	wide_lines
R1785	wide_lines
R1786	wide_lines
R1787	wide_lines
R1788	wide_lines
R1789	wide_lines
R1790	wide_lines
R1791	wide_lines
R1792	wide_lines
R1793	wide_lines
R1794	wide_lines
R1795	wide_lines
R1796	wide_lines
R1797	wide_lines
R1798	wide_lines
R1799	wide_lines
R1800	wide_lines
R1801	wide_lines
R1802	wide_lines
R1803	wide_lines
R1804	wide_lines
R1805	wide_lines
R1806	wide_lines
R1807	wide_lines
R1808	wide_lines
R1809	wide_lines
R1810	wide_lines
R1811	wide_lines
