	GATA3	PTEN	XBP1
BRCA67	2.02	0.9	3.27
BRCA68	2.33	0.2	3.73
BRCA69	-4.57	0.66	-1.4
BRCA70	1.43	1.19	2.21
BRCA71	1.97	1.56	2.26
BRCA72	-2.71	0.46	-1.59
BRCA73	1.5	0.42	2.03
BRCA74	3.14	0.62	3.44
BRCA75	0	1.69	3.2
BRCA76	-1.03	0.05	-1.26
BRCA77	1.22	1.57	1.05
BRCA78	0.32	0.88	1.36
BRCA79	2.48	0.62	3.02
BRCA80	2.42	0.02	2.3
BRCA81	-3.25	2.04	-1.67
BRCA82	2.84	0.92	3.13
BRCA83	-1.06	0.48	-0.78
BRCA84	-3.86	1.7	-1.38
BRCA85	1.93	-0.42	2.06
BRCA86	-1.75	-0.43	-1.21
BRCA87	-0.43	1.75	0.85
BRCA88	-4.4	0.83	-1.34
BRCA89	-0.75	1.92	-0.07
BRCA90	2.26	1.07	3.16
BRCA91	3.32	-0.1	3.65
BRCA92	0.79	-0.26	3.21
BRCA93	1.6	0.84	1.85
BRCA94	0.89	-0.04	3.24
BRCA95	1.1	0.53	1.28
BRCA96	2.38	1.04	2.52
BRCA97	2.67	0	2.71
BRCA98	3.71	0.65	0.9
BRCA99	2.98	0.52	1.29
BRCA100	1.44	0.73	2.89
BRCA101	1.71	0.59	2.24
BRCA102	1.62	0.67	1.96
BRCA103	2.6	0.44	2.93
BRCA104	2.12	0.89	2.01
BRCA105	-4.39	-0.18	-1.12
BRCA106	1.21	0.77	2.23
BRCA107	1.93	1.09	2.88
BRCA108	1.74	0.88	3.05
BRCA109	1.54	1.23	4.3
BRCA110	2.47	0.96	1.48
BRCA111	2.15	0.67	3.34
BRCA112	-2.05	0.73	-1
BRCA113	1.14	0.76	3.73
BRCA114	-0.93	-0.1	-0.52
BRCA115	2.73	1.31	3.77
BRCA116	-0.69	0.55	1.16
BRCA117	0.89	0.83	2.3
BRCA118	3.15	0.82	3.08
BRCA119	1.48	0.04	2.97
BRCA120	2.34	0.48	2.77
BRCA121	3.87	0.5	3.52
BRCA122	2.33	0.41	2.5
BRCA123	2.07	1.18	2.29
BRCA124	1.82	0.89	2.34
BRCA125	2.42	-0.73	2.67
BRCA126	2.15	0.29	2.84
BRCA127	2.65	0.73	2.38
BRCA128	1.51	0.08	2.38
BRCA129	3.34	0.56	3.45
BRCA130	-1.37	0.73	-0.71
BRCA131	1.4	0.63	2.51
BRCA132	2.34	0.87	0.35
BRCA133	0.88	0.56	2.05
BRCA134	2.41	1.05	2.62
BRCA135	0.92	0.56	2.29
BRCA136	-3.77	0.42	0.53
BRCA137	2.63	1.1	3.12
BRCA138	2.28	0.52	2.5
BRCA139	-1.91	0.57	1.61
BRCA140	2.44	0.94	1.7
BRCA141	2.42	0.86	1.73
BRCA142	3.51	0.61	3.82
BRCA143	1.58	0.79	3.12
BRCA144	2.27	0.46	2.97
BRCA145	-0.4	0.35	2.69
BRCA146	2.12	1.18	3.02
BRCA147	1.46	1.66	3.33
BRCA148	1.27	0.55	1.79
BRCA149	2.35	1.13	4.49
BRCA150	2.36	0.71	3.17
BRCA151	2.38	0.52	3.37
BRCA152	2.13	0.68	1.95
BRCA153	2.24	1.07	2.83
BRCA154	2.27	-0.21	3.45
BRCA155	0.34	1.4	3.06
BRCA156	2.35	0.77	2.46
BRCA157	3.49	-0.11	3.82
BRCA158	0.92	-1.34	3.29
BRCA159	2.12	1.29	3.13
BRCA160	1.64	0.68	2.48
BRCA161	1.98	1.14	2.36
BRCA162	2.04	-0.5	2.32
BRCA163	2.52	0.57	3.42
BRCA164	1.12	0.48	1.48
BRCA165	0.01	-0.02	1.63
BRCA166	2.45	-0.37	1.89
BRCA167	2.7	0.89	3.35
BRCA168	2.84	-0.77	4.03
BRCA169	1.7	0.84	1.39
BRCA170	1.9	0.97	2.93
BRCA171	-1.11	0.64	0.74
BRCA172	1.96	0.77	3.3
BRCA173	2.49	0.45	2.87
BRCA174	1.52	0.64	2.92
BRCA175	1.69	0.73	3.03
BRCA176	3	-0.07	3.42
BRCA177	2.47	0.98	3.76
BRCA178	1.72	0.67	2.47
BRCA179	2.17	1.49	2.36
BRCA180	1.87	1.17	2.81
BRCA181	-0.16	0.61	1.27
BRCA182	-4.94	-2.4	-0.64
BRCA183	1.62	0.49	2.28
BRCA184	2.24	0.15	2.9
BRCA185	-1.6	0.79	0.58
BRCA186	1.8	-0.3	1.83
BRCA187	0.36	-2.32	-1.43
BRCA188	1.29	0.69	2.48
BRCA189	-3.62	-1.7	-1.38
BRCA190	2.7	1.07	1.01
BRCA191	3.17	1.17	1.67
BRCA192	-3.62	2.18	-1.11
BRCA193	2.37	1.04	2.49
BRCA194	0.27	0.13	0.17
BRCA195	1.25	1.32	1.68
BRCA196	2.32	1.01	2.77
BRCA197	2.31	0.34	1.66
BRCA198	1.19	0.55	0.58
BRCA199	1.27	0.85	2.38
BRCA200	-1.87	0.45	-1.07
BRCA201	2.18	0.34	2.03
BRCA202	2.38	0.53	1.92
BRCA203	-1.71	1.14	0.73
BRCA204	2.05	0.96	3.51
BRCA205	0.86	1.23	1.39
BRCA206	1.68	1.61	2.14
BRCA207	2.57	0.3	3.94
BRCA208	2.28	0.69	2.09
BRCA209	1.54	0.75	2.51
BRCA210	2.82	0.92	2.36
BRCA211	-2.24	0.26	-0.23
BRCA212	2.4	0.75	2.62
BRCA213	1.4	1.53	1.67
BRCA214	1.7	1.14	1.51
BRCA215	2.33	0.34	3.12
BRCA216	2.72	-0.4	0.25
BRCA217	2.27	0.18	3.51
BRCA218	2.76	0.15	2.26
BRCA219	2.84	0.9	1.92
BRCA220	2.18	-0.26	2.07
BRCA221	-1	1.45	0.06
BRCA222	2.18	0.85	2.39
BRCA223	0.15	-1.62	2.05
BRCA224	3.51	0.55	2.47
BRCA225	-3.02	0.91	-0.26
BRCA226	3.15	1.13	2.11
BRCA227	-0.58	-0.97	-0.96
BRCA228	2.47	0.01	1.91
BRCA229	2.52	1.04	2.12
BRCA230	1.66	0.93	0.02
BRCA231	1.43	0.73	1.73
BRCA232	2.07	0.26	0.4
BRCA233	0.78	0.55	0.22
BRCA234	1.52	-1.66	2.43
BRCA235	-0.55	1.14	1.31
BRCA236	1.58	1.61	3.58
BRCA237	3.77	1.16	2.69
BRCA238	2.97	1.22	3.53
BRCA239	2.33	1.72	2.69
BRCA240	-1.8	-0.26	-2.28
BRCA241	2.26	1	2.39
BRCA242	-1.76	-1.53	-1.52
BRCA243	2.84	0.59	2.81
BRCA244	3.25	0.35	1.84
BRCA245	-2.92	-0.35	-0.48
BRCA246	-0.21	-0.29	-0.57
BRCA247	2.57	1.68	1.36
BRCA248	2	1.02	3.76
BRCA249	2.55	0.69	1.88
BRCA250	-1.18	0.23	2.07
BRCA251	1.81	0.88	2.26
BRCA252	-0.19	-0.06	-1.64
BRCA253	1.69	0.34	3.65
BRCA254	3.4	0.44	4.04
BRCA255	2.86	0.3	4.34
BRCA256	-1.16	-0.22	-0.44
BRCA257	0.67	0.2	1.32
BRCA258	-5.25	0.71	0.12
BRCA259	2.84	0.63	2.97
BRCA260	2.95	0.65	2.25
BRCA261	-2.98	0.92	-0.87
BRCA262	2.47	0.41	2.15
BRCA263	-0.72	0.72	-2.21
BRCA264	1.99	0.45	4.32
BRCA265	2.35	0.06	2.34
BRCA266	1.22	1.55	3.63
BRCA267	1.59	1.43	1.22
BRCA268	3.29	1.03	3.08
BRCA269	-3.1	-0.62	-0.18
BRCA270	1.86	0.41	2.09
BRCA271	2.78	1.26	2.39
BRCA272	-1.23	0.59	-0.85
BRCA273	-0.53	-0.59	-1.83
BRCA274	-0.77	-0.73	0.07
BRCA275	-0.67	0.7	-0.76
BRCA276	1.67	1.03	2.08
BRCA277	1.39	1.99	2.21
BRCA278	1.22	0.84	2.77
BRCA279	-1.23	1.25	0.55
BRCA280	2.42	1.34	2.28
BRCA281	-0.41	0.89	0.74
BRCA282	-0.16	0.76	-1.91
BRCA283	1.72	0.16	2.59
BRCA284	1.31	1.4	1.88
BRCA285	1.36	1.41	2.32
BRCA286	1.56	1.1	2.34
BRCA287	1.56	1.13	2.9
BRCA288	1.15	0.8	2.29
BRCA289	-2.38	-1.03	-1.51
BRCA290	-2.09	1.33	-1.22
BRCA291	2.66	0.47	1.58
BRCA292	-3.81	0.43	-1.5
BRCA293	1.64	-0.36	3.17
BRCA294	1.9	1.59	2.82
BRCA295	2.51	1.28	2.18
BRCA296	2.52	-0.62	2.83
BRCA297	2.38	1.81	3.13
BRCA298	1.36	0.9	1.98
BRCA299	2.6	0.66	1.69
BRCA300	2.54	0.83	1.78
BRCA301	-1.99	0.59	-0.04
BRCA302	-0.13	0.29	1.94
BRCA303	2.47	1.31	2.94
BRCA304	1.1	0.58	0.91
BRCA305	2.33	-0.08	2.89
BRCA306	2.14	0.76	2.71
BRCA307	-0.55	0.21	-1.92
BRCA308	0.44	0.6	-0.96
BRCA309	3.11	0.82	3.07
BRCA310	2.13	0.91	2.55
BRCA311	2.25	1.48	2.46
BRCA312	3.48	-0.51	2.61
BRCA313	2.93	0.65	3.58
BRCA314	2.87	1.01	2.14
BRCA315	1.48	1.14	3.43
BRCA316	2.21	1.21	3.53
BRCA317	1.46	1.14	2.17
BRCA318	0.94	0.27	1.02
BRCA319	-0.69	0.55	0.45
BRCA320	-1.36	-0.3	-0.15
BRCA321	1.88	0.89	3.78
BRCA322	2.62	0.64	2.87
BRCA323	1.9	1.07	3.22
BRCA324	2.65	1.35	2.84
BRCA325	1.89	0.6	2.56
BRCA326	-1.39	0.12	-1.23
BRCA327	1.62	0.9	1.95
BRCA328	2.04	1.22	2.32
BRCA329	2.57	0.41	3
BRCA330	-0.77	-0.88	-1.06
BRCA331	2.65	1	3.14
BRCA332	1.9	1.26	3.26
BRCA333	2.99	0.45	2.88
BRCA334	0.12	1.16	2
BRCA335	1.53	1.42	2.58
BRCA336	-3.82	0.96	-0.72
BRCA337	0.46	0.38	2.5
BRCA338	0.44	1.27	2.08
BRCA339	2.02	1.19	2.2
BRCA340	2.45	1.2	2.54
BRCA341	2.4	0.82	0.87
BRCA342	2.07	0.78	2.89
BRCA343	1.58	0.94	2.33
BRCA344	-0.14	-0.48	0.16
BRCA345	1.86	0.92	1.1
BRCA346	-3.23	2.8	-1.94
BRCA347	2.02	1.29	1.91
BRCA348	-0.34	0.8	2.58
BRCA349	0.65	0.6	1.79
BRCA350	-2.32	2.02	-1.34
BRCA351	2.63	1.35	3.02
BRCA352	-2.58	0.91	-1.67
BRCA353	0.06	1.32	1.55
BRCA354	2.3	0.79	2.5
BRCA355	-0.5	2.32	0.19
BRCA356	1.83	1.09	2.66
BRCA357	2.48	1.33	3.29
BRCA358	1.23	0.5	1.83
BRCA359	-2.03	0.71	-0.9
BRCA360	1.01	1.36	1.46
BRCA361	2.17	0.78	2.21
BRCA362	-0.28	0.26	-0.98
BRCA363	1.28	1.19	1.35
BRCA364	2.49	0.86	1.83
BRCA365	0.18	0.8	3.25
BRCA366	1.1	0.76	2.8
BRCA367	0.51	0.93	1.61
BRCA368	2.27	0.99	2.58
BRCA369	1.59	1.38	0.78
BRCA370	0.92	0.92	1.3
BRCA371	2.07	0.54	1.51
BRCA372	2.5	1.2	3.44
BRCA373	1.25	1.54	1.97
BRCA374	2.28	1.11	2.35
BRCA375	-0.24	0.74	0.79
BRCA376	-1.13	-0.45	-0.43
BRCA377	0.27	1.42	1.86
BRCA378	0.65	1.64	1.93
BRCA379	0.83	1.19	2.12
BRCA380	2.25	-0.6	3.8
BRCA381	2.01	1.08	2.82
BRCA382	-0.16	1.56	1.23
BRCA383	-0.57	1.86	1.83
BRCA384	2.6	0.73	2.63
BRCA385	-3.36	2.25	-1.61
BRCA386	2.39	1.83	2.28
BRCA387	1.47	0.76	2.39
BRCA388	1.63	1.44	2.33
BRCA389	0.2	1.34	0.7
BRCA390	2.32	1.32	1.85
BRCA391	1.21	1.59	1.82
BRCA392	0.54	1.2	3.05
BRCA393	2.31	1.53	2.7
BRCA394	0.62	1.41	1.31
BRCA395	-0.79	0.86	-0.43
BRCA396	0.44	1.27	1.06
BRCA397	1.71	0.73	3.7
BRCA398	1.05	1.33	3
BRCA399	2.54	1.17	2.46
BRCA400	0.48	1.41	3.34
BRCA401	2.2	1.21	2.17
BRCA402	2.24	0.5	2.29
BRCA403	0.3	1.45	2.1
BRCA404	2.14	1.48	2.08
BRCA405	0.53	0.68	0.65
BRCA406	2.02	0.7	2.7
BRCA407	0.55	1.28	2.38
BRCA408	1.42	0.96	2.23
BRCA409	0.85	1.37	2.4
BRCA410	0.58	0.46	-1.72
BRCA411	0.5	1.07	1.75
BRCA412	1.98	1.14	3.09
BRCA413	2.97	0.96	2.55
BRCA414	0.38	0.49	-0.88
BRCA415	2.49	1.51	3.52
BRCA416	2.48	0.21	3.84
BRCA417	3.88	0.92	1.81
BRCA418	2.52	0.95	2.87
BRCA419	-1.17	0.72	1.05
BRCA420	2.87	0.37	2.88
BRCA421	1.82	0.48	1.14
BRCA422	2.16	0.95	2.51
BRCA423	2.64	0.35	2.64
BRCA424	2.68	1.13	0.62
BRCA425	1.23	0.46	2.68
BRCA426	1.54	1.45	2.21
BRCA427	1.66	0.8	3.28
BRCA428	0.6	1.14	2.24
BRCA429	1.19	1.17	3.19
BRCA430	-3.09	1.67	-1.84
BRCA431	2.39	0.34	2.82
BRCA432	0.36	0.68	2.07
BRCA433	2.65	1.19	2.48
BRCA434	2.06	0.78	2.2
BRCA435	1.81	0.93	3.25
BRCA436	2.14	1.13	4.3
BRCA437	0.52	1.03	2.25
BRCA438	2.51	1.3	1.11
BRCA439	1.49	1.61	2.61
BRCA440	2.09	0.27	3.07
BRCA441	2.01	1.06	2.29
BRCA442	1.3	0.49	0.82
BRCA443	2.48	0.53	2.07
BRCA444	2.28	0.52	2.63
BRCA445	1.21	0.96	2.29
BRCA446	0.03	0.58	0.23
BRCA447	1.98	1.39	3.32
BRCA448	2.77	1.18	3.27
BRCA449	1.73	0.45	2.4
BRCA450	1.71	1.14	1.82
BRCA451	-3.23	-0.66	-0.27
BRCA452	1.62	1	1.89
BRCA453	0.63	0.6	-1.04
BRCA454	1.29	0.34	2.63
BRCA455	2.51	1.12	2.36
BRCA456	-0.36	1.84	1.19
BRCA457	2.25	1.26	1.77
BRCA458	0.97	2.47	1.78
BRCA459	-1.01	0.42	-1.97
BRCA460	0.77	1.45	1.71
BRCA461	1.34	1.51	1.92
BRCA462	0.14	1.24	1.64
BRCA463	1	1.74	1.61
BRCA464	0.4	1.66	1.91
BRCA465	2.01	0.96	2.97
BRCA466	0.22	1.64	0.62
BRCA467	2.05	0.88	3.29
BRCA468	1.22	1.44	1.38
BRCA469	-1.49	0.23	-0.29
BRCA470	0.09	2.32	0.84
BRCA471	2.28	0.75	1.56
BRCA472	-0.02	1.29	1.06
BRCA473	2.75	0.86	3.47
BRCA474	1.93	-0.18	1.59
BRCA475	0.03	1.6	1.68
BRCA476	1.68	0.41	2.8
BRCA477	0.36	0.13	0.83
BRCA478	-2.18	1.21	-1.22
BRCA479	-3.45	1.69	-2.26
BRCA480	1.39	1.02	1.39
BRCA481	2.24	1.46	1.89
BRCA482	0.66	1.6	0.93
BRCA483	2.57	0.91	2.6
BRCA484	0.01	1.16	1.34
BRCA485	1.53	0.98	2.34
BRCA486	1.91	1.43	2.32
BRCA487	0.31	1.74	1.31
BRCA488	1.51	1.12	2.54
BRCA489	0.23	1.98	0.86
BRCA490	-2.97	1.13	-0.06
BRCA491	-1.5	1.18	-0.73
BRCA492	-0.7	1.22	1.13
BRCA493	3.43	0.5	2.52
BRCA494	2.95	0.52	2.56
BRCA495	0.2	1.82	2.67
BRCA496	-3.54	1.34	-0.55
BRCA497	0.36	1.3	1.73
BRCA498	1.99	1.29	3.15
BRCA499	2.42	0.22	1.28
BRCA500	-1.07	0.4	0.33
BRCA501	2.07	0.47	3.27
BRCA502	3	0.12	3.08
BRCA503	1.84	1.5	1.17
BRCA504	1.09	1.76	2.71
BRCA505	1.05	0.82	1.05
BRCA506	-0.7	0.3	-0.46
BRCA507	1.51	0.38	-0.76
BRCA508	2.98	0.7	3.6
BRCA509	-1.12	-1.33	-1.83
BRCA510	-0.36	1.03	1.68
BRCA511	1.67	0.39	1.82
BRCA512	2.19	-0.32	0.7
BRCA513	1.23	1.13	1.51
BRCA514	1.01	1.33	1.96
BRCA515	2.05	0.82	2.54
BRCA516	1.69	0.98	1.31
BRCA517	1.84	-0.72	1.93
BRCA518	2.46	0.34	2.01
BRCA519	-1.04	0.3	-0.71
BRCA520	-3.91	0.15	0.28
BRCA521	2.72	1.5	2.97
BRCA522	1.59	0.85	3
BRCA523	-1.39	-0.18	0.98
BRCA524	-2.5	0.78	0.42
BRCA525	2.38	0.87	3.52
BRCA526	2.23	0.77	2.91
BRCA527	-3.5	1.57	-0.6
BRCA528	2.42	0.63	2.49
BRCA529	2.39	0.8	2.66
BRCA530	2.39	0.76	3.78
BRCA531	1.03	0.59	1.75
BRCA532	1.82	0.58	2.91
BRCA533	3.55	0.82	2.59
BRCA534	2.72	-0.22	2.56
BRCA535	1.79	-0.11	0.7
BRCA536	3.11	0.85	4.74
BRCA537	2.31	0.89	1.95
BRCA538	0.41	-1.99	-0.7
BRCA539	1.91	1.48	1.99
BRCA540	0.36	0.63	0.28
BRCA541	2.86	-0.34	1.86
BRCA542	-2.52	0	-1.15
BRCA543	2.63	0.36	3.19
BRCA544	2.69	0	2.56
BRCA545	1.54	1.11	2
BRCA546	2	0.89	1.56
BRCA547	-2.53	0.05	1.14
BRCA548	-2.21	1.08	-1.62
BRCA549	2.57	-0.08	2.04
BRCA550	-0.44	1.28	-0.99
BRCA551	1.34	0.93	3.53
BRCA552	-0.19	1.36	0.6
BRCA553	1.36	0.68	1.36
BRCA554	2.95	0.47	3.03
BRCA555	3.5	0.9	3.27
BRCA556	2.62	0.9	3.84
BRCA557	-3.9	1.78	-2.08
BRCA558	-2.85	0.27	-1.28
BRCA559	-0.96	-0.46	0.75
BRCA560	1.02	-0.11	2.26
BRCA561	1.24	1.26	1.92
BRCA562	1.53	0.92	2.22
BRCA563	2.91	0.78	2
BRCA564	1.64	1.97	2.52
BRCA565	1.61	1.85	2.35
BRCA566	2.11	1.48	2.33
BRCA567	2.94	0.53	3.4
BRCA568	2.69	0.46	1.67
BRCA569	-1.88	2.69	-1.59
BRCA570	2.86	1.64	1.83
BRCA571	2.03	1.28	2.88
BRCA572	2.59	1.2	3.33
BRCA573	1.84	0.93	2.24
BRCA574	1.91	0.99	3.99
BRCA575	-0.7	2.5	1.93
BRCA576	1.68	0.72	2.41
BRCA577	2.23	0.22	0.84
BRCA578	1.7	0.35	3.04
BRCA579	2.82	0.36	3.99
BRCA580	2.62	0.69	2.63
BRCA581	3.39	0.15	4.57
BRCA582	-1.3	1.65	-1.46
BRCA583	-2.81	0.88	1.71
BRCA584	1.24	0.74	1.86
BRCA585	3.05	0.76	3.12
BRCA586	-1.2	-0.51	-1.31
BRCA587	0.15	0.64	0.36
BRCA588	-2.94	2.64	-1.66
BRCA589	1.47	1.45	2.7
BRCA590	1.7	0.24	2.09
OV1	-3.46	0.82	-0.6
OV2	-3.69	0.86	0.93
OV3	-3.81	0.88	0
OV4	-4.35	-1.9	-1.01
OV5	-4.53	0.79	0.16
OV6	-3.88	-0.54	-0.9
OV7	-3.45	0.6	-1.06
OV8	-4.25	0.83	-1.52
OV9	-3.15	0.65	-0.98
OV10	-4.25	0.55	-1.08
OV11	-3.99	0.23	-1.72
OV12	-3.43	-0.01	-0.69
OV13	-3.21	-0.38	-1.01
OV14	-4.31	0.03	-2.36
OV15	-4.46	-0.21	-0.83
OV16	-4.13	0.02	-2.18
OV17	-3.83	1.27	-2.05
OV18	-5.24	-0.14	-1.82
OV19	-4.72	1.14	0.35
OV20	-4.29	0.43	-0.34
OV21	-3.51	1.23	0.98
OV22	-4.22	1.54	-0.24
OV23	-5.55	0.45	-1.29
OV24	-4.7	0.75	-0.88
OV25	-4.72	-0.59	-0.39
OV26	-4.44	-1.35	-0.8
OV27	-5.3	-0.75	-2.54
OV28	-5.27	-0.01	-0.67
OV29	-4.52	-0.05	-2.46
OV30	-5.96	0.54	-2.39
OV31	-4.5	0.51	-1.11
OV32	-4.01	1.91	-0.22
OV33	-4.98	1.64	-1.32
OV34	-4.66	0.31	-1.56
OV35	-3.73	-0.11	-0.8
OV36	-2.66	1.05	-2.27
OV37	-4.68	1.14	-1.71
OV38	-2.27	-0.01	-1.93
OV39	-4.87	0.39	-2.54
OV40	-3.95	0.94	-1.63
OV41	-4.51	-0.03	0.15
OV42	-3.62	0.61	-0.45
OV43	-2.9	0.66	-0.3
OV44	-3.66	0.9	-2.46
OV45	-3.83	-0.43	0.41
OV46	-4.78	0.41	-2.88
OV47	-4.7	0.78	-0.26
OV48	-4.56	1.01	-1.24
OV49	-4.69	1.19	-1.75
OV50	-4.22	0.92	-0.45
OV51	-4.15	-0.65	-0.38
OV52	-4.49	1.6	-1.7
OV53	-4.53	0.75	-0.1
OV54	-4.32	-0.08	-0.79
OV55	-4.66	1.21	-0.73
OV56	-4.95	1.12	-1.09
OV57	-4.89	1.12	-0.52
OV58	-5.23	0.66	-2.33
OV59	-5.34	-0.1	-2.31
OV60	-4.7	0.09	-1.97
OV61	-4.23	-0.05	-0.48
OV62	-4.85	1.6	-1.74
OV63	-4.52	-0.37	-0.57
OV64	-5.21	0.43	-2.54
OV65	-5.35	0.36	-0.39
OV66	-5.58	0.32	-0.38
OV67	-3.84	1.81	-0.85
OV68	-4.48	0.41	-0.89
OV69	-5.71	1.27	-1.2
OV70	-5	1.66	1.91
OV71	-5.15	0.71	-1.05
OV72	-4.16	0.65	-0.26
OV73	-3.19	-0.01	-1.87
OV74	-3.48	1.05	-2.82
OV75	-3.47	0.52	-2.11
OV76	-3.53	-0.35	-0.87
OV77	-3.8	0.35	-2.59
OV78	-3.84	0.28	-2.61
OV79	-3.28	0.11	0.51
OV80	-2.39	-0.79	0.02
OV81	-3.36	-0.75	-1.22
OV82	-3.4	0.5	-1.93
OV83	-3.7	-0.63	0.68
OV84	-3.34	-2.75	-0.8
OV85	-3.36	-0.52	-2.49
OV86	-2.76	-0.34	-0.51
OV87	-3.5	0.71	-1.9
OV88	-3.41	0.82	-1.66
OV89	-3.91	0.24	-0.4
OV90	-3.62	0.88	-2.03
OV91	-3.67	0.84	-2.6
OV92	-3	-0.27	-1.7
OV93	-2.97	0.03	-1.63
OV94	-3.8	1.18	-2.01
OV95	-3.06	-0.02	-1.56
OV96	-3.17	0.38	-1.3
OV97	-3.53	-0.34	-0.73
OV98	-3.49	-0.4	-1.29
OV99	-3.33	1.27	-0.67
OV100	-3.95	1.22	-0.51
OV101	-2.08	-0.14	-1.58
OV102	-4.34	0.56	-0.92
OV103	-3.8	0.19	-1.77
OV104	-3.26	1.17	-1.09
OV105	-3.47	-0.23	-0.68
OV106	-3.57	0.07	-1.25
OV107	-3.94	1.27	-3.19
OV108	-3.36	0.4	-2.32
OV109	-3.5	-0.46	-1.42
OV110	-5.02	-2.72	0.38
OV111	-3.28	0.13	-1.17
OV112	-4.09	1.24	-1.32
OV113	-3.82	0.28	-2.2
OV114	-3.95	-0.11	-1.61
OV115	-3.08	-0.23	-2.62
OV116	-3.61	-0.44	0.22
OV117	-4.17	-0.39	-1.16
OV118	-3.66	0.73	-1.7
OV119	-3.33	0.63	-1.2
OV120	-4.13	-0.67	0.23
OV121	-3.47	-0.34	-2.17
OV122	-3.36	-0.07	-0.03
OV123	-3.59	-1.13	-0.9
OV124	-4.75	0.35	-0.26
OV125	-4.72	1.23	-1.87
OV126	-4.67	-0.45	-0.39
OV127	-5.96	-0.61	-1.81
OV128	-3.1	0.68	-0.49
OV129	-3.19	1.38	-2.81
OV130	-4.41	1.93	0.56
OV131	-3.99	1.28	-0.4
OV132	-4.42	-0.16	-1.97
OV133	-3.92	0.64	-2.16
OV134	-4.38	0.24	-0.45
OV135	-4.8	1.43	0.22
OV136	-4.09	0.83	-1.69
OV137	-3.83	0.85	0.16
OV138	-4.1	0.7	-1.5
OV139	-5.21	1.02	-1.55
OV140	-4.52	-0.4	-0.52
OV141	-4.41	-0.18	-0.65
OV142	-4.21	0.16	-0.12
OV143	-5.2	0.98	-1.9
OV144	-3.09	-0.7	-1.62
OV145	-4.77	0.84	-1.36
OV146	-4.91	1.06	-0.86
OV147	-4.5	0.12	-1.22
OV148	-4.4	-1.31	-0.74
OV149	-4.34	0.26	-0.98
OV150	-3.85	0.09	-1.04
OV151	-4.46	0.38	-1.54
OV152	-4.23	-0.58	-2.01
OV153	-4.12	1.11	-0.13
OV154	-5.03	0.97	-1.15
OV155	-5.24	-0.02	0.59
OV156	-4.01	0.43	0.07
OV157	-4.23	-1.26	-1.69
OV158	-4.42	-1.92	-1.53
OV159	-4.28	1.12	1.84
OV160	-2.76	0.24	-1.44
OV161	-4.56	1.36	0.24
OV162	-4.39	1.29	-0.79
OV163	-5.07	1.27	-0.68
OV164	-4.5	1.37	-1.28
OV165	-4.56	-0.99	-2.65
OV166	-4.41	0.48	-1.6
OV167	-4.72	0.35	-1.31
OV168	-4.7	0.17	0.29
OV169	-4.21	1.09	-1.79
OV170	-5.21	0.62	-1.78
OV171	-4.31	0.8	-1
