	Country	Date
R297	AFG	12/16/20
R298	AFG	12/17/20
R299	AFG	12/18/20
R300	AFG	12/19/20
R301	AFG	12/20/20
R302	AFG	12/21/20
R303	AFG	12/22/20
R304	AFG	12/23/20
R305	AFG	12/24/20
R306	AFG	12/25/20
R307	AFG	12/26/20
R308	AFG	12/27/20
R309	AFG	12/28/20
R310	AFG	12/29/20
R311	AFG	12/30/20
R312	AFG	12/31/20
R313	AFG	1/1/21
R314	AFG	1/2/21
R315	AFG	1/3/21
R316	AFG	1/4/21
R317	AFG	1/5/21
R318	AFG	1/6/21
R319	AFG	1/7/21
R320	AFG	1/8/21
R321	AFG	1/9/21
R322	AFG	1/10/21
R323	AFG	1/11/21
R324	AFG	1/12/21
R325	AFG	1/13/21
R326	AFG	1/14/21
R327	AFG	1/15/21
R328	AFG	1/16/21
R329	AFG	1/17/21
R330	AFG	1/18/21
R331	AFG	1/19/21
R332	AFG	1/20/21
R333	AFG	1/21/21
R334	AFG	1/22/21
R335	AFG	1/23/21
R336	AFG	1/24/21
R337	AFG	1/25/21
R338	AFG	1/26/21
R339	AFG	1/27/21
R340	AFG	1/28/21
R341	AFG	1/29/21
R342	AFG	1/30/21
R343	AFG	1/31/21
R344	AFG	2/1/21
R345	AFG	2/2/21
R346	AFG	2/3/21
R347	AFG	2/4/21
R348	AFG	2/5/21
R349	AFG	2/6/21
R350	AFG	2/7/21
R351	AFG	2/8/21
R352	AFG	2/9/21
R353	AFG	2/10/21
R354	AFG	2/11/21
R355	AFG	2/12/21
R356	AFG	2/13/21
R357	AFG	2/14/21
R358	AFG	2/15/21
R359	AFG	2/16/21
R360	AFG	2/17/21
R361	AFG	2/18/21
R362	AFG	2/19/21
R363	AFG	2/20/21
R364	AFG	2/21/21
R365	AFG	2/22/21
R366	AFG	2/23/21
R367	AFG	2/24/21
R368	AFG	2/25/21
R369	AFG	2/26/21
R370	AFG	2/27/21
R371	AFG	2/28/21
R372	AFG	3/1/21
R373	AFG	3/2/21
R374	AFG	3/3/21
R375	AFG	3/4/21
R376	AFG	3/5/21
R377	AFG	3/6/21
R378	ALB	2/25/20
R379	ALB	2/26/20
R380	ALB	2/27/20
R381	ALB	2/28/20
R382	ALB	2/29/20
R383	ALB	3/1/20
R384	ALB	3/2/20
R385	ALB	3/3/20
R386	ALB	3/4/20
R387	ALB	3/5/20
R388	ALB	3/6/20
R389	ALB	3/7/20
R390	ALB	3/8/20
R391	ALB	3/9/20
R392	ALB	3/10/20
R393	ALB	3/11/20
R394	ALB	3/12/20
R395	ALB	3/13/20
R396	ALB	3/14/20
R397	ALB	3/15/20
R398	ALB	3/16/20
R399	ALB	3/17/20
R400	ALB	3/18/20
R401	ALB	3/19/20
R402	ALB	3/20/20
R403	ALB	3/21/20
R404	ALB	3/22/20
R405	ALB	3/23/20
R406	ALB	3/24/20
R407	ALB	3/25/20
R408	ALB	3/26/20
R409	ALB	3/27/20
R410	ALB	3/28/20
R411	ALB	3/29/20
R412	ALB	3/30/20
R413	ALB	3/31/20
R414	ALB	4/1/20
R415	ALB	4/2/20
R416	ALB	4/3/20
R417	ALB	4/4/20
R418	ALB	4/5/20
R419	ALB	4/6/20
R420	ALB	4/7/20
R421	ALB	4/8/20
R422	ALB	4/9/20
R423	ALB	4/10/20
R424	ALB	4/11/20
R425	ALB	4/12/20
R426	ALB	4/13/20
R427	ALB	4/14/20
R428	ALB	4/15/20
R429	ALB	4/16/20
R430	ALB	4/17/20
R431	ALB	4/18/20
R432	ALB	4/19/20
R433	ALB	4/20/20
R434	ALB	4/21/20
R435	ALB	4/22/20
R436	ALB	4/23/20
R437	ALB	4/24/20
R438	ALB	4/25/20
R439	ALB	4/26/20
R440	ALB	4/27/20
R441	ALB	4/28/20
R442	ALB	4/29/20
R443	ALB	4/30/20
R444	ALB	5/1/20
R445	ALB	5/2/20
R446	ALB	5/3/20
R447	ALB	5/4/20
R448	ALB	5/5/20
R449	ALB	5/6/20
R450	ALB	5/7/20
R451	ALB	5/8/20
R452	ALB	5/9/20
R453	ALB	5/10/20
R454	ALB	5/11/20
R455	ALB	5/12/20
R456	ALB	5/13/20
R457	ALB	5/14/20
R458	ALB	5/15/20
R459	ALB	5/16/20
R460	ALB	5/17/20
R461	ALB	5/18/20
R462	ALB	5/19/20
R463	ALB	5/20/20
R464	ALB	5/21/20
R465	ALB	5/22/20
R466	ALB	5/23/20
R467	ALB	5/24/20
R468	ALB	5/25/20
R469	ALB	5/26/20
R470	ALB	5/27/20
R471	ALB	5/28/20
R472	ALB	5/29/20
R473	ALB	5/30/20
R474	ALB	5/31/20
R475	ALB	6/1/20
R476	ALB	6/2/20
R477	ALB	6/3/20
R478	ALB	6/4/20
R479	ALB	6/5/20
R480	ALB	6/6/20
R481	ALB	6/7/20
R482	ALB	6/8/20
R483	ALB	6/9/20
R484	ALB	6/10/20
R485	ALB	6/11/20
R486	ALB	6/12/20
R487	ALB	6/13/20
R488	ALB	6/14/20
R489	ALB	6/15/20
R490	ALB	6/16/20
R491	ALB	6/17/20
R492	ALB	6/18/20
R493	ALB	6/19/20
R494	ALB	6/20/20
R495	ALB	6/21/20
R496	ALB	6/22/20
R497	ALB	6/23/20
R498	ALB	6/24/20
R499	ALB	6/25/20
R500	ALB	6/26/20
R501	ALB	6/27/20
R502	ALB	6/28/20
R503	ALB	6/29/20
R504	ALB	6/30/20
R505	ALB	7/1/20
R506	ALB	7/2/20
R507	ALB	7/3/20
R508	ALB	7/4/20
R509	ALB	7/5/20
R510	ALB	7/6/20
R511	ALB	7/7/20
R512	ALB	7/8/20
R513	ALB	7/9/20
R514	ALB	7/10/20
R515	ALB	7/11/20
R516	ALB	7/12/20
R517	ALB	7/13/20
R518	ALB	7/14/20
R519	ALB	7/15/20
R520	ALB	7/16/20
R521	ALB	7/17/20
R522	ALB	7/18/20
R523	ALB	7/19/20
R524	ALB	7/20/20
R525	ALB	7/21/20
R526	ALB	7/22/20
R527	ALB	7/23/20
R528	ALB	7/24/20
R529	ALB	7/25/20
R530	ALB	7/26/20
R531	ALB	7/27/20
R532	ALB	7/28/20
R533	ALB	7/29/20
R534	ALB	7/30/20
R535	ALB	7/31/20
R536	ALB	8/1/20
R537	ALB	8/2/20
R538	ALB	8/3/20
R539	ALB	8/4/20
R540	ALB	8/5/20
R541	ALB	8/6/20
R542	ALB	8/7/20
R543	ALB	8/8/20
R544	ALB	8/9/20
R545	ALB	8/10/20
R546	ALB	8/11/20
R547	ALB	8/12/20
R548	ALB	8/13/20
R549	ALB	8/14/20
R550	ALB	8/15/20
R551	ALB	8/16/20
R552	ALB	8/17/20
R553	ALB	8/18/20
R554	ALB	8/19/20
R555	ALB	8/20/20
R556	ALB	8/21/20
R557	ALB	8/22/20
R558	ALB	8/23/20
R559	ALB	8/24/20
R560	ALB	8/25/20
R561	ALB	8/26/20
R562	ALB	8/27/20
R563	ALB	8/28/20
R564	ALB	8/29/20
R565	ALB	8/30/20
R566	ALB	8/31/20
R567	ALB	9/1/20
R568	ALB	9/2/20
R569	ALB	9/3/20
R570	ALB	9/4/20
R571	ALB	9/5/20
R572	ALB	9/6/20
R573	ALB	9/7/20
R574	ALB	9/8/20
R575	ALB	9/9/20
R576	ALB	9/10/20
R577	ALB	9/11/20
R578	ALB	9/12/20
R579	ALB	9/13/20
R580	ALB	9/14/20
R581	ALB	9/15/20
R582	ALB	9/16/20
R583	ALB	9/17/20
R584	ALB	9/18/20
R585	ALB	9/19/20
R586	ALB	9/20/20
R587	ALB	9/21/20
R588	ALB	9/22/20
R589	ALB	9/23/20
R590	ALB	9/24/20
R591	ALB	9/25/20
R592	ALB	9/26/20
R593	ALB	9/27/20
R594	ALB	9/28/20
R595	ALB	9/29/20
R596	ALB	9/30/20
R597	ALB	10/1/20
R598	ALB	10/2/20
R599	ALB	10/3/20
R600	ALB	10/4/20
R601	ALB	10/5/20
R602	ALB	10/6/20
R603	ALB	10/7/20
R604	ALB	10/8/20
R605	ALB	10/9/20
R606	ALB	10/10/20
R607	ALB	10/11/20
R608	ALB	10/12/20
R609	ALB	10/13/20
R610	ALB	10/14/20
R611	ALB	10/15/20
R612	ALB	10/16/20
R613	ALB	10/17/20
R614	ALB	10/18/20
R615	ALB	10/19/20
R616	ALB	10/20/20
R617	ALB	10/21/20
R618	ALB	10/22/20
R619	ALB	10/23/20
R620	ALB	10/24/20
R621	ALB	10/25/20
R622	ALB	10/26/20
R623	ALB	10/27/20
R624	ALB	10/28/20
R625	ALB	10/29/20
R626	ALB	10/30/20
R627	ALB	10/31/20
R628	ALB	11/1/20
R629	ALB	11/2/20
R630	ALB	11/3/20
R631	ALB	11/4/20
R632	ALB	11/5/20
R633	ALB	11/6/20
R634	ALB	11/7/20
R635	ALB	11/8/20
R636	ALB	11/9/20
R637	ALB	11/10/20
R638	ALB	11/11/20
R639	ALB	11/12/20
R640	ALB	11/13/20
R641	ALB	11/14/20
R642	ALB	11/15/20
R643	ALB	11/16/20
R644	ALB	11/17/20
R645	ALB	11/18/20
R646	ALB	11/19/20
R647	ALB	11/20/20
R648	ALB	11/21/20
R649	ALB	11/22/20
R650	ALB	11/23/20
R651	ALB	11/24/20
R652	ALB	11/25/20
R653	ALB	11/26/20
R654	ALB	11/27/20
R655	ALB	11/28/20
R656	ALB	11/29/20
R657	ALB	11/30/20
R658	ALB	12/1/20
R659	ALB	12/2/20
R660	ALB	12/3/20
R661	ALB	12/4/20
R662	ALB	12/5/20
R663	ALB	12/6/20
R664	ALB	12/7/20
R665	ALB	12/8/20
R666	ALB	12/9/20
R667	ALB	12/10/20
R668	ALB	12/11/20
R669	ALB	12/12/20
R670	ALB	12/13/20
R671	ALB	12/14/20
R672	ALB	12/15/20
R673	ALB	12/16/20
R674	ALB	12/17/20
R675	ALB	12/18/20
R676	ALB	12/19/20
R677	ALB	12/20/20
R678	ALB	12/21/20
R679	ALB	12/22/20
R680	ALB	12/23/20
R681	ALB	12/24/20
R682	ALB	12/25/20
R683	ALB	12/26/20
R684	ALB	12/27/20
R685	ALB	12/28/20
R686	ALB	12/29/20
R687	ALB	12/30/20
R688	ALB	12/31/20
R689	ALB	1/1/21
R690	ALB	1/2/21
R691	ALB	1/3/21
R692	ALB	1/4/21
R693	ALB	1/5/21
R694	ALB	1/6/21
R695	ALB	1/7/21
R696	ALB	1/8/21
R697	ALB	1/9/21
R698	ALB	1/10/21
R699	ALB	1/11/21
R700	ALB	1/12/21
R701	ALB	1/13/21
R702	ALB	1/14/21
R703	ALB	1/15/21
R704	ALB	1/16/21
R705	ALB	1/17/21
R706	ALB	1/18/21
R707	ALB	1/19/21
R708	ALB	1/20/21
R709	ALB	1/21/21
R710	ALB	1/22/21
R711	ALB	1/23/21
R712	ALB	1/24/21
R713	ALB	1/25/21
R714	ALB	1/26/21
R715	ALB	1/27/21
R716	ALB	1/28/21
R717	ALB	1/29/21
R718	ALB	1/30/21
R719	ALB	1/31/21
R720	ALB	2/1/21
R721	ALB	2/2/21
R722	ALB	2/3/21
R723	ALB	2/4/21
R724	ALB	2/5/21
R725	ALB	2/6/21
R726	ALB	2/7/21
R727	ALB	2/8/21
R728	ALB	2/9/21
R729	ALB	2/10/21
R730	ALB	2/11/21
R731	ALB	2/12/21
R732	ALB	2/13/21
R733	ALB	2/14/21
R734	ALB	2/15/21
R735	ALB	2/16/21
R736	ALB	2/17/21
R737	ALB	2/18/21
R738	ALB	2/19/21
R739	ALB	2/20/21
R740	ALB	2/21/21
R741	ALB	2/22/21
R742	ALB	2/23/21
R743	ALB	2/24/21
R744	ALB	2/25/21
R745	ALB	2/26/21
R746	ALB	2/27/21
R747	ALB	2/28/21
R748	ALB	3/1/21
R749	ALB	3/2/21
R750	ALB	3/3/21
R751	ALB	3/4/21
R752	ALB	3/5/21
R753	ALB	3/6/21
R754	DZA	2/25/20
R755	DZA	2/26/20
R756	DZA	2/27/20
R757	DZA	2/28/20
R758	DZA	2/29/20
R759	DZA	3/1/20
R760	DZA	3/2/20
R761	DZA	3/3/20
R762	DZA	3/4/20
R763	DZA	3/5/20
R764	DZA	3/6/20
R765	DZA	3/7/20
R766	DZA	3/8/20
R767	DZA	3/9/20
R768	DZA	3/10/20
R769	DZA	3/11/20
R770	DZA	3/12/20
R771	DZA	3/13/20
R772	DZA	3/14/20
R773	DZA	3/15/20
R774	DZA	3/16/20
R775	DZA	3/17/20
R776	DZA	3/18/20
R777	DZA	3/19/20
R778	DZA	3/20/20
R779	DZA	3/21/20
R780	DZA	3/22/20
R781	DZA	3/23/20
R782	DZA	3/24/20
R783	DZA	3/25/20
R784	DZA	3/26/20
R785	DZA	3/27/20
R786	DZA	3/28/20
R787	DZA	3/29/20
R788	DZA	3/30/20
R789	DZA	3/31/20
R790	DZA	4/1/20
R791	DZA	4/2/20
R792	DZA	4/3/20
R793	DZA	4/4/20
R794	DZA	4/5/20
R795	DZA	4/6/20
R796	DZA	4/7/20
R797	DZA	4/8/20
R798	DZA	4/9/20
R799	DZA	4/10/20
R800	DZA	4/11/20
R801	DZA	4/12/20
R802	DZA	4/13/20
R803	DZA	4/14/20
R804	DZA	4/15/20
R805	DZA	4/16/20
R806	DZA	4/17/20
R807	DZA	4/18/20
R808	DZA	4/19/20
R809	DZA	4/20/20
R810	DZA	4/21/20
R811	DZA	4/22/20
R812	DZA	4/23/20
R813	DZA	4/24/20
R814	DZA	4/25/20
R815	DZA	4/26/20
R816	DZA	4/27/20
R817	DZA	4/28/20
R818	DZA	4/29/20
R819	DZA	4/30/20
R820	DZA	5/1/20
R821	DZA	5/2/20
R822	DZA	5/3/20
R823	DZA	5/4/20
R824	DZA	5/5/20
R825	DZA	5/6/20
R826	DZA	5/7/20
R827	DZA	5/8/20
R828	DZA	5/9/20
R829	DZA	5/10/20
R830	DZA	5/11/20
R831	DZA	5/12/20
R832	DZA	5/13/20
R833	DZA	5/14/20
R834	DZA	5/15/20
R835	DZA	5/16/20
R836	DZA	5/17/20
R837	DZA	5/18/20
R838	DZA	5/19/20
R839	DZA	5/20/20
R840	DZA	5/21/20
R841	DZA	5/22/20
R842	DZA	5/23/20
R843	DZA	5/24/20
R844	DZA	5/25/20
R845	DZA	5/26/20
R846	DZA	5/27/20
R847	DZA	5/28/20
R848	DZA	5/29/20
R849	DZA	5/30/20
R850	DZA	5/31/20
R851	DZA	6/1/20
R852	DZA	6/2/20
R853	DZA	6/3/20
R854	DZA	6/4/20
R855	DZA	6/5/20
R856	DZA	6/6/20
R857	DZA	6/7/20
R858	DZA	6/8/20
R859	DZA	6/9/20
R860	DZA	6/10/20
R861	DZA	6/11/20
R862	DZA	6/12/20
R863	DZA	6/13/20
R864	DZA	6/14/20
R865	DZA	6/15/20
R866	DZA	6/16/20
R867	DZA	6/17/20
R868	DZA	6/18/20
R869	DZA	6/19/20
R870	DZA	6/20/20
R871	DZA	6/21/20
R872	DZA	6/22/20
R873	DZA	6/23/20
R874	DZA	6/24/20
R875	DZA	6/25/20
R876	DZA	6/26/20
R877	DZA	6/27/20
R878	DZA	6/28/20
R879	DZA	6/29/20
R880	DZA	6/30/20
R881	DZA	7/1/20
R882	DZA	7/2/20
R883	DZA	7/3/20
R884	DZA	7/4/20
R885	DZA	7/5/20
R886	DZA	7/6/20
R887	DZA	7/7/20
R888	DZA	7/8/20
R889	DZA	7/9/20
R890	DZA	7/10/20
R891	DZA	7/11/20
R892	DZA	7/12/20
R893	DZA	7/13/20
R894	DZA	7/14/20
R895	DZA	7/15/20
R896	DZA	7/16/20
R897	DZA	7/17/20
R898	DZA	7/18/20
R899	DZA	7/19/20
R900	DZA	7/20/20
R901	DZA	7/21/20
R902	DZA	7/22/20
R903	DZA	7/23/20
R904	DZA	7/24/20
R905	DZA	7/25/20
R906	DZA	7/26/20
R907	DZA	7/27/20
R908	DZA	7/28/20
R909	DZA	7/29/20
R910	DZA	7/30/20
R911	DZA	7/31/20
R912	DZA	8/1/20
R913	DZA	8/2/20
R914	DZA	8/3/20
R915	DZA	8/4/20
R916	DZA	8/5/20
R917	DZA	8/6/20
R918	DZA	8/7/20
R919	DZA	8/8/20
R920	DZA	8/9/20
R921	DZA	8/10/20
R922	DZA	8/11/20
R923	DZA	8/12/20
R924	DZA	8/13/20
R925	DZA	8/14/20
R926	DZA	8/15/20
R927	DZA	8/16/20
R928	DZA	8/17/20
R929	DZA	8/18/20
R930	DZA	8/19/20
R931	DZA	8/20/20
R932	DZA	8/21/20
R933	DZA	8/22/20
R934	DZA	8/23/20
R935	DZA	8/24/20
R936	DZA	8/25/20
R937	DZA	8/26/20
R938	DZA	8/27/20
R939	DZA	8/28/20
R940	DZA	8/29/20
R941	DZA	8/30/20
R942	DZA	8/31/20
R943	DZA	9/1/20
R944	DZA	9/2/20
R945	DZA	9/3/20
R946	DZA	9/4/20
R947	DZA	9/5/20
R948	DZA	9/6/20
R949	DZA	9/7/20
R950	DZA	9/8/20
R951	DZA	9/9/20
R952	DZA	9/10/20
R953	DZA	9/11/20
R954	DZA	9/12/20
R955	DZA	9/13/20
R956	DZA	9/14/20
R957	DZA	9/15/20
R958	DZA	9/16/20
R959	DZA	9/17/20
R960	DZA	9/18/20
R961	DZA	9/19/20
R962	DZA	9/20/20
R963	DZA	9/21/20
R964	DZA	9/22/20
R965	DZA	9/23/20
R966	DZA	9/24/20
R967	DZA	9/25/20
R968	DZA	9/26/20
R969	DZA	9/27/20
R970	DZA	9/28/20
R971	DZA	9/29/20
R972	DZA	9/30/20
R973	DZA	10/1/20
R974	DZA	10/2/20
R975	DZA	10/3/20
R976	DZA	10/4/20
R977	DZA	10/5/20
R978	DZA	10/6/20
R979	DZA	10/7/20
R980	DZA	10/8/20
R981	DZA	10/9/20
R982	DZA	10/10/20
R983	DZA	10/11/20
R984	DZA	10/12/20
R985	DZA	10/13/20
R986	DZA	10/14/20
R987	DZA	10/15/20
R988	DZA	10/16/20
R989	DZA	10/17/20
R990	DZA	10/18/20
R991	DZA	10/19/20
R992	DZA	10/20/20
R993	DZA	10/21/20
R994	DZA	10/22/20
R995	DZA	10/23/20
R996	DZA	10/24/20
R997	DZA	10/25/20
R998	DZA	10/26/20
R999	DZA	10/27/20
R1000	DZA	10/28/20
R1001	DZA	10/29/20
R1002	DZA	10/30/20
R1003	DZA	10/31/20
R1004	DZA	11/1/20
R1005	DZA	11/2/20
R1006	DZA	11/3/20
R1007	DZA	11/4/20
R1008	DZA	11/5/20
R1009	DZA	11/6/20
R1010	DZA	11/7/20
R1011	DZA	11/8/20
R1012	DZA	11/9/20
R1013	DZA	11/10/20
R1014	DZA	11/11/20
R1015	DZA	11/12/20
R1016	DZA	11/13/20
R1017	DZA	11/14/20
R1018	DZA	11/15/20
R1019	DZA	11/16/20
R1020	DZA	11/17/20
R1021	DZA	11/18/20
R1022	DZA	11/19/20
R1023	DZA	11/20/20
R1024	DZA	11/21/20
R1025	DZA	11/22/20
R1026	DZA	11/23/20
R1027	DZA	11/24/20
R1028	DZA	11/25/20
R1029	DZA	11/26/20
R1030	DZA	11/27/20
R1031	DZA	11/28/20
R1032	DZA	11/29/20
R1033	DZA	11/30/20
R1034	DZA	12/1/20
R1035	DZA	12/2/20
R1036	DZA	12/3/20
R1037	DZA	12/4/20
R1038	DZA	12/5/20
R1039	DZA	12/6/20
R1040	DZA	12/7/20
R1041	DZA	12/8/20
R1042	DZA	12/9/20
R1043	DZA	12/10/20
R1044	DZA	12/11/20
R1045	DZA	12/12/20
R1046	DZA	12/13/20
R1047	DZA	12/14/20
R1048	DZA	12/15/20
R1049	DZA	12/16/20
R1050	DZA	12/17/20
R1051	DZA	12/18/20
R1052	DZA	12/19/20
R1053	DZA	12/20/20
R1054	DZA	12/21/20
R1055	DZA	12/22/20
R1056	DZA	12/23/20
R1057	DZA	12/24/20
R1058	DZA	12/25/20
R1059	DZA	12/26/20
R1060	DZA	12/27/20
R1061	DZA	12/28/20
R1062	DZA	12/29/20
R1063	DZA	12/30/20
R1064	DZA	12/31/20
R1065	DZA	1/1/21
R1066	DZA	1/2/21
R1067	DZA	1/3/21
R1068	DZA	1/4/21
R1069	DZA	1/5/21
R1070	DZA	1/6/21
