	dataset
BRCA289	BRCA
BRCA290	BRCA
BRCA291	BRCA
BRCA292	BRCA
BRCA293	BRCA
BRCA294	BRCA
BRCA295	BRCA
BRCA296	BRCA
BRCA297	BRCA
BRCA298	BRCA
BRCA299	BRCA
BRCA300	BRCA
BRCA301	BRCA
BRCA302	BRCA
BRCA303	BRCA
BRCA304	BRCA
BRCA305	BRCA
BRCA306	BRCA
BRCA307	BRCA
BRCA308	BRCA
BRCA309	BRCA
BRCA310	BRCA
BRCA311	BRCA
BRCA312	BRCA
BRCA313	BRCA
BRCA314	BRCA
BRCA315	BRCA
BRCA316	BRCA
BRCA317	BRCA
BRCA318	BRCA
BRCA319	BRCA
BRCA320	BRCA
BRCA321	BRCA
BRCA322	BRCA
BRCA323	BRCA
BRCA324	BRCA
BRCA325	BRCA
BRCA326	BRCA
BRCA327	BRCA
BRCA328	BRCA
BRCA329	BRCA
BRCA330	BRCA
BRCA331	BRCA
BRCA332	BRCA
BRCA333	BRCA
BRCA334	BRCA
BRCA335	BRCA
BRCA336	BRCA
BRCA337	BRCA
BRCA338	BRCA
BRCA339	BRCA
BRCA340	BRCA
BRCA341	BRCA
BRCA342	BRCA
BRCA343	BRCA
BRCA344	BRCA
BRCA345	BRCA
BRCA346	BRCA
BRCA347	BRCA
BRCA348	BRCA
BRCA349	BRCA
BRCA350	BRCA
BRCA351	BRCA
BRCA352	BRCA
BRCA353	BRCA
BRCA354	BRCA
BRCA355	BRCA
BRCA356	BRCA
BRCA357	BRCA
BRCA358	BRCA
BRCA359	BRCA
BRCA360	BRCA
BRCA361	BRCA
BRCA362	BRCA
BRCA363	BRCA
BRCA364	BRCA
BRCA365	BRCA
BRCA366	BRCA
BRCA367	BRCA
BRCA368	BRCA
BRCA369	BRCA
BRCA370	BRCA
BRCA371	BRCA
BRCA372	BRCA
BRCA373	BRCA
BRCA374	BRCA
BRCA375	BRCA
BRCA376	BRCA
BRCA377	BRCA
BRCA378	BRCA
BRCA379	BRCA
BRCA380	BRCA
BRCA381	BRCA
BRCA382	BRCA
BRCA383	BRCA
BRCA384	BRCA
BRCA385	BRCA
BRCA386	BRCA
BRCA387	BRCA
BRCA388	BRCA
BRCA389	BRCA
BRCA390	BRCA
BRCA391	BRCA
BRCA392	BRCA
BRCA393	BRCA
BRCA394	BRCA
BRCA395	BRCA
BRCA396	BRCA
BRCA397	BRCA
BRCA398	BRCA
BRCA399	BRCA
BRCA400	BRCA
BRCA401	BRCA
BRCA402	BRCA
BRCA403	BRCA
BRCA404	BRCA
BRCA405	BRCA
BRCA406	BRCA
BRCA407	BRCA
BRCA408	BRCA
BRCA409	BRCA
BRCA410	BRCA
BRCA411	BRCA
BRCA412	BRCA
BRCA413	BRCA
BRCA414	BRCA
BRCA415	BRCA
BRCA416	BRCA
BRCA417	BRCA
BRCA418	BRCA
BRCA419	BRCA
BRCA420	BRCA
BRCA421	BRCA
BRCA422	BRCA
BRCA423	BRCA
BRCA424	BRCA
BRCA425	BRCA
BRCA426	BRCA
BRCA427	BRCA
BRCA428	BRCA
BRCA429	BRCA
BRCA430	BRCA
BRCA431	BRCA
BRCA432	BRCA
BRCA433	BRCA
BRCA434	BRCA
BRCA435	BRCA
BRCA436	BRCA
BRCA437	BRCA
BRCA438	BRCA
BRCA439	BRCA
BRCA440	BRCA
BRCA441	BRCA
BRCA442	BRCA
BRCA443	BRCA
BRCA444	BRCA
BRCA445	BRCA
BRCA446	BRCA
BRCA447	BRCA
BRCA448	BRCA
BRCA449	BRCA
BRCA450	BRCA
BRCA451	BRCA
BRCA452	BRCA
BRCA453	BRCA
BRCA454	BRCA
BRCA455	BRCA
BRCA456	BRCA
BRCA457	BRCA
BRCA458	BRCA
BRCA459	BRCA
BRCA460	BRCA
BRCA461	BRCA
BRCA462	BRCA
BRCA463	BRCA
BRCA464	BRCA
BRCA465	BRCA
BRCA466	BRCA
BRCA467	BRCA
BRCA468	BRCA
BRCA469	BRCA
BRCA470	BRCA
BRCA471	BRCA
BRCA472	BRCA
BRCA473	BRCA
BRCA474	BRCA
BRCA475	BRCA
BRCA476	BRCA
BRCA477	BRCA
BRCA478	BRCA
BRCA479	BRCA
BRCA480	BRCA
BRCA481	BRCA
BRCA482	BRCA
BRCA483	BRCA
BRCA484	BRCA
BRCA485	BRCA
BRCA486	BRCA
BRCA487	BRCA
BRCA488	BRCA
BRCA489	BRCA
BRCA490	BRCA
BRCA491	BRCA
BRCA492	BRCA
BRCA493	BRCA
BRCA494	BRCA
BRCA495	BRCA
BRCA496	BRCA
BRCA497	BRCA
BRCA498	BRCA
BRCA499	BRCA
BRCA500	BRCA
BRCA501	BRCA
BRCA502	BRCA
BRCA503	BRCA
BRCA504	BRCA
BRCA505	BRCA
BRCA506	BRCA
BRCA507	BRCA
BRCA508	BRCA
BRCA509	BRCA
BRCA510	BRCA
BRCA511	BRCA
BRCA512	BRCA
BRCA513	BRCA
BRCA514	BRCA
BRCA515	BRCA
BRCA516	BRCA
BRCA517	BRCA
BRCA518	BRCA
BRCA519	BRCA
BRCA520	BRCA
BRCA521	BRCA
BRCA522	BRCA
BRCA523	BRCA
BRCA524	BRCA
BRCA525	BRCA
BRCA526	BRCA
BRCA527	BRCA
BRCA528	BRCA
BRCA529	BRCA
BRCA530	BRCA
BRCA531	BRCA
BRCA532	BRCA
BRCA533	BRCA
BRCA534	BRCA
BRCA535	BRCA
BRCA536	BRCA
BRCA537	BRCA
BRCA538	BRCA
BRCA539	BRCA
BRCA540	BRCA
BRCA541	BRCA
BRCA542	BRCA
BRCA543	BRCA
BRCA544	BRCA
BRCA545	BRCA
BRCA546	BRCA
BRCA547	BRCA
BRCA548	BRCA
BRCA549	BRCA
BRCA550	BRCA
BRCA551	BRCA
BRCA552	BRCA
BRCA553	BRCA
BRCA554	BRCA
BRCA555	BRCA
BRCA556	BRCA
BRCA557	BRCA
BRCA558	BRCA
BRCA559	BRCA
BRCA560	BRCA
BRCA561	BRCA
BRCA562	BRCA
BRCA563	BRCA
BRCA564	BRCA
BRCA565	BRCA
BRCA566	BRCA
BRCA567	BRCA
BRCA568	BRCA
BRCA569	BRCA
BRCA570	BRCA
BRCA571	BRCA
BRCA572	BRCA
BRCA573	BRCA
BRCA574	BRCA
BRCA575	BRCA
BRCA576	BRCA
BRCA577	BRCA
BRCA578	BRCA
BRCA579	BRCA
BRCA580	BRCA
BRCA581	BRCA
BRCA582	BRCA
BRCA583	BRCA
BRCA584	BRCA
BRCA585	BRCA
BRCA586	BRCA
BRCA587	BRCA
BRCA588	BRCA
BRCA589	BRCA
BRCA590	BRCA
OV1	OV
OV2	OV
OV3	OV
OV4	OV
OV5	OV
OV6	OV
OV7	OV
OV8	OV
OV9	OV
OV10	OV
OV11	OV
OV12	OV
OV13	OV
OV14	OV
OV15	OV
OV16	OV
OV17	OV
OV18	OV
OV19	OV
OV20	OV
OV21	OV
OV22	OV
OV23	OV
OV24	OV
OV25	OV
OV26	OV
OV27	OV
OV28	OV
OV29	OV
OV30	OV
OV31	OV
OV32	OV
OV33	OV
OV34	OV
OV35	OV
OV36	OV
OV37	OV
OV38	OV
OV39	OV
OV40	OV
OV41	OV
OV42	OV
OV43	OV
OV44	OV
OV45	OV
OV46	OV
OV47	OV
OV48	OV
OV49	OV
OV50	OV
OV51	OV
OV52	OV
OV53	OV
OV54	OV
OV55	OV
OV56	OV
OV57	OV
OV58	OV
OV59	OV
OV60	OV
OV61	OV
OV62	OV
OV63	OV
OV64	OV
OV65	OV
OV66	OV
OV67	OV
OV68	OV
OV69	OV
OV70	OV
OV71	OV
OV72	OV
OV73	OV
OV74	OV
OV75	OV
OV76	OV
OV77	OV
OV78	OV
OV79	OV
OV80	OV
OV81	OV
OV82	OV
OV83	OV
OV84	OV
OV85	OV
OV86	OV
OV87	OV
OV88	OV
OV89	OV
OV90	OV
OV91	OV
OV92	OV
OV93	OV
OV94	OV
OV95	OV
OV96	OV
OV97	OV
OV98	OV
OV99	OV
OV100	OV
OV101	OV
OV102	OV
OV103	OV
OV104	OV
OV105	OV
OV106	OV
OV107	OV
OV108	OV
OV109	OV
OV110	OV
OV111	OV
OV112	OV
OV113	OV
OV114	OV
OV115	OV
OV116	OV
OV117	OV
OV118	OV
OV119	OV
OV120	OV
OV121	OV
OV122	OV
OV123	OV
OV124	OV
OV125	OV
OV126	OV
OV127	OV
OV128	OV
OV129	OV
OV130	OV
OV131	OV
OV132	OV
OV133	OV
OV134	OV
OV135	OV
OV136	OV
OV137	OV
OV138	OV
OV139	OV
OV140	OV
OV141	OV
OV142	OV
OV143	OV
OV144	OV
OV145	OV
OV146	OV
OV147	OV
OV148	OV
OV149	OV
OV150	OV
OV151	OV
OV152	OV
OV153	OV
OV154	OV
OV155	OV
OV156	OV
OV157	OV
OV158	OV
OV159	OV
OV160	OV
OV161	OV
OV162	OV
OV163	OV
OV164	OV
OV165	OV
OV166	OV
OV167	OV
OV168	OV
OV169	OV
OV170	OV
OV171	OV
OV172	OV
OV173	OV
OV174	OV
OV175	OV
OV176	OV
OV177	OV
OV178	OV
OV179	OV
OV180	OV
OV181	OV
OV182	OV
OV183	OV
OV184	OV
OV185	OV
OV186	OV
OV187	OV
OV188	OV
OV189	OV
OV190	OV
OV191	OV
OV192	OV
OV193	OV
OV194	OV
OV195	OV
OV196	OV
OV197	OV
OV198	OV
OV199	OV
OV200	OV
OV201	OV
OV202	OV
OV203	OV
OV204	OV
OV205	OV
OV206	OV
OV207	OV
OV208	OV
OV209	OV
OV210	OV
OV211	OV
OV212	OV
OV213	OV
OV214	OV
OV215	OV
OV216	OV
OV217	OV
OV218	OV
OV219	OV
OV220	OV
OV221	OV
OV222	OV
OV223	OV
OV224	OV
OV225	OV
OV226	OV
OV227	OV
OV228	OV
OV229	OV
OV230	OV
OV231	OV
OV232	OV
OV233	OV
OV234	OV
OV235	OV
OV236	OV
OV237	OV
OV238	OV
OV239	OV
OV240	OV
OV241	OV
OV242	OV
OV243	OV
OV244	OV
OV245	OV
OV246	OV
OV247	OV
OV248	OV
OV249	OV
OV250	OV
OV251	OV
OV252	OV
OV253	OV
OV254	OV
OV255	OV
OV256	OV
OV257	OV
OV258	OV
OV259	OV
OV260	OV
OV261	OV
OV262	OV
OV263	OV
OV264	OV
OV265	OV
OV266	OV
OV267	OV
OV268	OV
OV269	OV
OV270	OV
OV271	OV
OV272	OV
OV273	OV
OV274	OV
OV275	OV
OV276	OV
OV277	OV
OV278	OV
OV279	OV
OV280	OV
OV281	OV
OV282	OV
OV283	OV
OV284	OV
OV285	OV
OV286	OV
OV287	OV
OV288	OV
OV289	OV
OV290	OV
OV291	OV
OV292	OV
OV293	OV
OV294	OV
OV295	OV
OV296	OV
OV297	OV
OV298	OV
OV299	OV
OV300	OV
OV301	OV
OV302	OV
OV303	OV
OV304	OV
OV305	OV
OV306	OV
OV307	OV
OV308	OV
OV309	OV
OV310	OV
OV311	OV
OV312	OV
OV313	OV
OV314	OV
OV315	OV
OV316	OV
OV317	OV
OV318	OV
OV319	OV
OV320	OV
OV321	OV
OV322	OV
OV323	OV
OV324	OV
OV325	OV
OV326	OV
OV327	OV
OV328	OV
OV329	OV
OV330	OV
OV331	OV
OV332	OV
OV333	OV
OV334	OV
OV335	OV
OV336	OV
OV337	OV
OV338	OV
OV339	OV
OV340	OV
OV341	OV
OV342	OV
OV343	OV
OV344	OV
OV345	OV
OV346	OV
OV347	OV
OV348	OV
OV349	OV
OV350	OV
OV351	OV
OV352	OV
OV353	OV
OV354	OV
OV355	OV
OV356	OV
OV357	OV
OV358	OV
OV359	OV
OV360	OV
OV361	OV
OV362	OV
OV363	OV
OV364	OV
OV365	OV
OV366	OV
OV367	OV
OV368	OV
OV369	OV
OV370	OV
OV371	OV
OV372	OV
OV373	OV
OV374	OV
OV375	OV
OV376	OV
OV377	OV
OV378	OV
OV379	OV
OV380	OV
OV381	OV
OV382	OV
OV383	OV
OV384	OV
OV385	OV
OV386	OV
OV387	OV
OV388	OV
OV389	OV
OV390	OV
OV391	OV
OV392	OV
OV393	OV
OV394	OV
OV395	OV
OV396	OV
OV397	OV
OV398	OV
OV399	OV
OV400	OV
OV401	OV
OV402	OV
OV403	OV
OV404	OV
OV405	OV
OV406	OV
OV407	OV
OV408	OV
OV409	OV
OV410	OV
OV411	OV
OV412	OV
OV413	OV
OV414	OV
OV415	OV
OV416	OV
OV417	OV
OV418	OV
OV419	OV
OV420	OV
OV421	OV
OV422	OV
OV423	OV
OV424	OV
OV425	OV
OV426	OV
OV427	OV
OV428	OV
OV429	OV
OV430	OV
OV431	OV
OV432	OV
OV433	OV
OV434	OV
OV435	OV
OV436	OV
OV437	OV
OV438	OV
OV439	OV
OV440	OV
OV441	OV
OV442	OV
OV443	OV
OV444	OV
OV445	OV
OV446	OV
OV447	OV
OV448	OV
OV449	OV
OV450	OV
OV451	OV
OV452	OV
OV453	OV
OV454	OV
OV455	OV
OV456	OV
OV457	OV
OV458	OV
OV459	OV
OV460	OV
OV461	OV
OV462	OV
OV463	OV
OV464	OV
OV465	OV
OV466	OV
OV467	OV
OV468	OV
OV469	OV
OV470	OV
OV471	OV
OV472	OV
OV473	OV
OV474	OV
OV475	OV
OV476	OV
OV477	OV
OV478	OV
OV479	OV
OV480	OV
OV481	OV
OV482	OV
OV483	OV
OV484	OV
OV485	OV
OV486	OV
OV487	OV
OV488	OV
OV489	OV
OV490	OV
OV491	OV
OV492	OV
OV493	OV
OV494	OV
OV495	OV
OV496	OV
OV497	OV
OV498	OV
OV499	OV
OV500	OV
OV501	OV
OV502	OV
OV503	OV
OV504	OV
OV505	OV
OV506	OV
OV507	OV
OV508	OV
OV509	OV
OV510	OV
OV511	OV
OV512	OV
OV513	OV
OV514	OV
OV515	OV
OV516	OV
OV517	OV
OV518	OV
OV519	OV
OV520	OV
OV521	OV
OV522	OV
OV523	OV
OV524	OV
OV525	OV
OV526	OV
OV527	OV
OV528	OV
OV529	OV
OV530	OV
OV531	OV
OV532	OV
OV533	OV
OV534	OV
OV535	OV
OV536	OV
OV537	OV
OV538	OV
OV539	OV
OV540	OV
OV541	OV
OV542	OV
OV543	OV
OV544	OV
OV545	OV
OV546	OV
OV547	OV
OV548	OV
OV549	OV
OV550	OV
OV551	OV
OV552	OV
OV553	OV
OV554	OV
OV555	OV
OV556	OV
OV557	OV
OV558	OV
OV559	OV
OV560	OV
OV561	OV
LUSC1	LUSC
LUSC2	LUSC
LUSC3	LUSC
LUSC4	LUSC
LUSC5	LUSC
LUSC6	LUSC
LUSC7	LUSC
LUSC8	LUSC
LUSC9	LUSC
LUSC10	LUSC
LUSC11	LUSC
LUSC12	LUSC
LUSC13	LUSC
LUSC14	LUSC
LUSC15	LUSC
LUSC16	LUSC
LUSC17	LUSC
LUSC18	LUSC
LUSC19	LUSC
LUSC20	LUSC
LUSC21	LUSC
LUSC22	LUSC
LUSC23	LUSC
LUSC24	LUSC
LUSC25	LUSC
LUSC26	LUSC
LUSC27	LUSC
LUSC28	LUSC
LUSC29	LUSC
LUSC30	LUSC
LUSC31	LUSC
LUSC32	LUSC
LUSC33	LUSC
LUSC34	LUSC
LUSC35	LUSC
LUSC36	LUSC
LUSC37	LUSC
LUSC38	LUSC
LUSC39	LUSC
LUSC40	LUSC
LUSC41	LUSC
LUSC42	LUSC
LUSC43	LUSC
LUSC44	LUSC
LUSC45	LUSC
LUSC46	LUSC
LUSC47	LUSC
LUSC48	LUSC
LUSC49	LUSC
LUSC50	LUSC
LUSC51	LUSC
LUSC52	LUSC
LUSC53	LUSC
LUSC54	LUSC
LUSC55	LUSC
LUSC56	LUSC
LUSC57	LUSC
LUSC58	LUSC
LUSC59	LUSC
LUSC60	LUSC
LUSC61	LUSC
LUSC62	LUSC
LUSC63	LUSC
LUSC64	LUSC
LUSC65	LUSC
LUSC66	LUSC
LUSC67	LUSC
LUSC68	LUSC
LUSC69	LUSC
LUSC70	LUSC
LUSC71	LUSC
LUSC72	LUSC
LUSC73	LUSC
LUSC74	LUSC
LUSC75	LUSC
LUSC76	LUSC
LUSC77	LUSC
LUSC78	LUSC
LUSC79	LUSC
LUSC80	LUSC
LUSC81	LUSC
LUSC82	LUSC
LUSC83	LUSC
LUSC84	LUSC
LUSC85	LUSC
LUSC86	LUSC
LUSC87	LUSC
LUSC88	LUSC
LUSC89	LUSC
LUSC90	LUSC
LUSC91	LUSC
LUSC92	LUSC
LUSC93	LUSC
LUSC94	LUSC
LUSC95	LUSC
LUSC96	LUSC
LUSC97	LUSC
LUSC98	LUSC
LUSC99	LUSC
LUSC100	LUSC
LUSC101	LUSC
LUSC102	LUSC
LUSC103	LUSC
LUSC104	LUSC
LUSC105	LUSC
LUSC106	LUSC
LUSC107	LUSC
LUSC108	LUSC
LUSC109	LUSC
LUSC110	LUSC
LUSC111	LUSC
LUSC112	LUSC
LUSC113	LUSC
LUSC114	LUSC
LUSC115	LUSC
LUSC116	LUSC
LUSC117	LUSC
LUSC118	LUSC
LUSC119	LUSC
LUSC120	LUSC
LUSC121	LUSC
LUSC122	LUSC
LUSC123	LUSC
LUSC124	LUSC
LUSC125	LUSC
LUSC126	LUSC
LUSC127	LUSC
LUSC128	LUSC
LUSC129	LUSC
LUSC130	LUSC
LUSC131	LUSC
LUSC132	LUSC
LUSC133	LUSC
LUSC134	LUSC
LUSC135	LUSC
LUSC136	LUSC
LUSC137	LUSC
LUSC138	LUSC
LUSC139	LUSC
LUSC140	LUSC
LUSC141	LUSC
LUSC142	LUSC
LUSC143	LUSC
LUSC144	LUSC
LUSC145	LUSC
LUSC146	LUSC
LUSC147	LUSC
LUSC148	LUSC
LUSC149	LUSC
LUSC150	LUSC
LUSC151	LUSC
LUSC152	LUSC
LUSC153	LUSC
LUSC154	LUSC
