	Category	Latitude	Longitude	Month	No_of_days_last	Year
R230	mild	-13	163	May	6	1963
R231	mild	-26	152.5	May	2	1963
R232	mild	-25	153.4	May	1	1963
R233	mild	-24	158	May	5	1963
R234	mild	-15.4	154.4	June	2	1963
R235	mild	-19	160	June	10	1963
R236	severe	-15	123.3	Jan	7	1964
R237	mild	-10	141.5	Jan	8	1964
R238	mild	-14	151	Jan	6	1964
R239	mild	-9.2	131	Jan	10	1964
R240	mild	-5	100	Feb	7	1964
R241	mild	-11	137	Mar	4	1964
R242	mild	-14	106	Mar	10	1964
R243	mild	-16.3	149.7	Mar	3	1964
R244	moderate	-13	129	Mar	8	1964
R245	moderate	-16.2	164	Mar	4	1964
R246	mild	-9	105	Nov	8	1964
R247	mild	-10.7	134.5	Nov	8	1964
R248	mild	-12.8	110.3	Jan	1	1965
R249	mild	-10.7	138.3	Jan	8	1965
R250	mild	-11.6	133	Jan	10	1965
R251	mild	-11.8	137	Feb	10	1965
R252	mild	-15	110	Feb	9	1965
R253	moderate	-16.4	122	Mar	5	1965
R254	mild	-14	118	Mar	4	1965
R255	mild	-10	130	Mar	8	1965
R256	mild	-10	134	Dec	10	1965
R257	mild	-9	100	Dec	5	1965
R258	mild	-14.2	128.8	Jan	5	1966
R259	mild	-15	113	Feb	5	1966
R260	mild	-11	135	Feb	4	1966
R261	mild	-13.8	149	Feb	5	1966
R262	mild	-11	99	Feb	14	1966
R263	mild	-13	101	Mar	10	1966
R264	mild	-10	97	Mar	6	1966
R265	mild	-16	107	Mar	2	1966
R266	moderate	-12.9	119	Mar	1	1966
R267	mild	-8.6	161.1	Nov	5	1966
R268	mild	-11	100	Dec	5	1966
R269	moderate	-15	114	Jan	3	1967
R270	moderate	-14.7	123	Jan	7	1967
R271	severe	-12.7	164	Jan	9	1967
R272	mild	-12.9	163.7	Feb	4	1967
R273	mild	-17	121.6	Mar	2	1967
R274	mild	-14.7	149.6	Mar	6	1967
R275	mild	-15	138	Mar	6	1967
R276	mild	-15	156.5	Mar	4	1967
R277	mild	-12.5	155.3	Mar	10	1967
R278	mild	-10	96	Apr	9	1967
R279	mild	-5.9	165	Nov	6	1967
R280	mild	-15.5	151.6	Dec	4	1967
R281	mild	-24.9	154.5	Dec	3	1967
R282	mild	-11	120.3	Jan	6	1968
R283	mild	-12.9	165.9	Jan	5	1968
R284	mild	-12	131.8	Jan	7	1968
R285	moderate	-7	97	Jan	5	1968
R286	mild	-14.3	138.5	Jan	2	1968
R287	mild	-14.5	140	Feb	3	1968
R288	mild	-19	118.2	Feb	2	1968
R289	mild	-16.7	138.5	Feb	4	1968
R290	mild	-15	122.1	Feb	13	1968
R291	mild	-13	139	Feb	8	1968
R292	mild	-13.4	147.5	Feb	3	1968
R293	mild	-8.1	156.3	Apr	5	1968
R294	mild	-9.2	153	Nov	6	1968
R295	mild	-12	90	Dec	6	1968
R296	mild	-13	108	Dec	5	1968
R297	mild	-11.3	112.7	Dec	4	1968
R298	mild	-13	148	Jan	3	1969
R299	moderate	-7.5	161.3	Jan	8	1969
R300	mild	-19.2	123	Feb	5	1969
R301	mild	-19.6	166.3	Feb	5	1969
R302	mild	-12.6	136	Mar	8	1969
R303	mild	-28	105	Apr	1	1969
R304	mild	-11.3	156	Apr	7	1969
R305	mild	-10.6	165	Apr	5	1969
R306	mild	-8.7	152.7	Apr	5	1969
R307	mild	-20.1	154	Nov	1	1969
R308	moderate	-15.8	165	Jan	16	1970
R309	moderate	-12.1	129.8	Jan	11	1970
R310	mild	-7	97	Jan	14	1970
R311	moderate	-13	101	Feb	15	1970
R312	moderate	-16	123.3	Feb	8	1970
R313	mild	-13.9	138.5	Feb	9	1970
R314	mild	-14.1	154.5	Feb	2	1970
R315	mild	-11	98	Mar	11	1970
R316	mild	-13.6	147	Mar	3	1970
R317	mild	-13.7	139.9	Mar	5	1970
R318	mild	-9.6	164	Apr	5	1970
R319	mild	-17.8	107.9	May	5	1970
R320	moderate	-9	87	Oct	10	1970
R321	mild	-8	92	Nov	6	1970
R322	moderate	-9	138	Nov	11	1970
R323	mild	-8	97	Dec	5	1970
R324	mild	-10.2	110.3	Dec	5	1970
R325	moderate	-12	99.5	Jan	4	1971
R326	mild	-11	93.5	Jan	9	1971
R327	mild	-14	118	Jan	8	1971
R328	severe	-14	121.2	Jan	5	1971
R329	mild	-15	137	Jan	3	1971
R330	mild	-19.5	152.7	Feb	17	1971
R331	mild	-17	149.5	Feb	6	1971
R332	mild	-17	155.2	Feb	5	1971
R333	mild	-16	141.4	Feb	12	1971
R334	mild	-13	93	Feb	5	1971
R335	severe	-10	91	Mar	13	1971
R336	mild	-12.4	154.8	Mar	6	1971
R337	mild	-17	121.3	Mar	6	1971
R338	mild	-9	139	Dec	3	1971
R339	severe	-7	124.8	Dec	8	1971
R340	severe	-10.9	159	Dec	10	1971
R341	mild	-16.2	138.7	Jan	9	1972
R342	severe	-9.5	151.8	Jan	17	1972
R343	severe	-16.3	165	Feb	5	1972
R344	moderate	-15	150	Feb	8	1972
R345	severe	-11.8	115	Feb	7	1972
R346	moderate	-11	122	Feb	6	1972
R347	mild	-8	97	Feb	4	1972
R348	mild	-10	105	Mar	9	1972
R349	severe	-11	157.5	Mar	6	1972
R350	moderate	-13	84	Apr	8	1972
R351	mild	-11	139.5	Apr	14	1972
R352	severe	-12.8	154.2	Apr	6	1972
R353	moderate	-6.7	155.2	May	4	1972
R354	moderate	-5	156	May	6	1972
R355	moderate	-12	115	Jan	7	1973
R356	moderate	-14.7	120	Jan	5	1973
R357	moderate	-13.7	138.3	Jan	3	1973
R358	mild	-15.5	123	Jan	3	1973
R359	mild	-14.5	157.5	Feb	6	1973
R360	mild	-13.1	139.5	Feb	14	1973
R361	mild	-10.1	160.8	Feb	20	1973
R362	moderate	-12	127	Mar	10	1973
R363	mild	-9	131	Mar	6	1973
R364	mild	-8.6	103.5	Mar	5	1973
R365	mild	-8.8	87.2	Apr	10	1973
R366	severe	-7	131	Apr	4	1973
R367	moderate	-11.5	134.8	Nov	7	1973
R368	mild	-9	91	Nov	17	1973
R369	mild	-10.1	116.4	Nov	8	1973
R370	mild	-15	161	Nov	2	1973
R371	mild	-10	100	Dec	8	1973
R372	mild	-14	156.8	Dec	6	1973
R373	moderate	-10	98	Dec	6	1973
R374	mild	-18	118.7	Dec	7	1973
R375	mild	-14.5	125.3	Jan	7	1974
R376	mild	-20.2	149.4	Jan	4	1974
R377	mild	-17.7	148.8	Jan	5	1974
R378	severe	-20	163	Feb	4	1974
R379	mild	-18.3	152.6	Feb	6	1974
R380	mild	-17.2	122.2	Feb	9	1974
R381	moderate	-19	154.5	Mar	8	1974
R382	mild	-12.3	111.6	Mar	8	1974
R383	moderate	-12.4	121.2	Mar	9	1974
R384	mild	-13	138	Mar	14	1974
R385	mild	-21.3	153.2	Mar	1	1974
R386	mild	-8.8	88.8	Oct	8	1974
R387	mild	-8	105.1	Oct	7	1974
R388	mild	-6.9	97	Nov	10	1974
R389	mild	-9	127	Nov	7	1974
R390	severe	-8.1	135	Dec	6	1974
R391	mild	-14.1	160	Jan	3	1975
R392	moderate	-11.2	91.1	Jan	5	1975
R393	mild	-15.8	146	Jan	4	1975
R394	mild	-11	105	Feb	9	1975
R395	severe	-16.7	123.6	Feb	7	1975
R396	mild	-10.5	134.5	Mar	6	1975
R397	mild	-14.2	95.4	Mar	4	1975
R398	severe	-12.7	115.9	Mar	12	1975
R399	mild	-10.3	137	Apr	3	1975
R400	mild	-9	100.6	Apr	6	1975
R401	mild	-12	106.2	May	7	1975
R402	mild	-7	102.2	Nov	8	1975
R403	severe	-11.1	128.8	Nov	10	1975
R404	mild	-11.1	136.9	Dec	8	1975
R405	mild	-9.3	100.5	Dec	4	1975
R406	moderate	-15.4	167.4	Jan	8	1976
R407	severe	-17.8	121.9	Jan	13	1976
R408	mild	-12.5	162	Jan	11	1976
R409	mild	-8	156	Feb	11	1976
R410	mild	-16.5	150	Feb	9	1976
R411	mild	-16.3	125	Feb	5	1976
R412	severe	-10.3	155.5	Feb	9	1976
R413	mild	-11	118	Mar	3	1976
R414	mild	-15	115.4	Mar	11	1976
R415	mild	-17	146	Mar	3	1976
R416	moderate	-8.2	155	Apr	4	1976
R417	mild	-7.3	92	May	6	1976
R418	mild	-8.4	103	Dec	6	1976
R419	severe	-12.6	140.5	Dec	5	1976
R420	moderate	-11.2	121	Jan	7	1977
R421	mild	-15.4	150.2	Jan	3	1977
R422	mild	-15.2	148.4	Jan	2	1977
R423	mild	-15.8	148	Feb	3	1977
R424	mild	-16.6	156.6	Feb	4	1977
R425	mild	-15.5	147.7	Feb	1	1977
R426	mild	-9	99.4	Feb	7	1977
R427	moderate	-14	12.5	Mar	7	1977
R428	mild	-14	140.1	Mar	4	1977
R429	moderate	-15.6	124.8	Mar	4	1977
R430	mild	-8.3	134.8	Apr	5	1977
R431	mild	-8.5	154.6	Nov	5	1977
R432	mild	-7.6	96.5	Dec	8	1977
R433	mild	-13.9	137.2	Jan	8	1978
R434	severe	-10.6	129	Jan	10	1978
R435	moderate	-16	114.8	Jan	4	1978
R436	mild	-11.2	136.4	Feb	2	1978
R437	severe	-13.6	83.8	Mar	13	1978
R438	severe	-13.7	115	Mar	8	1978
R439	mild	-11	120.4	Apr	9	1978
R440	mild	-11.4	136.5	Apr	7	1978
R441	mild	-11.8	137	Dec	5	1978
R442	mild	-19.6	162.6	Jan	3	1979
R443	severe	-11.2	160.9	Feb	21	1979
R444	severe	-8.1	170	Feb	21	1979
R445	severe	-15.2	124	Mar	7	1979
R446	mild	-12.6	92	Mar	5	1979
R447	mild	-11.1	150	Apr	9	1979
R448	severe	-11.7	75.2	Apr	14	1979
R449	mild	-7.2	91.2	Apr	6	1979
R450	mild	-7.3	94.7	May	10	1979
R451	severe	-8	93	Dec	10	1979
R452	mild	-9.8	95	Dec	8	1979
R453	mild	-14.9	136.6	Jan	6	1980
R454	severe	-14.5	120.5	Jan	8	1980
R455	severe	-10.1	130.4	Jan	19	1980
R456	mild	-9.7	89.7	Jan	8	1980
R457	severe	-10.5	129.4	Jan	8	1980
R458	mild	-18.8	150.4	Feb	7	1980
R459	severe	-16.3	131	Feb	6	1980
R460	severe	-11.6	102.3	Feb	8	1980
R461	severe	-17	153.8	Feb	7	1980
R462	mild	-12	161	Mar	4	1980
R463	severe	-10	133.8	Mar	15	1980
R464	mild	-14.3	139.8	Mar	3	1980
R465	severe	-5.9	102	Nov	7	1980
R466	severe	-10.8	122.3	Dec	10	1980
R467	mild	-8.6	99.6	Dec	4	1980
R468	mild	-10.1	117.4	Dec	7	1980
R469	severe	-10.6	127	Dec	9	1980
R470	severe	-11.8	110.1	Jan	9	1981
R471	mild	-14.2	153.6	Feb	5	1981
R472	moderate	-14.4	140.6	Feb	15	1981
R473	severe	-19.3	120	Feb	15	1981
R474	mild	-11.7	140.3	Feb	4	1981
R475	moderate	-11.6	135	Mar	10	1981
R476	severe	-7.6	98	Apr	10	1981
R477	mild	-6	89	May	6	1981
R478	mild	-16	139	Nov	6	1981
R479	severe	-10.3	105	Jan	6	1982
R480	mild	-11.2	140.5	Jan	12	1982
R481	mild	-7.1	94	Jan	11	1982
R482	mild	-11.8	119.2	Jan	7	1982
R483	severe	-25.7	154.3	Jan	14	1982
R484	mild	-15.7	120	Jan	6	1982
R485	mild	-13.5	140.5	Feb	2	1982
R486	mild	-11.8	104	Feb	9	1982
R487	moderate	-13.2	122.7	Feb	13	1982
R488	severe	-5.8	159	Apr	6	1982
R489	severe	-11.4	139.4	Apr	10	1982
R490	mild	-13.9	156	Apr	3	1982
R491	severe	-10.8	111.5	Jan	8	1983
R492	mild	-16.3	147	Jan	9	1983
R493	severe	-10.6	158	Feb	24	1983
R494	moderate	-13.1	125	Feb	8	1983
R495	mild	-10	124.7	Apr	7	1983
R496	moderate	-13.7	82.5	Apr	11	1983
R497	mild	-9.8	96	Apr	7	1983
R498	moderate	-7.6	88.9	Oct	9	1983
R499	mild	-8.4	91.6	Nov	3	1983
R500	severe	-10.5	112.8	Nov	4	1983
R501	mild	-14.4	147.8	Dec	4	1983
R502	mild	-6.1	129.6	Dec	2	1983
R503	mild	-10	123.6	Dec	3	1983
R504	mild	-13.5	107.8	Jan	8	1984
R505	moderate	-18.5	148.5	Jan	9	1984
R506	mild	-9.3	91	Jan	4	1984
R507	moderate	-11.5	114.5	Feb	9	1984
R508	moderate	-9.4	101.1	Feb	13	1984
R509	mild	-14.7	152	Feb	6	1984
R510	severe	-16.2	120	Feb	6	1984
R511	mild	-17.4	148.4	Feb	6	1984
R512	severe	-14	123.7	Feb	8	1984
R513	mild	-11.9	131	Mar	2	1984
R514	moderate	-11.6	151.4	Mar	6	1984
R515	severe	-8.6	101.4	Mar	14	1984
R516	severe	-12	148.5	Mar	7	1984
R517	mild	-13.5	153.4	Apr	5	1984
R518	mild	-6.3	102	Dec	10	1984
R519	severe	-16.4	129	Dec	9	1984
R520	mild	-14.4	148.3	Dec	3	1984
R521	mild	-16.5	150.3	Jan	2	1985
R522	severe	-14.6	145.6	Jan	3	1985
R523	mild	-16.1	126	Jan	8	1985
R524	severe	-14.2	129	Feb	9	1985
R525	moderate	-8.6	100.6	Feb	11	1985
R526	severe	-9	127.6	Feb	13	1985
R527	mild	-11.8	143.3	Feb	6	1985
R528	mild	-11.4	135.3	Feb	3	1985
R529	severe	-10.5	112	Mar	18	1985
R530	severe	-9.2	117.6	Mar	5	1985
R531	severe	-13.9	139.5	Mar	6	1985
R532	mild	-13.2	151.5	Mar	4	1985
R533	severe	-8.8	103.8	Apr	15	1985
R534	mild	-11	133.4	Apr	2	1985
R535	severe	-7.6	102.2	Nov	11	1985
R536	mild	-8.6	97.6	Jan	5	1986
R537	mild	-14.4	107.7	Jan	3	1986
R538	mild	-11.8	130.6	Jan	7	1986
R539	mild	-16.5	139.5	Jan	3	1986
R540	moderate	-12.9	144.8	Jan	9	1986
R541	moderate	-15.7	116.3	Feb	4	1986
R542	mild	-13.4	114.3	Feb	5	1986
R543	mild	-9.3	130.3	Feb	5	1986
R544	mild	-14.8	150.2	Mar	6	1986
R545	severe	-13.2	124.2	Mar	7	1986
R546	mild	-11.3	105.2	Apr	5	1986
R547	moderate	-8	156	Apr	6	1986
R548	severe	-5.7	89.3	May	11	1986
R549	moderate	-7	163.9	May	6	1986
R550	severe	-15.8	124.8	Jan	8	1987
R551	mild	-12.2	139.4	Jan	3	1987
R552	mild	-14.6	124.3	Feb	8	1987
R553	moderate	-12	142.8	Feb	9	1987
R554	severe	-15	125	Feb	5	1987
R555	mild	-8.5	140.1	Apr	9	1987
R556	mild	-10	167.7	May	6	1987
R557	mild	-15	157	Jan	6	1988
R558	severe	-6.9	99.5	Jan	5	1988
R559	severe	-12.8	109	Feb	6	1988
R560	mild	-12.8	159.1	Feb	9	1988
R561	mild	-6.8	92.6	May	4	1988
R562	moderate	-12	128.3	Dec	7	1988
R563	mild	-16.7	148.4	Dec	3	1988
R564	mild	-7.6	103.3	Jan	8	1989
R565	severe	-11	106.2	Feb	8	1989
R566	mild	-12	102	Feb	6	1989
R567	severe	-19.5	160	Feb	4	1989
R568	mild	-15.5	101.5	Mar	4	1989
R569	severe	-17.4	119.5	Mar	6	1989
R570	severe	-9.8	153.5	Apr	4	1989
R571	severe	-10	129	Apr	7	1989
R572	mild	-13.4	160	May	5	1989
R573	mild	-12.6	155.2	May	3	1989
R574	mild	-7.6	100.2	Nov	15	1989
R575	mild	-7.8	97.2	Nov	7	1989
R576	moderate	-11.6	134	Dec	7	1989
R577	mild	-14.3	117	Jan	5	1990
R578	mild	-12.7	111.7	Jan	13	1990
R579	moderate	-12	130.5	Jan	10	1990
R580	mild	-18.3	156	Jan	7	1990
R581	mild	-11.9	137.9	Mar	4	1990
R582	moderate	-17	114.6	Mar	4	1990
R583	mild	-14.6	94	Mar	13	1990
R584	moderate	-18.8	153.2	Mar	3	1990
R585	moderate	-15.8	160.3	Mar	10	1990
R586	severe	-12.3	114.1	Mar	11	1990
R587	mild	-11	89.4	Apr	5	1990
R588	mild	-12.2	128.7	Dec	2	1990
R589	severe	-11.5	158	Dec	9	1990
R590	mild	-15	122	Feb	6	1991
R591	mild	-18.1	127.8	Feb	7	1991
R592	mild	-11.7	141.9	Feb	12	1991
R593	moderate	-9.4	88.1	Feb	9	1991
R594	severe	-11	99.6	Mar	8	1991
R595	severe	-8.8	130	Apr	10	1991
R596	mild	-10.8	103.2	Apr	6	1991
R597	mild	-6	155	Apr	5	1991
R598	severe	-8	95	Dec	8	1991
R599	mild	-13.3	135.7	Jan	3	1992
R600	severe	-19.5	160	Jan	4	1992
R601	severe	-13.1	168.5	Feb	5	1992
R602	severe	-11.5	101.8	Feb	14	1992
R603	severe	-11.8	114.3	Feb	7	1992
R604	severe	-15.6	160.8	Feb	7	1992
R605	severe	-18.6	168	Mar	8	1992
R606	severe	-8.7	132.3	Apr	9	1992
R607	severe	-6.6	99.1	Apr	10	1992
R608	mild	-10.7	99.7	Dec	6	1992
R609	moderate	-12.4	141	Dec	9	1992
R610	mild	-13.7	120.8	Jan	7	1993
R611	severe	-14	150.3	Feb	8	1993
R612	severe	-14.7	157.7	Feb	6	1993
R613	mild	-10	157	Mar	9	1993
R614	mild	-10.5	101	Apr	7	1993
R615	moderate	-6.3	156	May	2	1993
R616	moderate	-12.1	120.7	Dec	3	1993
R617	severe	-9.5	165.5	Dec	24	1993
R618	mild	-12.1	129.7	Dec	12	1993
R619	severe	-15.4	121.4	Jan	10	1994
R620	severe	-10.5	110.2	Jan	5	1994
R621	mild	-11.2	136	Jan	2	1994
R622	severe	-7.9	157.6	Feb	5	1994
R623	severe	-9.9	119	Mar	10	1994
R624	mild	-10.2	115	Mar	7	1994
