	carat	price
248	0.55	1410
249	0.71	2803
250	1.04	4404
251	0.31	683
252	0.24	449
253	1.2	4590
254	0.39	614
255	0.31	558
256	0.34	596
257	0.83	3625
258	0.9	4502
259	1.05	2789
260	0.22	404
261	1	3360
262	0.53	1607
263	0.31	802
264	0.66	1981
265	0.5	2052
266	0.5	1629
267	1.64	7409
268	1.53	11280
269	1.54	13735
270	1.16	5091
271	0.82	3798
272	0.32	828
273	0.76	3716
274	0.71	2487
275	1.48	7086
276	0.35	1044
277	0.5	1323
278	0.35	644
279	0.96	4142
280	0.77	2657
281	1	5606
282	1.01	3054
283	1.29	6097
284	1	5639
285	1.52	11206
286	0.44	759
287	0.72	1907
288	0.33	594
289	0.7	2496
290	0.7	2083
291	2.18	18003
292	0.33	743
293	1.02	6509
294	0.37	552
295	0.23	505
296	1.24	7743
297	0.46	1736
298	0.72	2586
299	0.33	854
300	0.9	4369
301	0.31	744
302	1.06	4483
303	1.23	6005
304	0.71	2345
305	1.54	11632
306	0.41	969
307	0.47	1050
308	0.72	3465
309	0.3	626
310	0.42	722
311	0.32	943
312	0.56	1689
313	0.7	2398
314	0.31	987
315	1.01	5679
316	0.31	802
317	0.31	802
318	0.9	4707
319	0.9	3730
320	0.3	863
321	1	5967
322	0.54	1754
323	0.31	1046
324	0.74	3130
325	0.59	1286
326	0.34	589
327	0.57	1949
328	1.5	9548
329	0.81	3084
330	1.03	5393
331	0.23	505
332	0.89	4003
333	1.04	5102
334	1.91	12816
335	2.14	14490
336	1.51	8550
337	0.3	911
338	1.11	8184
339	1.51	10186
340	0.3	710
341	0.56	1915
342	1.59	9082
343	0.31	544
344	0.3	622
345	1.02	6797
346	0.3	432
347	0.71	4167
348	1.06	4162
349	0.9	2930
350	0.55	1881
351	0.72	1853
352	0.7	2877
353	1.28	6580
354	1.12	8592
355	0.4	737
356	1.03	4326
357	1	7452
358	1.12	6503
359	0.7	2234
360	0.77	2184
361	0.57	2351
362	0.4	925
363	1.01	6027
364	1	2811
365	0.3	789
366	1.73	13250
367	0.3	457
368	1.82	5993
369	0.3	776
370	0.39	1121
371	1.7	6474
372	0.55	1272
373	0.3	645
374	1.24	4907
375	0.3	765
376	0.32	449
377	0.76	2474
378	0.76	2631
379	1	4125
380	0.31	871
381	0.7	2353
382	1.08	3849
383	0.64	2587
384	1.2	8911
385	1.51	7418
386	0.31	625
387	0.52	1689
388	0.7	2332
389	0.54	1913
390	0.57	1961
391	0.35	1011
392	1.01	4666
393	0.73	3164
394	1.41	4145
395	0.38	659
396	1.01	6787
397	0.52	1454
398	0.9	3878
399	0.44	1334
400	0.7	3017
401	1	4295
402	0.63	3161
403	0.41	1107
404	1.44	4064
405	0.55	1816
406	1	3360
407	1.02	6762
408	0.43	792
409	0.54	1392
410	0.7	3185
411	1.49	8779
412	1.09	9282
413	0.32	720
414	0.7	2075
415	0.78	3343
416	1.6	16547
417	0.37	759
418	0.3	473
419	0.41	693
420	1.51	6936
421	0.41	791
422	0.57	1571
423	1.03	4248
424	0.52	1310
425	0.59	1437
426	0.32	828
427	0.71	2867
428	0.34	819
429	0.63	2373
430	0.34	626
431	0.7	1069
432	0.3	710
433	1.12	4798
434	0.31	907
435	0.4	945
436	0.52	1452
437	0.3	878
438	0.33	743
439	1.05	5400
440	0.73	3255
441	1.01	4868
442	1.5	10652
443	1.39	8874
444	1.58	14453
445	0.57	1648
446	0.68	2081
447	0.9	3484
448	0.71	2381
449	0.55	1134
450	2.01	11954
451	0.7	2528
452	0.38	721
453	1.2	5833
454	0.51	1397
455	1.07	8202
456	0.72	2422
457	0.6	3082
458	1.22	8793
459	0.38	633
460	1.01	9451
461	1.06	4167
462	0.29	609
463	0.24	432
464	0.56	1915
465	0.51	1574
466	0.8	3930
467	2.02	12598
468	0.41	648
469	0.23	402
470	0.42	1251
471	2	11544
472	0.52	1689
473	1.01	4072
474	1.51	9301
475	0.7	1999
476	0.72	2590
477	0.5	1279
478	0.32	972
479	1.03	3444
480	1.04	4403
481	1.5	15102
482	0.3	608
483	1.06	7934
484	0.56	1552
485	0.32	672
486	0.33	579
487	1.08	4536
488	0.77	3343
489	1.2	9139
490	1.25	12698
491	0.46	1157
492	1.51	10314
493	0.34	620
494	0.35	620
495	1.5	5313
496	0.38	670
497	0.31	959
498	0.27	603
499	0.3	585
500	0.31	675
501	0.32	990
502	0.74	2468
503	0.4	1323
504	0.7	2230
505	2	16280
506	1.31	5820
507	0.37	909
508	0.32	758
509	1.1	8724
510	0.3	489
511	0.3	678
512	0.39	878
513	0.31	578
514	1.24	9885
515	1.31	5187
516	0.6	1250
517	1.51	13474
518	1.13	3987
519	1.17	6324
520	0.7	2767
521	0.41	791
522	1.07	9703
523	0.7	2591
524	0.42	1142
525	1.01	4592
526	0.5	1094
527	0.38	800
528	0.84	4869
529	0.63	1628
530	0.31	732
531	1.61	13047
532	1.05	5255
533	0.3	526
534	0.32	786
535	1.04	10709
536	1.2	6727
537	0.3	394
538	1.07	3354
539	0.7	2710
540	0.32	561
541	1.5	9282
542	0.42	970
543	0.31	801
544	1.82	12081
545	0.3	1013
546	2.2	13065
547	0.37	833
548	1	5728
549	0.33	797
550	1.12	7812
551	0.32	618
552	0.7	2593
553	1	2117
554	0.31	732
555	0.57	1665
556	1.05	3951
557	0.7	2398
558	0.85	2442
559	0.26	679
560	0.3	930
561	0.6	1698
562	1.01	6081
563	0.3	567
564	0.5	1675
565	0.37	957
566	1.01	4350
567	0.7	2965
568	1.01	3411
569	0.81	2641
570	1.09	7493
571	0.4	940
572	0.59	1229
573	0.38	1095
574	1.14	5700
575	1	3850
576	1.18	7216
577	0.93	3620
578	2.01	12338
579	1.26	6239
580	2.25	14348
581	0.51	1119
582	0.46	1412
583	0.31	816
584	0.77	1843
585	0.33	631
586	0.41	873
587	0.53	2658
588	0.75	2898
589	0.72	2385
590	2.21	18062
591	0.7	3763
592	1.16	5001
593	0.52	1352
594	1.05	7247
595	1.52	12418
596	0.32	758
597	0.41	863
598	1.52	10392
599	0.31	942
600	1.06	6212
601	0.38	979
602	0.31	924
603	0.51	1205
604	0.52	2079
605	1.08	5352
606	2.01	15651
607	0.4	629
608	0.57	1133
609	0.54	1073
610	1.01	3944
611	1.65	8334
612	0.5	1603
613	1.2	5607
614	0.5	1845
615	2.13	18275
616	0.91	3975
617	0.38	1257
618	2.1	12168
619	0.31	1034
620	0.93	3738
621	0.59	1664
622	0.32	576
623	1	3265
624	0.71	2331
625	0.29	619
626	1	7367
627	0.5	1758
628	0.71	3191
629	0.3	506
630	0.7	2577
631	0.92	5086
632	1.01	4549
633	0.31	789
634	1.04	5285
635	1.2	8275
636	1.08	4989
637	0.4	1050
638	0.9	3205
639	1.11	6953
640	0.43	774
641	0.71	2686
642	0.32	533
643	1.07	4362
644	1.01	5666
645	1.5	14281
646	1.5	8518
647	0.3	605
648	0.23	530
649	0.7	2273
650	1	4405
651	1.01	5622
652	0.74	3993
653	0.35	472
654	1.2	6666
655	0.71	3340
656	0.7	3399
657	0.33	681
658	1.18	10308
659	0.54	1440
660	0.38	778
661	1.05	5952
662	0.42	760
663	0.42	722
664	0.51	1605
665	0.4	667
666	1.75	14359
667	1.03	6044
668	0.7	2400
669	0.32	1020
670	0.55	1928
671	0.52	1338
672	1.03	7726
673	0.36	770
674	1.23	11141
675	0.3	638
676	0.71	3077
677	0.3	622
678	0.31	593
679	1.3	6928
680	0.3	422
681	0.43	1245
682	0.54	1662
683	0.9	3740
684	0.41	921
685	0.74	2702
686	0.8	2495
687	0.31	516
688	1.03	5624
689	1	6352
690	1.08	6426
691	1.8	9979
692	0.32	645
693	1.09	5262
694	0.32	576
695	1.02	4303
696	0.32	561
697	0.72	3004
698	0.33	666
699	1.14	4788
700	0.33	806
701	1	4596
702	0.78	2456
703	0.54	1163
704	0.39	1126
705	0.74	2944
706	0.44	778
707	1.16	2368
708	0.54	1250
709	0.5	1635
710	0.5	2025
711	0.7	1014
712	0.9	3841
713	0.25	548
714	0.3	1114
715	0.57	2052
716	0.32	769
717	0.9	3375
718	0.9	4637
719	0.3	826
720	0.4	658
721	0.71	2685
722	0.56	1963
723	1.2	5098
724	0.39	1053
725	2.36	18745
726	0.41	1286
727	0.42	1235
728	0.88	4334
729	1.11	13405
730	1.51	6046
731	1.55	9704
732	1.16	4872
733	0.3	526
734	0.3	608
735	1.27	5925
736	0.35	601
737	0.84	4325
738	0.39	1232
739	0.31	462
740	0.5	1676
741	0.53	1607
742	1.03	4932
743	0.73	2770
744	0.36	1035
745	0.44	756
746	0.3	675
747	0.5	1885
748	0.73	3127
749	0.28	642
750	0.57	1728
751	0.39	1024
752	1.05	7440
753	0.38	1101
754	1.01	4626
755	1.5	10478
756	0.41	1151
757	0.56	1915
758	1.23	5632
759	0.32	684
760	1	3712
761	0.51	1974
762	1.02	4241
763	1.18	5657
764	0.3	984
765	0.46	1367
766	0.4	1125
767	0.51	1974
768	0.9	4081
769	0.27	599
770	1.2	5736
771	0.3	414
772	0.51	1574
773	0.71	1994
774	0.31	489
775	0.56	1755
776	0.72	2019
777	2.09	12377
778	0.71	2858
779	1.21	6887
780	0.7	2992
781	0.74	2870
782	1.54	12196
783	0.56	2369
784	0.52	1815
785	0.31	516
786	1.51	14674
787	0.34	784
788	1.5	8043
789	0.4	898
790	1.53	8499
791	1.4	7225
792	2.01	16149
793	1.01	4458
794	0.32	561
795	0.35	614
796	1.55	15991
797	1.08	4790
798	0.31	802
799	0.32	648
800	0.36	726
801	0.52	1806
802	0.58	1862
803	0.38	983
804	1.19	9383
805	1.35	5761
806	0.41	1043
807	0.91	4444
808	1.01	4072
809	0.33	928
810	0.5	1715
811	0.91	4022
812	0.35	1030
813	0.91	3703
814	0.9	4064
815	0.73	2234
816	0.35	614
817	1.14	4972
818	0.7	2318
819	1	4774
820	0.3	524
821	1.15	7999
822	0.43	1016
823	0.4	603
824	1.51	10947
825	1.15	10546
826	0.4	633
827	0.32	1107
828	1.61	9169
829	0.7	2635
830	0.52	1988
831	0.3	735
832	0.51	1833
833	0.5	925
834	0.38	658
835	0.43	970
836	1.07	5367
837	0.36	789
838	0.53	1577
839	0.3	491
840	0.31	571
841	1.01	6968
842	0.3	814
843	1	6600
844	0.9	4381
845	0.7	2234
846	0.53	1639
847	0.55	1238
848	1.01	5760
849	0.41	1439
850	0.32	602
851	1.7	12992
852	0.27	464
853	0.42	1142
854	1.15	6517
855	0.38	1069
856	0.42	1087
857	0.91	3403
858	1	4661
859	0.33	702
860	1.02	9870
861	0.32	900
862	1.39	13061
863	0.57	1655
864	1.01	3399
865	0.61	2544
866	2.07	15751
867	0.4	707
868	2.02	18236
869	1.14	5326
870	0.33	723
871	0.56	1280
872	0.7	2573
873	1.25	4018
874	1.03	3668
875	1	4995
876	0.5	1987
877	1.01	5701
878	1.01	6618
879	0.5	2081
880	0.41	1076
881	0.42	1040
882	2.05	12891
883	1.01	4072
884	0.36	537
885	1.07	5537
886	1.04	7041
887	0.37	1041
888	2.18	13812
889	0.3	526
890	0.33	743
891	0.33	1040
892	1.02	3857
893	1.45	17545
894	0.59	2166
895	0.51	1574
896	1.24	13929
897	0.9	5242
898	0.38	1073
899	0.53	1428
900	0.71	1715
901	0.27	752
902	1.2	5578
903	1.01	5946
904	0.53	1700
905	1.01	6043
906	0.37	681
907	0.91	2491
908	0.38	693
909	2.02	13502
910	1.72	5240
911	0.42	700
912	0.34	803
913	1	6389
914	0.24	668
915	0.71	2743
916	1.15	10316
917	0.72	3012
918	1	4573
919	0.5	1624
920	0.5	1238
921	0.39	821
922	0.72	3122
923	1.01	4486
924	0.33	829
925	0.39	698
926	0.77	3996
927	0.72	3478
928	1.01	5527
929	1.21	5989
930	1.58	10608
931	0.3	621
932	0.51	1588
933	0.32	672
934	0.93	3937
935	2.03	11379
936	1.5	12005
937	0.4	912
938	0.35	706
939	0.4	945
940	1.35	10639
941	0.3	776
942	0.31	595
943	0.4	970
944	0.54	1653
945	1.07	5033
946	1.28	5676
947	1.73	13102
948	1.62	10521
949	0.32	576
950	0.72	2376
951	0.3	1102
952	1.09	4794
953	1	4704
954	0.36	852
955	0.55	1916
956	0.56	2164
957	1.51	8951
958	0.72	3492
959	0.65	1708
960	0.3	447
961	0.34	875
962	0.41	613
963	0.32	684
964	1.23	9836
965	1.02	8303
966	0.29	607
967	0.62	1942
968	1.5	10046
969	0.31	489
970	1.23	8405
971	1	5197
972	2.05	15109
973	0.4	877
974	1.21	6849
975	0.42	984
976	1.26	6915
977	1	6097
978	0.31	544
979	0.5	1612
980	1.13	11477
981	0.36	678
982	1.01	5439
983	0.92	5243
984	2	15485
985	1.35	6961
986	1.04	3603
987	0.8	3158
988	1.01	5911
989	1.3	7714
990	1.02	7861
991	0.54	1229
992	0.36	505
993	0.56	2066
994	1.21	6861
995	0.68	2516
996	0.4	720
997	0.33	521
998	0.5	958
999	1.06	2992
1000	0.5	1400
