	Cabin	Embarked	Fare	Parch	Pclass	Sex	SibSp	Survived	Ticket
122		S	8.05	0	3	male	0	0	A4. 54510
123		C	30.0708	0	2	male	1	0	237736
124	E101	S	13	0	2	female	0	1	27267
125	D26	S	77.2875	1	1	male	0	0	35281
126		C	11.2417	0	3	male	1	1	2651
127		Q	7.75	0	3	male	0	0	370372
128		S	7.1417	0	3	male	0	1	C 17369
129	F E69	C	22.3583	1	3	female	1	1	2668
130		S	6.975	0	3	male	0	0	347061
131		C	7.8958	0	3	male	0	0	349241
132		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101307
133		S	14.5	0	3	female	1	0	A/5. 3337
134		S	26	0	2	female	1	1	228414
135		S	13	0	2	male	0	0	C.A. 29178
136		C	15.0458	0	2	male	0	0	SC/PARIS 2133
137	D47	S	26.2833	2	1	female	0	1	11752
138	C123	S	53.1	0	1	male	1	0	113803
139		S	9.2167	0	3	male	0	0	7534
140	B86	C	79.2	0	1	male	0	0	PC 17593
141		C	15.2458	2	3	female	0	0	2678
142		S	7.75	0	3	female	0	1	347081
143		S	15.85	0	3	female	1	1	STON/O2. 3101279
144		Q	6.75	0	3	male	0	0	365222
145		S	11.5	0	2	male	0	0	231945
146		S	36.75	1	2	male	1	0	C.A. 33112
147		S	7.7958	0	3	male	0	1	350043
148		S	34.375	2	3	female	2	0	W./C. 6608
149	F2	S	26	2	2	male	0	0	230080
150		S	13	0	2	male	0	0	244310
151		S	12.525	0	2	male	0	0	S.O.P. 1166
152	C2	S	66.6	0	1	female	1	1	113776
153		S	8.05	0	3	male	0	0	A.5. 11206
154		S	14.5	2	3	male	0	0	A/5. 851
155		S	7.3125	0	3	male	0	0	Fa 265302
156		C	61.3792	1	1	male	0	0	PC 17597
157		Q	7.7333	0	3	female	0	1	35851
158		S	8.05	0	3	male	0	0	SOTON/OQ 392090
159		S	8.6625	0	3	male	0	0	315037
160		S	69.55	2	3	male	8	0	CA. 2343
161		S	16.1	1	3	male	0	0	371362
162		S	15.75	0	2	female	0	1	C.A. 33595
163		S	7.775	0	3	male	0	0	347068
164		S	8.6625	0	3	male	0	0	315093
165		S	39.6875	1	3	male	4	0	3101295
166		S	20.525	2	3	male	0	1	363291
167	E33	S	55	1	1	female	0	1	113505
168		S	27.9	4	3	female	1	0	347088
169		S	25.925	0	1	male	0	0	PC 17318
170		S	56.4958	0	3	male	0	0	1601
171	B19	S	33.5	0	1	male	0	0	111240
172		Q	29.125	1	3	male	4	0	382652
173		S	11.1333	1	3	female	1	1	347742
174		S	7.925	0	3	male	0	0	STON/O 2. 3101280
175	A7	C	30.6958	0	1	male	0	0	17764
176		S	7.8542	1	3	male	1	0	350404
177		S	25.4667	1	3	male	3	0	4133
178	C49	C	28.7125	0	1	female	0	0	PC 17595
179		S	13	0	2	male	0	0	250653
180		S	0	0	3	male	0	0	LINE
181		S	69.55	2	3	female	8	0	CA. 2343
182		C	15.05	0	2	male	0	0	SC/PARIS 2131
183		S	31.3875	2	3	male	4	0	347077
184	F4	S	39	1	2	male	2	1	230136
185		S	22.025	2	3	female	0	1	315153
186	A32	S	50	0	1	male	0	0	113767
187		Q	15.5	0	3	female	1	1	370365
188		S	26.55	0	1	male	0	1	111428
189		Q	15.5	1	3	male	1	0	364849
190		S	7.8958	0	3	male	0	0	349247
191		S	13	0	2	female	0	1	234604
192		S	13	0	2	male	0	0	28424
193		S	7.8542	0	3	female	1	1	350046
194	F2	S	26	1	2	male	1	1	230080
195	B4	C	27.7208	0	1	female	0	1	PC 17610
196	B80	C	146.5208	0	1	female	0	1	PC 17569
197		Q	7.75	0	3	male	0	0	368703
198		S	8.4042	1	3	male	0	0	4579
199		Q	7.75	0	3	female	0	1	370370
200		S	13	0	2	female	0	0	248747
201		S	9.5	0	3	male	0	0	345770
202		S	69.55	2	3	male	8	0	CA. 2343
203		S	6.4958	0	3	male	0	0	3101264
204		C	7.225	0	3	male	0	0	2628
205		S	8.05	0	3	male	0	1	A/5 3540
206	G6	S	10.4625	1	3	female	0	0	347054
207		S	15.85	0	3	male	1	0	3101278
208		C	18.7875	0	3	male	0	1	2699
209		Q	7.75	0	3	female	0	1	367231
210	A31	C	31	0	1	male	0	1	112277
211		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101311
212		S	21	0	2	female	0	1	F.C.C. 13528
213		S	7.25	0	3	male	0	0	A/5 21174
214		S	13	0	2	male	0	0	250646
215		Q	7.75	0	3	male	1	0	367229
216	D36	C	113.275	0	1	female	1	1	35273
217		S	7.925	0	3	female	0	1	STON/O2. 3101283
218		S	27	0	2	male	1	0	243847
219	D15	C	76.2917	0	1	female	0	1	11813
220		S	10.5	0	2	male	0	0	W/C 14208
221		S	8.05	0	3	male	0	1	SOTON/OQ 392089
222		S	13	0	2	male	0	0	220367
223		S	8.05	0	3	male	0	0	21440
224		S	7.8958	0	3	male	0	0	349234
225	C93	S	90	0	1	male	1	1	19943
226		S	9.35	0	3	male	0	0	PP 4348
227		S	10.5	0	2	male	0	1	SW/PP 751
228		S	7.25	0	3	male	0	0	A/5 21173
229		S	13	0	2	male	0	0	236171
230		S	25.4667	1	3	female	3	0	4133
231	C83	S	83.475	0	1	female	1	1	36973
232		S	7.775	0	3	male	0	0	347067
233		S	13.5	0	2	male	0	0	237442
234		S	31.3875	2	3	female	4	1	347077
235		S	10.5	0	2	male	0	0	C.A. 29566
236		S	7.55	0	3	female	0	0	W./C. 6609
237		S	26	0	2	male	1	0	26707
238		S	26.25	2	2	female	0	1	C.A. 31921
239		S	10.5	0	2	male	0	0	28665
240		S	12.275	0	2	male	0	0	SCO/W 1585
241		C	14.4542	0	3	female	1	0	2665
242		Q	15.5	0	3	female	1	1	367230
243		S	10.5	0	2	male	0	0	W./C. 14263
244		S	7.125	0	3	male	0	0	STON/O 2. 3101275
245		C	7.225	0	3	male	0	0	2694
246	C78	Q	90	0	1	male	2	0	19928
247		S	7.775	0	3	female	0	0	347071
248		S	14.5	2	2	female	0	1	250649
249	D35	S	52.5542	1	1	male	1	1	11751
250		S	26	0	2	male	1	0	244252
251		S	7.25	0	3	male	0	0	362316
252	G6	S	10.4625	1	3	female	1	0	347054
253	C87	S	26.55	0	1	male	0	0	113514
254		S	16.1	0	3	male	1	0	A/5. 3336
255		S	20.2125	2	3	female	0	0	370129
256		C	15.2458	2	3	female	0	1	2650
257		C	79.2	0	1	female	0	1	PC 17585
258	B77	S	86.5	0	1	female	0	1	110152
259		C	512.3292	0	1	female	0	1	PC 17755
260		S	26	1	2	female	0	1	230433
261		Q	7.75	0	3	male	0	0	384461
262		S	31.3875	2	3	male	4	1	347077
263	E67	S	79.65	1	1	male	1	0	110413
264	B94	S	0	0	1	male	0	0	112059
265		Q	7.75	0	3	female	0	0	382649
266		S	10.5	0	2	male	0	0	C.A. 17248
267		S	39.6875	1	3	male	4	0	3101295
268		S	7.775	0	3	male	1	1	347083
269	C125	S	153.4625	1	1	female	0	1	PC 17582
270	C99	S	135.6333	0	1	female	0	1	PC 17760
271		S	31	0	1	male	0	0	113798
272		S	0	0	3	male	0	1	LINE
273		S	19.5	1	2	female	0	1	250644
274	C118	C	29.7	1	1	male	0	0	PC 17596
275		Q	7.75	0	3	female	0	1	370375
276	D7	S	77.9583	0	1	female	1	1	13502
277		S	7.75	0	3	female	0	0	347073
278		S	0	0	2	male	0	0	239853
279		Q	29.125	1	3	male	4	0	382652
280		S	20.25	1	3	female	1	1	C.A. 2673
281		Q	7.75	0	3	male	0	0	336439
282		S	7.8542	0	3	male	0	0	347464
283		S	9.5	0	3	male	0	0	345778
284		S	8.05	0	3	male	0	1	A/5. 10482
285	A19	S	26	0	1	male	0	0	113056
286		C	8.6625	0	3	male	0	0	349239
287		S	9.5	0	3	male	0	1	345774
288		S	7.8958	0	3	male	0	0	349206
289		S	13	0	2	male	0	1	237798
290		Q	7.75	0	3	female	0	1	370373
291		S	78.85	0	1	female	0	1	19877
292	B49	C	91.0792	0	1	female	1	1	11967
293	D	C	12.875	0	2	male	0	0	SC/Paris 2163
294		S	8.85	0	3	female	0	0	349236
295		S	7.8958	0	3	male	0	0	349233
296		C	27.7208	0	1	male	0	0	PC 17612
297		C	7.2292	0	3	male	0	0	2693
298	C22 C26	S	151.55	2	1	female	1	0	113781
299	C106	S	30.5	0	1	male	0	1	19988
300	B58 B60	C	247.5208	1	1	female	0	1	PC 17558
301		Q	7.75	0	3	female	0	1	9234
302		Q	23.25	0	3	male	2	1	367226
303		S	0	0	3	male	0	0	LINE
304	E101	Q	12.35	0	2	female	0	1	226593
305		S	8.05	0	3	male	0	0	A/5 2466
306	C22 C26	S	151.55	2	1	male	1	1	113781
307		C	110.8833	0	1	female	0	1	17421
308	C65	C	108.9	0	1	female	1	1	PC 17758
309		C	24	0	2	male	1	0	P/PP 3381
310	E36	C	56.9292	0	1	female	0	1	PC 17485
311	C54	C	83.1583	0	1	female	0	1	11767
312	B57 B59 B63 B66	C	262.375	2	1	female	2	1	PC 17608
313		S	26	1	2	female	1	0	250651
314		S	7.8958	0	3	male	0	0	349243
315		S	26.25	1	2	male	1	0	F.C.C. 13529
316		S	7.8542	0	3	female	0	1	347470
317		S	26	0	2	female	1	1	244367
318		S	14	0	2	male	0	0	29011
319	C7	S	164.8667	2	1	female	0	1	36928
320	E34	C	134.5	1	1	female	1	1	16966
321		S	7.25	0	3	male	0	0	A/5 21172
322		S	7.8958	0	3	male	0	0	349219
323		Q	12.35	0	2	female	0	1	234818
324		S	29	1	2	female	1	1	248738
325		S	69.55	2	3	male	8	0	CA. 2343
326	C32	C	135.6333	0	1	female	0	1	PC 17760
327		S	6.2375	0	3	male	0	0	345364
328	D	S	13	0	2	female	0	1	28551
329		S	20.525	1	3	female	1	1	363291
330	B18	C	57.9792	1	1	female	0	1	111361
331		Q	23.25	0	3	female	2	1	367226
332	C124	S	28.5	0	1	male	0	0	113043
333	C91	S	153.4625	1	1	male	0	0	PC 17582
334		S	18	0	3	male	2	0	345764
335		S	133.65	0	1	female	1	1	PC 17611
336		S	7.8958	0	3	male	0	0	349225
337	C2	S	66.6	0	1	male	1	0	113776
338	E40	C	134.5	0	1	female	0	1	16966
339		S	8.05	0	3	male	0	1	7598
340	T	S	35.5	0	1	male	0	0	113784
341	F2	S	26	1	2	male	1	1	230080
342	C23 C25 C27	S	263	2	1	female	3	1	19950
343		S	13	0	2	male	0	0	248740
344		S	13	0	2	male	0	0	244361
345		S	13	0	2	male	0	0	229236
346	F33	S	13	0	2	female	0	1	248733
347		S	13	0	2	female	0	1	31418
348		S	16.1	0	3	female	1	1	386525
349		S	15.9	1	3	male	1	1	C.A. 37671
350		S	8.6625	0	3	male	0	0	315088
351		S	9.225	0	3	male	0	0	7267
352	C128	S	35	0	1	male	0	0	113510
353		C	7.2292	1	3	male	1	0	2695
354		S	17.8	0	3	male	1	0	349237
355		C	7.225	0	3	male	0	0	2647
356		S	9.5	0	3	male	0	0	345783
357	E33	S	55	1	1	female	0	1	113505
358		S	13	0	2	female	0	0	237671
359		Q	7.8792	0	3	female	0	1	330931
360		Q	7.8792	0	3	female	0	1	330980
361		S	27.9	4	3	male	1	0	347088
362		C	27.7208	0	2	male	1	0	SC/PARIS 2167
363		C	14.4542	1	3	female	0	0	2691
364		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101310
365		Q	15.5	0	3	male	1	0	370365
366		S	7.25	0	3	male	0	0	C 7076
367	D37	C	75.25	0	1	female	1	1	110813
368		C	7.2292	0	3	female	0	1	2626
369		Q	7.75	0	3	female	0	1	14313
370	B35	C	69.3	0	1	female	0	1	PC 17477
371	E50	C	55.4417	0	1	male	1	1	11765
372		S	6.4958	0	3	male	1	0	3101267
373		S	8.05	0	3	male	0	0	323951
374		C	135.6333	0	1	male	0	0	PC 17760
375		S	21.075	1	3	female	3	0	349909
376		C	82.1708	0	1	female	1	1	PC 17604
377		S	7.25	0	3	female	0	1	C 7077
378	C82	C	211.5	2	1	male	0	0	113503
379		C	4.0125	0	3	male	0	0	2648
380		S	7.775	0	3	male	0	0	347069
381		C	227.525	0	1	female	0	1	PC 17757
382		C	15.7417	2	3	female	0	1	2653
383		S	7.925	0	3	male	0	0	STON/O 2. 3101293
384		S	52	0	1	female	1	1	113789
385		S	7.8958	0	3	male	0	0	349227
386		S	73.5	0	2	male	0	0	S.O.C. 14879
387		S	46.9	2	3	male	5	0	CA 2144
388		S	13	0	2	female	0	1	27849
389		Q	7.7292	0	3	male	0	0	367655
390		C	12	0	2	female	0	1	SC 1748
391	B96 B98	S	120	2	1	male	1	1	113760
392		S	7.7958	0	3	male	0	1	350034
393		S	7.925	0	3	male	2	0	3101277
394	D36	C	113.275	0	1	female	1	1	35273
395	G6	S	16.7	2	3	female	0	1	PP 9549
396		S	7.7958	0	3	male	0	0	350052
397		S	7.8542	0	3	female	0	0	350407
398		S	26	0	2	male	0	0	28403
399		S	10.5	0	2	male	0	0	244278
400		S	12.65	0	2	female	0	1	240929
401		S	7.925	0	3	male	0	1	STON/O 2. 3101289
402		S	8.05	0	3	male	0	0	341826
403		S	9.825	0	3	female	1	0	4137
404		S	15.85	0	3	male	1	0	STON/O2. 3101279
405		S	8.6625	0	3	female	0	0	315096
406		S	21	0	2	male	1	0	28664
407		S	7.75	0	3	male	0	0	347064
408		S	18.75	1	2	male	1	1	29106
409		S	7.775	0	3	male	0	0	312992
410		S	25.4667	1	3	female	3	0	4133
411		S	7.8958	0	3	male	0	0	349222
412		Q	6.8583	0	3	male	0	0	394140
413	C78	Q	90	0	1	female	1	1	19928
414		S	0	0	2	male	0	0	239853
415		S	7.925	0	3	male	0	1	STON/O 2. 3101269
416		S	8.05	0	3	female	0	0	343095
417		S	32.5	1	2	female	1	1	28220
418		S	13	2	2	female	0	1	250652
419		S	13	0	2	male	0	0	28228
420		S	24.15	2	3	female	0	0	345773
421		C	7.8958	0	3	male	0	0	349254
422		Q	7.7333	0	3	male	0	0	A/5. 13032
423		S	7.875	0	3	male	0	0	315082
424		S	14.4	1	3	female	1	0	347080
425		S	20.2125	1	3	male	1	0	370129
426		S	7.25	0	3	male	0	0	A/4. 34244
427		S	26	0	2	female	1	1	2003
428		S	26	0	2	female	0	1	250655
429		Q	7.75	0	3	male	0	0	364851
430	E10	S	8.05	0	3	male	0	1	SOTON/O.Q. 392078
431	C52	S	26.55	0	1	male	0	1	110564
432		S	16.1	0	3	female	1	1	376564
433		S	26	0	2	female	1	1	SC/AH 3085
434		S	7.125	0	3	male	0	0	STON/O 2. 3101274
435	E44	S	55.9	0	1	male	1	0	13507
436	B96 B98	S	120	2	1	female	1	1	113760
437		S	34.375	2	3	female	2	0	W./C. 6608
438		S	18.75	3	2	female	2	1	29106
439	C23 C25 C27	S	263	4	1	male	1	0	19950
440		S	10.5	0	2	male	0	0	C.A. 18723
441		S	26.25	1	2	female	1	1	F.C.C. 13529
442		S	9.5	0	3	male	0	0	345769
443		S	7.775	0	3	male	1	0	347076
444		S	13	0	2	female	0	1	230434
445		S	8.1125	0	3	male	0	1	65306
446	A34	S	81.8583	2	1	male	0	1	33638
447		S	19.5	1	2	female	0	1	250644
448		S	26.55	0	1	male	0	1	113794
449		C	19.2583	1	3	female	2	1	2666
450	C104	S	30.5	0	1	male	0	1	113786
451		S	27.75	2	2	male	1	0	C.A. 34651
452		S	19.9667	0	3	male	1	0	65303
453	C111	C	27.75	0	1	male	0	0	113051
454	C92	C	89.1042	0	1	male	1	1	17453
455		S	8.05	0	3	male	0	0	A/5 2817
456		C	7.8958	0	3	male	0	1	349240
457	E38	S	26.55	0	1	male	0	0	13509
458	D21	S	51.8625	0	1	female	1	1	17464
459		S	10.5	0	2	female	0	1	F.C.C. 13531
460		Q	7.75	0	3	male	0	0	371060
461	E12	S	26.55	0	1	male	0	1	19952
462		S	8.05	0	3	male	0	0	364506
463	E63	S	38.5	0	1	male	0	0	111320
464		S	13	0	2	male	0	0	234360
465		S	8.05	0	3	male	0	0	A/S 2816
466		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101306
467		S	0	0	2	male	0	0	239853
468		S	26.55	0	1	male	0	0	113792
469		Q	7.725	0	3	male	0	0	36209
470		C	19.2583	1	3	female	2	1	2666
471		S	7.25	0	3	male	0	0	323592
472		S	8.6625	0	3	male	0	0	315089
473		S	27.75	2	2	female	1	1	C.A. 34651
474	D	C	13.7917	0	2	female	0	1	SC/AH Basle 541
475		S	9.8375	0	3	female	0	0	7553
476	A14	S	52	0	1	male	0	0	110465
477		S	21	0	2	male	1	0	31027
478		S	7.0458	0	3	male	1	0	3460
479		S	7.5208	0	3	male	0	0	350060
480		S	12.2875	1	3	female	0	1	3101298
481		S	46.9	2	3	male	5	0	CA 2144
482		S	0	0	2	male	0	0	239854
483		S	8.05	0	3	male	0	0	A/5 3594
484		S	9.5875	0	3	female	0	1	4134
485	B49	C	91.0792	0	1	male	1	1	11967
486		S	25.4667	1	3	female	3	0	4133
487	C93	S	90	0	1	female	1	1	19943
488	B37	C	29.7	0	1	male	0	0	11771
489		S	8.05	0	3	male	0	0	A.5. 18509
490		S	15.9	1	3	male	1	1	C.A. 37671
491		S	19.9667	0	3	male	1	0	65304
492		S	7.25	0	3	male	0	0	SOTON/OQ 3101317
493	C30	S	30.5	0	1	male	0	0	113787
494		C	49.5042	0	1	male	0	0	PC 17609
495		S	8.05	0	3	male	0	0	A/4 45380
496		C	14.4583	0	3	male	0	0	2627
497	D20	C	78.2667	0	1	female	1	1	36947
498		S	15.1	0	3	male	0	0	C.A. 6212
499	C22 C26	S	151.55	2	1	female	1	0	113781
500		S	7.7958	0	3	male	0	0	350035
501		S	8.6625	0	3	male	0	0	315086
502		Q	7.75	0	3	female	0	0	364846
503		Q	7.6292	0	3	female	0	0	330909
504		S	9.5875	0	3	female	0	0	4135
505	B79	S	86.5	0	1	female	0	1	110152
506	C65	C	108.9	0	1	male	1	0	PC 17758
507		S	26	2	2	female	0	1	26360
508		S	26.55	0	1	male	0	1	111427
509		S	22.525	0	3	male	0	0	C 4001
510		S	56.4958	0	3	male	0	1	1601
511		Q	7.75	0	3	male	0	1	382651
512		S	8.05	0	3	male	0	0	SOTON/OQ 3101316
513	E25	S	26.2875	0	1	male	0	1	PC 17473
514		C	59.4	0	1	female	1	1	PC 17603
515		S	7.4958	0	3	male	0	0	349209
516	D46	S	34.0208	0	1	male	0	0	36967
517	F33	S	10.5	0	2	female	0	1	C.A. 34260
518		Q	24.15	0	3	male	0	0	371110
519		S	26	0	2	female	1	1	226875
520		S	7.8958	0	3	male	0	0	349242
521	B73	S	93.5	0	1	female	0	1	12749
522		S	7.8958	0	3	male	0	0	349252
523		C	7.225	0	3	male	0	0	2624
524	B18	C	57.9792	1	1	female	0	1	111361
525		C	7.2292	0	3	male	0	0	2700
526		Q	7.75	0	3	male	0	0	367232
527		S	10.5	0	2	female	0	1	W./C. 14258
528	C95	S	221.7792	0	1	male	0	0	PC 17483
529		S	7.925	0	3	male	0	0	3101296
530		S	11.5	1	2	male	2	0	29104
531		S	26	1	2	female	1	1	26360
532		C	7.2292	0	3	male	0	0	2641
533		C	7.2292	1	3	male	1	0	2690
534		C	22.3583	2	3	female	0	1	2668
535		S	8.6625	0	3	female	0	0	315084
536		S	26.25	2	2	female	0	1	F.C.C. 13529
537	B38	S	26.55	0	1	male	0	0	113050
538		C	106.425	0	1	female	0	1	PC 17761
539		S	14.5	0	3	male	0	0	364498
540	B39	C	49.5	2	1	female	0	1	13568
541	B22	S	71	2	1	female	0	1	WE/P 5735
542		S	31.275	2	3	female	4	0	347082
543		S	31.275	2	3	female	4	0	347082
544		S	26	0	2	male	1	1	2908
545	C86	C	106.425	0	1	male	1	0	PC 17761
546		S	26	0	1	male	0	0	693
547		S	26	0	2	female	1	1	2908
548		C	13.8625	0	2	male	0	1	SC/PARIS 2146
549		S	20.525	1	3	male	1	0	363291
550		S	36.75	1	2	male	1	1	C.A. 33112
551	C70	C	110.8833	2	1	male	0	1	17421
552		S	26	0	2	male	0	0	244358
553		Q	7.8292	0	3	male	0	0	330979
554		C	7.225	0	3	male	0	1	2620
555		S	7.775	0	3	female	0	1	347085
556		S	26.55	0	1	male	0	0	113807
557	A16	C	39.6	0	1	female	1	1	11755
558		C	227.525	0	1	male	0	0	PC 17757
559	E67	S	79.65	1	1	female	1	1	110413
560		S	17.4	0	3	female	1	1	345572
561		Q	7.75	0	3	male	0	0	372622
562		S	7.8958	0	3	male	0	0	349251
563		S	13.5	0	2	male	0	0	218629
564		S	8.05	0	3	male	0	0	SOTON/OQ 392082
565		S	8.05	0	3	female	0	0	SOTON/O.Q. 392087
566		S	24.15	0	3	male	2	0	A/4 48871
567		S	7.8958	0	3	male	0	0	349205
568		S	21.075	4	3	female	0	0	349909
569		C	7.2292	0	3	male	0	0	2686
570		S	7.8542	0	3	male	0	1	350417
571		S	10.5	0	2	male	0	1	S.W./PP 752
572	C101	S	51.4792	0	1	female	2	1	11769
573	E25	S	26.3875	0	1	male	0	1	PC 17474
574		Q	7.75	0	3	female	0	1	14312
575		S	8.05	0	3	male	0	0	A/4. 20589
576		S	14.5	0	3	male	0	0	358585
577		S	13	0	2	female	0	1	243880
578	E44	S	55.9	0	1	female	1	1	13507
579		C	14.4583	0	3	female	1	0	2689
580		S	7.925	0	3	male	0	1	STON/O 2. 3101286
581		S	30	1	2	female	1	1	237789
582	C68	C	110.8833	1	1	female	1	1	17421
583		S	26	0	2	male	0	0	28403
584	A10	C	40.125	0	1	male	0	0	13049
585		C	8.7125	0	3	male	0	0	3411
586	E68	S	79.65	2	1	female	0	1	110413
587		S	15	0	2	male	0	0	237565
588	B41	C	79.2	1	1	male	1	1	13567
589		S	8.05	0	3	male	0	0	14973
590		S	8.05	0	3	male	0	0	A./5. 3235
591		S	7.125	0	3	male	0	0	STON/O 2. 3101273
592	D20	C	78.2667	0	1	female	1	1	36947
593		S	7.25	0	3	male	0	0	A/5 3902
594		Q	7.75	2	3	female	0	0	364848
595		S	26	0	2	male	1	0	SC/AH 29037
596		S	24.15	1	3	male	1	0	345773
597		S	33	0	2	female	0	1	248727
