	Cases	Deaths
R420	383	22
R421	400	22
R422	409	23
R423	416	23
R424	433	23
R425	446	23
R426	467	23
R427	475	24
R428	494	25
R429	518	26
R430	539	26
R431	548	26
R432	562	26
R433	584	26
R434	609	26
R435	634	27
R436	663	27
R437	678	27
R438	712	27
R439	726	28
R440	736	28
R441	750	30
R442	766	30
R443	773	31
R444	782	31
R445	789	31
R446	795	31
R447	803	31
R448	820	31
R449	832	31
R450	842	31
R451	850	31
R452	856	31
R453	868	31
R454	872	31
R455	876	31
R456	880	31
R457	898	31
R458	916	31
R459	933	31
R460	946	31
R461	948	31
R462	949	31
R463	964	31
R464	969	31
R465	981	31
R466	989	31
R467	998	32
R468	1004	32
R469	1029	33
R470	1050	33
R471	1076	33
R472	1099	33
R473	1122	33
R474	1137	33
R475	1143	33
R476	1164	33
R477	1184	33
R478	1197	33
R479	1212	33
R480	1232	34
R481	1246	34
R482	1263	34
R483	1299	34
R484	1341	34
R485	1385	35
R486	1416	36
R487	1464	36
R488	1521	36
R489	1590	36
R490	1672	37
R491	1722	38
R492	1788	39
R493	1838	42
R494	1891	43
R495	1962	44
R496	1995	44
R497	2047	45
R498	2114	47
R499	2192	49
R500	2269	51
R501	2330	53
R502	2402	55
R503	2466	58
R504	2535	62
R505	2580	65
R506	2662	69
R507	2752	72
R508	2819	74
R509	2893	76
R510	2964	79
R511	3038	81
R512	3106	83
R513	3188	83
R514	3278	85
R515	3371	89
R516	3454	93
R517	3571	95
R518	3667	97
R519	3752	101
R520	3851	104
R521	3906	107
R522	4008	111
R523	4090	112
R524	4171	113
R525	4290	117
R526	4358	120
R527	4466	123
R528	4570	128
R529	4637	134
R530	4763	138
R531	4880	144
R532	4997	148
R533	5105	150
R534	5197	154
R535	5276	157
R536	5396	161
R537	5519	166
R538	5620	172
R539	5750	176
R540	5889	182
R541	6016	188
R542	6151	189
R543	6275	193
R544	6411	199
R545	6536	200
R546	6676	205
R547	6817	208
R548	6971	213
R549	7117	219
R550	7260	225
R551	7380	228
R552	7499	230
R553	7654	232
R554	7812	234
R555	7967	238
R556	8119	240
R557	8275	245
R558	8427	250
R559	8605	254
R560	8759	259
R561	8927	263
R562	9083	266
R563	9195	271
R564	9279	275
R565	9380	280
R566	9513	284
R567	9606	290
R568	9728	296
R569	9844	301
R570	9967	306
R571	10102	312
R572	10255	316
R573	10406	319
R574	10553	321
R575	10704	322
R576	10860	324
R577	11021	327
R578	11185	330
R579	11353	334
R580	11520	338
R581	11672	340
R582	11816	343
R583	11948	347
R584	12073	353
R585	12226	358
R586	12385	362
R587	12535	364
R588	12666	367
R589	12787	370
R590	12921	370
R591	13045	373
R592	13153	375
R593	13259	377
R594	13391	380
R595	13518	384
R596	13649	387
R597	13806	388
R598	13965	389
R599	14117	392
R600	14266	396
R601	14410	400
R602	14568	403
R603	14730	407
R604	14899	411
R605	15066	413
R606	15231	416
R607	15399	420
R608	15570	424
R609	15752	429
R610	15955	434
R611	16212	439
R612	16501	443
R613	16774	448
R614	17055	451
R615	17350	454
R616	17651	458
R617	17948	462
R618	18250	465
R619	18556	469
R620	18858	473
R621	19157	477
R622	19445	480
R623	19729	487
R624	20040	493
R625	20315	499
R626	20634	502
R627	20875	509
R628	21202	518
R629	21523	527
R630	21904	532
R631	22300	536
R632	22721	543
R633	23210	549
R634	23705	557
R635	24206	559
R636	24731	571
R637	25294	579
R638	25801	590
R639	26211	598
R640	26701	605
R641	27233	612
R642	27830	623
R643	28432	631
R644	29126	637
R645	29837	646
R646	30623	657
R647	31459	672
R648	32196	685
R649	32761	699
R650	33556	716
R651	34300	735
R652	34944	743
R653	35600	753
R654	36245	771
R655	36790	787
R656	37625	798
R657	38182	810
R658	39014	822
R659	39719	839
R660	40501	852
R661	41302	870
R662	42148	889
R663	42988	905
R664	43683	922
R665	44436	936
R666	45188	951
R667	46061	965
R668	46863	977
R669	47742	989
R670	48530	1003
R671	49191	1016
R672	50000	1028
R673	50637	1040
R674	51424	1055
R675	52004	1066
R676	52542	1074
R677	53003	1088
R678	53425	1098
R679	53814	1111
R680	54317	1117
R681	54827	1125
R682	55380	1134
R683	55755	1143
R684	56254	1153
R685	56572	1164
R686	57146	1170
R687	57727	1174
R688	58316	1181
R689	58316	1181
R690	58991	1190
R691	59438	1193
R692	59623	1199
R693	60283	1210
R694	61008	1217
R695	61705	1223
R696	62378	1230
R697	63033	1233
R698	63595	1241
R699	63971	1247
R700	64627	1252
R701	65334	1256
R702	65994	1261
R703	66635	1265
R704	67216	1270
R705	67690	1277
R706	67982	1281
R707	68568	1287
R708	69238	1291
R709	69916	1296
R710	70655	1303
R711	71441	1310
R712	72274	1315
R713	72812	1324
R714	73691	1332
R715	74567	1339
R716	75454	1350
R717	76350	1358
R718	77251	1369
R719	78127	1380
R720	78992	1393
R721	79934	1398
R722	80941	1404
R723	81993	1418
R724	83082	1433
R725	84212	1446
R726	85336	1460
R727	86289	1472
R728	87528	1488
R729	88671	1503
R730	89776	1517
R731	90835	1531
R732	91987	1543
R733	93075	1555
R734	93850	1567
R735	94651	1582
R736	95726	1600
R737	96838	1617
R738	97909	1636
R739	99062	1653
R740	100246	1666
R741	101285	1681
R742	102306	1696
R743	103327	1715
R744	104313	1736
R745	105229	1756
R746	106215	1775
R747	107167	1796
R748	107931	1816
R749	108823	1835
R750	109674	1856
R751	110521	1876
R752	111301	1897
R753	112078	1918
R754	1	
R755	1	
R756	1	
R757	1	
R758	1	
R759	1	
R760	3	
R761	5	
R762	12	
R763	12	
R764	17	
R765	17	
R766	19	
R767	20	
R768	20	
R769	20	
R770	24	1
R771	26	2
R772	37	3
R773	48	4
R774	54	4
R775	60	4
R776	74	7
R777	87	9
R778	90	11
R779	139	15
R780	201	17
R781	230	17
R782	264	19
R783	302	21
R784	367	25
R785	409	26
R786	454	29
R787	511	31
R788	584	35
R789	716	44
R790	847	58
R791	986	86
R792	1171	105
R793	1251	130
R794	1320	152
R795	1423	173
R796	1468	193
R797	1572	205
R798	1666	235
R799	1761	256
R800	1825	275
R801	1914	293
R802	1983	313
R803	2070	326
R804	2160	336
R805	2268	348
R806	2418	364
R807	2534	367
R808	2629	375
R809	2718	384
R810	2811	392
R811	2910	402
R812	3007	407
R813	3127	415
R814	3256	419
R815	3382	425
R816	3517	432
R817	3649	437
R818	3848	444
R819	4006	450
R820	4154	453
R821	4295	459
R822	4474	463
R823	4648	465
R824	4838	470
R825	4997	476
R826	5182	483
R827	5369	488
R828	5558	494
R829	5723	502
R830	5891	507
R831	6067	515
R832	6253	522
R833	6442	529
R834	6629	536
R835	6821	542
R836	7019	548
R837	7201	555
R838	7377	561
R839	7542	568
R840	7728	575
R841	7918	582
R842	8113	592
R843	8306	600
R844	8503	609
R845	8697	617
R846	8857	623
R847	8997	630
R848	9134	638
R849	9267	646
R850	9394	653
R851	9513	661
R852	9626	667
R853	9733	673
R854	9831	681
R855	9935	690
R856	10050	698
R857	10154	707
R858	10265	715
R859	10382	724
R860	10484	732
R861	10589	741
R862	10698	751
R863	10810	760
R864	10919	767
R865	11031	777
R866	11147	788
R867	11268	799
R868	11385	811
R869	11504	825
R870	11631	837
R871	11771	845
R872	11920	852
R873	12076	861
R874	12248	869
R875	12445	878
R876	12685	885
R877	12968	892
R878	13273	897
R879	13571	905
R880	13907	912
R881	14272	920
R882	14657	928
R883	15070	937
R884	15500	946
R885	15941	952
R886	16404	959
R887	16879	968
R888	17348	978
R889	17808	988
R890	18242	996
R891	18712	1004
R892	19195	1011
R893	19689	1018
R894	20216	1028
R895	20770	1040
R896	21355	1052
R897	21948	1057
R898	22549	1068
R899	23084	1078
R900	23691	1087
R901	24278	1100
R902	24872	1111
R903	25484	1124
R904	26159	1136
R905	26764	1146
R906	27357	1155
R907	27973	1163
R908	28615	1174
R909	29229	1186
R910	29831	1200
R911	30394	1210
R912	30950	1223
R913	31465	1231
R914	31972	1239
R915	32504	1248
R916	33055	1261
R917	33626	1273
R918	34155	1282
R919	34693	1293
R920	35160	1302
R921	35712	1312
R922	36204	1322
R923	36699	1333
R924	37187	1341
R925	37664	1351
R926	38133	1360
R927	38583	1370
R928	39025	1379
R929	39444	1391
R930	39847	1402
R931	40258	1411
R932	40667	1418
R933	41068	1424
R934	41460	1435
R935	41858	1446
R936	42228	1456
R937	42619	1465
R938	43016	1475
R939	43403	1483
R940	43781	1491
R941	44146	1501
R942	44494	1510
R943	44833	1518
R944	45158	1523
R945	45469	1529
R946	45773	1539
R947	46071	1549
R948	46364	1556
R949	46653	1562
R950	46938	1571
R951	47216	1581
R952	47488	1591
R953	47752	1599
R954	48007	1605
R955	48254	1612
R956	48496	1620
R957	48734	1632
R958	48966	1645
R959	49194	1654
R960	49413	1659
R961	49623	1665
R962	49826	1672
R963	50023	1679
R964	50214	1689
R965	50400	1698
R966	50579	1703
R967	50754	1707
R968	50914	1711
R969	51067	1714
R970	51213	1719
R971	51368	1726
R972	51530	1736
R973	51690	1741
R974	51847	1749
R975	51995	1756
R976	52136	1760
R977	52270	1768
R978	52399	1768
R979	52520	1771
R980	52658	1783
R981	52804	1789
R982	52940	1795
R983	53072	1801
R984	53325	1809
R985	53399	1818
R986	53584	1827
R987	53777	1827
R988	53998	1841
R989	54203	1846
R990	54402	1856
R991	54616	1865
R992	54829	1873
R993	55081	1880
R994	55357	1888
R995	55630	1897
R996	55880	1907
R997	56143	1914
R998	56419	1922
R999	56706	1931
R1000	57026	1941
R1001	57332	1949
R1002	57651	1956
R1003	57942	1964
R1004	58272	1973
R1005	58574	1980
R1006	58979	1980
R1007	59527	1999
R1008	60169	2011
R1009	60800	2024
R1010	61381	2036
R1011	62051	2048
R1012	62693	2062
R1013	63446	2077
R1014	64257	2093
R1015	65108	2111
R1016	65975	2124
R1017	66819	2139
R1018	67679	2154
R1019	68589	2168
R1020	69591	2186
R1021	70629	2206
R1022	71652	2224
R1023	72755	2236
R1024	73774	2255
R1025	74862	2272
R1026	75867	2294
R1027	77000	2309
R1028	78025	2329
R1029	79110	2352
R1030	80168	2372
R1031	81212	2393
R1032	82221	2410
R1033	83199	2431
R1034	84152	2447
R1035	85084	2464
R1036	85927	2480
R1037	86730	2492
R1038	87502	2501
R1039	88252	2516
R1040	88825	2527
R1041	89416	2539
R1042	90014	2554
R1043	90579	2564
R1044	91121	2575
R1045	91638	2584
R1046	92102	2596
R1047	92597	2609
R1048	93065	2623
R1049	93507	2631
R1050	93933	2640
R1051	94371	2647
R1052	94781	2659
R1053	95203	2666
R1054	95659	2675
R1055	96069	2687
R1056	96549	2696
R1057	97007	2705
R1058	97441	2716
R1059	97857	2722
R1060	98249	2728
R1061	98631	2737
R1062	98988	2745
R1063	99311	2751
R1064	99610	2756
R1065	99897	2762
R1066	100159	2769
R1067	100408	2772
R1068	100645	2777
R1069	100873	2782
R1070	101120	2786
R1071	101382	2792
R1072	101657	2798
R1073	101913	2803
R1074	102144	2807
R1075	102369	2812
R1076	102641	2816
R1077	102860	2819
R1078	103127	2822
R1079	103381	2827
R1080	103611	2831
R1081	103833	2836
R1082	104092	2840
R1083	104341	2843
R1084	104606	2849
R1085	104852	2853
R1086	105124	2856
R1087	105369	2861
R1088	105596	2863
R1089	105854	2866
R1090	106097	2871
R1091	106359	2877
R1092	106610	2881
R1093	106887	2884
R1094	107122	2888
R1095	107339	2891
R1096	107578	2894
R1097	107841	2898
R1098	108116	2900
R1099	108381	2904
R1100	108629	2909
R1101	108629	2909
R1102	109088	2914
R1103	109313	2918
R1104	109559	2924
R1105	109782	2926
R1106	110049	2930
R1107	110303	2932
R1108	110513	2935
R1109	110711	2939
R1110	110894	2943
R1111	111069	2945
R1112	111247	2947
R1113	111418	2950
R1114	111600	2954
R1115	111764	2958
R1116	111917	2961
R1117	112094	2964
R1118	112279	2967
R1119	112461	2970
R1120	112622	2973
R1121	112805	2977
R1122	112960	2979
R1123	113092	2983
R1124	113255	2987
R1125	113430	2991
R1126	113593	2996
R1127	113761	3002
R1128	113948	3007
R1129	114104	3010
R1130	1	
R1131	1	
R1132	1	
R1133	1	
R1134	1	
R1135	1	
R1136	1	
R1137	1	
R1138	1	
R1139	1	
R1140	1	
R1141	1	
R1142	1	
R1143	1	
R1144	2	
R1145	39	
R1146	39	
R1147	53	
R1148	75	
R1149	88	
R1150	113	1
R1151	133	1
R1152	164	1
R1153	188	1
R1154	224	3
R1155	267	3
R1156	308	3
R1157	334	6
R1158	370	8
R1159	376	12
R1160	390	14
R1161	428	15
R1162	439	16
R1163	466	17
R1164	501	18
R1165	525	21
R1166	545	22
R1167	564	23
R1168	583	25
R1169	601	26
R1170	601	26
R1171	638	29
R1172	646	29
R1173	659	31
R1174	673	33
R1175	673	33
R1176	696	35
R1177	704	35
R1178	713	36
R1179	717	37
R1180	717	37
R1181	723	37
R1182	723	37
R1183	731	40
R1184	738	40
R1185	738	40
R1186	743	40
R1187	743	41
R1188	743	42
R1189	745	42
R1190	745	43
R1191	747	44
R1192	748	45
R1193	750	45
R1194	751	46
R1195	751	46
R1196	752	47
R1197	752	47
R1198	754	48
R1199	755	48
R1200	755	48
R1201	758	48
R1202	760	49
R1203	761	49
R1204	761	49
R1205	761	51
R1206	761	51
R1207	761	51
R1208	761	51
R1209	762	51
R1210	762	51
R1211	762	51
R1212	762	51
R1213	762	51
R1214	763	51
R1215	763	51
R1216	763	51
R1217	763	51
R1218	764	51
R1219	764	51
R1220	764	51
R1221	765	51
R1222	844	51
R1223	851	51
R1224	852	51
R1225	852	51
R1226	852	51
R1227	852	51
R1228	852	51
R1229	852	51
R1230	852	51
R1231	852	51
R1232	853	51
R1233	853	51
R1234	853	51
R1235	853	51
R1236	854	52
R1237	854	52
R1238	855	52
R1239	855	52
R1240	855	52
R1241	855	52
R1242	855	52
R1243	855	52
R1244	855	52
R1245	855	52
R1246	855	52
R1247	855	52
R1248	855	52
R1249	855	52
R1250	855	52
R1251	855	52
R1252	855	52
R1253	855	52
R1254	855	52
R1255	855	52
R1256	855	52
R1257	855	52
R1258	855	52
R1259	855	52
R1260	855	52
R1261	855	52
R1262	855	52
R1263	858	52
R1264	861	52
R1265	862	52
R1266	877	52
R1267	880	52
R1268	880	52
R1269	880	52
R1270	884	52
R1271	884	52
R1272	889	52
R1273	889	52
R1274	897	52
R1275	897	52
R1276	897	52
R1277	907	52
R1278	907	52
R1279	918	52
R1280	922	52
R1281	925	52
R1282	925	52
R1283	925	52
R1284	937	52
R1285	939	52
R1286	939	52
R1287	944	52
R1288	955	52
R1289	955	52
R1290	955	52
R1291	963	52
R1292	963	52
R1293	977	53
R1294	981	53
R1295	989	53
R1296	989	53
R1297	989	53
R1298	1005	53
R1299	1005	53
R1300	1024	53
R1301	1024	53
R1302	1045	53
R1303	1045	53
R1304	1045	53
R1305	1060	53
R1306	1060	53
R1307	1098	53
R1308	1098	53
R1309	1124	53
R1310	1124	53
R1311	1124	53
R1312	1176	53
R1313	1184	53
R1314	1199	53
R1315	1199	53
R1316	1215	53
R1317	1215	53
R1318	1215	53
R1319	1261	53
R1320	1261	53
R1321	1301	53
R1322	1301	53
R1323	1344	53
R1324	1344	53
R1325	1344	53
R1326	1438	53
R1327	1438	53
R1328	1483	53
R1329	1483	53
R1330	1564	53
R1331	1564	53
R1332	1564	53
R1333	1681	53
R1334	1681	53
R1335	1753	53
R1336	1753	53
R1337	1836	53
R1338	1836	53
R1339	1836	53
R1340	1966	53
R1341	1966	53
R1342	2050	53
R1343	2050	53
R1344	2110	53
R1345	2110	53
R1346	2110	53
R1347	2370	53
R1348	2370	53
R1349	2568	53
R1350	2568	54
R1351	2696	55
R1352	2696	55
R1353	2696	55
R1354	2995	57
R1355	2995	57
R1356	3190	59
R1357	3190	59
R1358	3377	59
R1359	3377	59
R1360	3377	59
R1361	3623	62
R1362	3623	62
R1363	3811	63
R1364	3811	63
R1365	4038	69
R1366	4038	69
R1367	4038	69
R1368	4325	72
R1369	4410	72
R1370	4517	72
R1371	4567	73
R1372	4665	75
R1373	4756	75
R1374	4825	75
R1375	4888	75
R1376	4910	75
R1377	5045	75
R1378	5135	75
R1379	5135	75
R1380	5319	75
R1381	5383	75
R1382	5437	75
R1383	5477	75
R1384	5567	75
R1385	5616	75
R1386	5725	75
R1387	5725	75
R1388	5872	76
R1389	5914	76
R1390	5951	76
R1391	6018	76
R1392	6066	76
R1393	6142	76
R1394	6207	76
R1395	6256	76
R1396	6304	76
R1397	6351	76
R1398	6428	76
R1399	6534	76
R1400	6610	76
R1401	6610	76
R1402	6712	76
R1403	6745	76
R1404	6790	76
R1405	6842	76
R1406	6904	77
R1407	6955	77
R1408	7005	78
R1409	7050	78
R1410	7084	78
R1411	7127	78
R1412	7162	78
R1413	7190	78
R1414	7236	78
R1415	7288	78
R1416	7338	79
R1417	7382	79
R1418	7382	79
R1419	7446	79
R1420	7466	79
R1421	7519	80
R1422	7560	80
R1423	7577	81
R1424	7602	81
R1425	7633	82
R1426	7669	82
R1427	7699	83
R1428	7756	83
R1429	7806	83
R1430	7821	83
R1431	7875	83
R1432	7919	84
R1433	7983	84
R1434	8049	84
R1435	8117	84
R1436	8166	84
R1437	8192	84
R1438	8249	84
R1439	8308	84
R1440	8348	84
R1441	8348	84
R1442	8489	84
R1443	8586	85
R1444	8586	85
R1445	8586	85
R1446	8682	86
R1447	8818	87
R1448	8868	88
R1449	8946	88
R1450	9038	91
R1451	9083	91
R1452	9083	91
R1453	9194	92
R1454	9308	92
R1455	9379	93
R1456	9416	93
R1457	9499	96
R1458	9549	96
R1459	9596	97
R1460	9638	97
R1461	9716	98
R1462	9779	100
R1463	9837	100
R1464	9885	101
R1465	9937	101
R1466	9972	101
R1467	10017	102
R1468	10070	103
R1469	10137	103
R1470	10172	104
R1471	10206	105
R1472	10251	106
R1473	10275	106
R1474	10312	106
R1475	10352	106
R1476	10391	106
R1477	10427	106
R1478	10463	107
R1479	10503	107
R1480	10538	107
R1481	10555	107
R1482	10583	107
R1483	10610	107
R1484	10645	107
R1485	10672	107
R1486	10699	107
R1487	10712	109
R1488	10739	110
R1489	10775	110
R1490	10799	110
R1491	10822	110
R1492	10849	110
R1493	10866	110
R1494	10889	110
R1495	10908	110
R1496	10948	112
R1497	10976	112
R1498	10998	112
R1499	11019	112
R1500	1	
R1501	2	
R1502	2	
R1503	3	
R1504	3	
R1505	3	
R1506	4	
R1507	4	
R1508	5	
R1509	7	2
R1510	7	2
R1511	7	2
R1512	8	2
R1513	8	2
R1514	8	2
R1515	10	2
R1516	14	2
R1517	16	2
R1518	17	2
R1519	19	2
R1520	19	2
R1521	19	2
R1522	19	2
R1523	19	2
R1524	19	2
R1525	19	2
R1526	19	2
R1527	19	2
R1528	19	2
R1529	24	2
R1530	24	2
R1531	24	2
R1532	24	2
R1533	25	2
R1534	25	2
R1535	25	2
R1536	25	2
R1537	26	2
R1538	27	2
R1539	27	2
R1540	27	2
R1541	27	2
R1542	30	2
R1543	35	2
R1544	35	2
R1545	35	2
R1546	36	2
R1547	36	2
R1548	36	2
R1549	43	2
R1550	43	2
R1551	45	2
R1552	45	2
R1553	45	2
R1554	45	2
R1555	48	2
R1556	48	2
R1557	48	2
R1558	48	2
R1559	50	3
R1560	52	3
R1561	52	3
R1562	58	3
R1563	60	3
R1564	61	4
R1565	69	4
R1566	70	4
R1567	70	4
R1568	71	4
R1569	74	4
R1570	81	4
R1571	84	4
R1572	86	4
R1573	86	4
R1574	86	4
R1575	86	4
R1576	86	4
R1577	86	4
R1578	88	4
R1579	91	4
R1580	92	4
R1581	96	4
R1582	113	4
R1583	118	5
R1584	130	5
R1585	138	6
R1586	140	6
R1587	142	6
R1588	148	6
R1589	155	7
R1590	166	8
R1591	172	8
R1592	176	9
R1593	183	9
R1594	186	10
R1595	189	10
R1596	197	10
R1597	212	10
R1598	212	10
R1599	259	10
R1600	267	11
R1601	276	11
R1602	284	13
R1603	291	15
R1604	315	17
R1605	328	18
R1606	346	19
R1607	346	19
R1608	346	19
R1609	386	21
R1610	386	21
R1611	396	22
R1612	458	23
R1613	462	23
R1614	506	26
R1615	525	26
R1616	541	26
R1617	576	27
R1618	607	28
R1619	638	29
R1620	687	29
R1621	705	29
R1622	749	29
R1623	779	30
R1624	812	33
R1625	851	33
R1626	880	35
R1627	916	39
R1628	932	40
R1629	950	41
R1630	1000	47
R1631	1078	48
R1632	1109	51
R1633	1148	52
R1634	1164	54
R1635	1199	55
R1636	1280	58
R1637	1344	59
R1638	1395	62
R1639	1483	64
R1640	1538	67
R1641	1572	70
R1642	1672	75
R1643	1679	78
R1644	1735	80
R1645	1762	80
R1646	1815	80
R1647	1852	86
R1648	1879	86
R1649	1906	88
R1650	1935	88
R1651	1966	90
R1652	2015	92
R1653	2044	93
R1654	2068	94
R1655	2134	94
R1656	2171	96
R1657	2222	100
R1658	2283	102
R1659	2332	103
R1660	2415	105
R1661	2471	106
R1662	2551	107
R1663	2624	107
R1664	2654	108
R1665	2729	109
R1666	2777	112
R1667	2805	113
R1668	2876	115
